"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","microaspersion","sum"
"1",1601,"1111601","Arcos de Valdevez",0,1429,0,0,0,0,0,1429
"2",1602,"1111602","Caminha",0,74,0,0,0,0,0,74
"3",1603,"1111603","Melgaço",0,648,2,0,0,0,0,649
"4",1604,"1111604","Monção",0,285,0,0,0,0,0,285
"5",1605,"1111605","Paredes de Coura",0,830,3,0,0,0,0,833
"6",1606,"1111606","Ponte da Barca",0,623,0,0,0,0,0,623
"7",1607,"1111607","Ponte de Lima",0,242,9,0,0,0,0,251
"8",1608,"1111608","Valença",0,117,0,0,0,0,0,117
"9",1609,"1111609","Viana do Castelo",0,28,10,0,0,0,0,38
"10",1610,"1111610","Vila Nova de Cerveira",0,17,0,0,0,0,0,17
"11",301,"1120301","Amares",0,122,42,0,0,0,0,164
"12",302,"1120302","Barcelos",0,12,21,1,0,0,0,34
"13",303,"1120303","Braga",0,96,78,5,0,0,0,180
"14",306,"1120306","Esposende",0,0,0,0,0,0,0,0
"15",310,"1120310","Terras de Bouro",0,305,0,0,0,0,0,305
"16",313,"1120313","Vila Verde",0,155,7,0,0,0,0,162
"17",307,"1130307","Fafe",0,724,0,0,0,0,0,724
"18",308,"1130308","Guimarães",0,44,87,3,0,0,0,135
"19",309,"1130309","Póvoa de Lanhoso",0,212,40,0,0,0,0,252
"20",1314,"1131314","Santo Tirso",0,37,16,0,0,0,0,53
"21",1318,"1131318","Trofa",0,0,11,0,0,0,0,11
"22",311,"1130311","Vieira do Minho",0,1542,1,0,0,0,0,1543
"23",312,"1130312","Vila Nova de Famalicão",0,5,40,14,0,0,0,59
"24",314,"1130314","Vizela",0,16,0,0,0,0,0,16
"25",107,"1140107","Espinho",0,0,0,0,0,0,0,0
"26",1304,"1141304","Gondomar",0,23,10,0,0,0,0,32
"27",1306,"1141306","Maia",0,2,22,6,0,0,0,30
"28",1308,"1141308","Matosinhos",0,2,20,0,0,0,0,22
"29",1312,"1141312","Porto",0,0,0,0,0,0,0,0
"30",1313,"1141313","Póvoa de Varzim",0,0,2,8,0,0,0,10
"31",1315,"1141315","Valongo",0,1,0,0,0,0,0,1
"32",1316,"1141316","Vila do Conde",0,0,7,3,0,0,0,10
"33",1317,"1141317","Vila Nova de Gaia",0,15,35,0,0,0,0,50
"34",1301,"1151301","Amarante",0,200,0,0,0,0,0,200
"35",1302,"1151302","Baião",0,643,36,0,0,0,0,679
"36",304,"1150304","Cabeceiras de Basto",0,2136,5,0,0,0,0,2141
"37",106,"1150106","Castelo de Paiva",0,31,11,0,0,0,0,42
"38",305,"1150305","Celorico de Basto",0,163,8,0,0,0,0,171
"39",1804,"1151804","Cinfães",0,1351,4,0,0,0,0,1355
"40",1303,"1151303","Felgueiras",0,37,7,0,0,0,0,44
"41",1305,"1151305","Lousada",0,34,0,0,0,0,0,34
"42",1307,"1151307","Marco de Canaveses",0,330,43,0,0,0,0,373
"43",1705,"1151705","Mondim de Basto",0,471,2,0,0,0,0,472
"44",1309,"1151309","Paços de Ferreira",0,7,4,0,0,0,0,11
"45",1310,"1151310","Paredes",0,2,12,0,0,0,0,14
"46",1311,"1151311","Penafiel",0,33,12,0,0,0,0,45
"47",1813,"1151813","Resende",0,357,2,0,0,0,0,358
"48",1709,"1151709","Ribeira de Pena",0,1244,0,0,0,0,0,1244
"49",104,"1160104","Arouca",0,285,3,0,0,0,0,288
"50",113,"1160113","Oliveira de Azeméis",0,4,8,0,0,0,0,13
"51",109,"1160109","Santa Maria da Feira",0,0,22,0,0,0,0,22
"52",116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0
"53",119,"1160119","Vale de Cambra",0,330,11,0,0,0,0,341
"54",1701,"1171701","Alijó",0,29,0,0,0,0,0,29
"55",1801,"1171801","Armamar",0,6,1,0,0,0,0,6
"56",403,"1170403","Carrazeda de Ansiães",0,10,0,0,0,0,0,10
"57",404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0,0,0
"58",1805,"1171805","Lamego",0,198,1,0,0,0,0,199
"59",1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0
"60",1807,"1171807","Moimenta da Beira",0,289,26,0,0,0,0,315
"61",1812,"1171812","Penedono",0,300,2,0,0,0,0,301
"62",1708,"1171708","Peso da Régua",0,0,14,0,0,0,0,14
"63",1710,"1171710","Sabrosa",0,27,0,0,0,0,0,27
"64",1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0,0,0
"65",1815,"1171815","São João da Pesqueira",0,53,1,0,0,0,0,54
"66",1818,"1171818","Sernancelhe",0,220,4,0,0,0,0,224
"67",1819,"1171819","Tabuaço",0,5,0,0,0,0,0,5
"68",1820,"1171820","Tarouca",0,92,1,0,0,0,0,94
"69",409,"1170409","Torre de Moncorvo",0,0,0,0,0,0,0,0
"70",410,"1170410","Vila Flor",0,70,92,0,0,0,0,162
"71",914,"1170914","Vila Nova de Foz Côa",0,0,0,2,0,0,0,2
"72",1714,"1171714","Vila Real",0,615,10,10,0,0,0,635
"73",401,"1180401","Alfândega da Fé",0,1,41,0,0,0,0,42
"74",1702,"1181702","Boticas",0,2424,0,0,0,0,0,2424
"75",402,"1180402","Bragança",0,4069,387,0,21,0,0,4477
"76",1703,"1181703","Chaves",0,2388,77,28,0,0,0,2493
"77",405,"1180405","Macedo de Cavaleiros",0,432,277,0,0,0,0,710
"78",406,"1180406","Miranda do Douro",0,13,88,0,0,0,0,102
"79",407,"1180407","Mirandela",0,132,132,18,0,0,0,283
"80",408,"1180408","Mogadouro",0,0,10,0,0,0,0,10
"81",1706,"1181706","Montalegre",0,7159,0,0,0,0,0,7159
"82",1707,"1181707","Murça",0,58,0,0,0,0,0,58
"83",1712,"1181712","Valpaços",0,770,0,0,0,0,0,770
"84",1713,"1181713","Vila Pouca de Aguiar",0,1921,101,0,0,0,0,2022
"85",411,"1180411","Vimioso",0,112,0,0,0,0,0,112
"86",412,"1180412","Vinhais",0,3113,51,0,0,0,0,3164
"87",101,"1610101","Águeda",0,20,23,0,0,0,0,43
"88",102,"1610102","Albergaria-a-Velha",0,0,12,0,0,0,0,12
"89",103,"1610103","Anadia",0,0,24,19,0,0,0,43
"90",105,"1610105","Aveiro",0,0,10,0,0,0,0,10
"91",108,"1610108","Estarreja",0,7,93,17,0,0,0,118
"92",110,"1610110","Ílhavo",0,0,5,0,0,0,0,5
"93",111,"1610111","Mealhada",0,0,7,2,0,0,0,9
"94",112,"1610112","Murtosa",0,0,9,4,0,0,0,14
"95",114,"1610114","Oliveira do Bairro",0,0,8,7,0,0,0,15
"96",115,"1610115","Ovar",0,1,11,1,0,0,0,13
"97",117,"1610117","Sever do Vouga",0,61,4,0,0,0,0,65
"98",118,"1610118","Vagos",0,0,7,0,0,0,0,7
"99",602,"1620602","Cantanhede",0,0,45,7,0,0,0,53
"100",603,"1620603","Coimbra",0,31,51,5,4,0,0,92
"101",604,"1620604","Condeixa-a-Nova",0,0,51,8,0,0,0,59
"102",605,"1620605","Figueira da Foz",0,6,20,0,0,0,0,25
"103",608,"1620608","Mira",0,0,2,0,0,0,0,2
"104",610,"1620610","Montemor-o-Velho",0,0,218,16,0,0,0,233
"105",613,"1620613","Penacova",0,0,8,0,0,0,0,8
"106",615,"1620615","Soure",0,1,19,0,0,0,0,20
"107",1004,"1631004","Batalha",0,0,2,0,0,0,0,2
"108",1009,"1631009","Leiria",0,11,103,31,0,0,0,145
"109",1010,"1631010","Marinha Grande",0,0,13,0,0,0,0,13
"110",1015,"1631015","Pombal",0,7,133,25,44,0,0,209
"111",1016,"1631016","Porto de Mós",0,2,15,0,0,0,0,16
"112",1002,"1641002","Alvaiázere",0,7,135,7,0,0,0,149
"113",1003,"1641003","Ansião",0,7,137,0,0,0,0,144
"114",601,"1640601","Arganil",0,0,112,33,0,0,0,144
"115",1007,"1641007","Castanheira de Pêra",0,0,9,0,0,0,0,9
"116",1008,"1641008","Figueiró dos Vinhos",0,0,55,8,0,0,0,63
"117",606,"1640606","Góis",0,0,6,0,0,0,0,6
"118",607,"1640607","Lousã",0,0,16,0,0,0,0,16
"119",609,"1640609","Miranda do Corvo",0,0,32,0,0,0,0,32
"120",611,"1640611","Oliveira do Hospital",0,29,501,35,0,0,0,565
"121",612,"1640612","Pampilhosa da Serra",0,0,0,0,0,0,0,0
"122",1013,"1641013","Pedrógão Grande",0,0,26,0,0,0,0,26
"123",614,"1640614","Penela",0,0,100,40,0,0,0,140
"124",616,"1640616","Tábua",0,0,95,0,0,0,0,95
"125",617,"1640617","Vila Nova de Poiares",0,0,6,0,0,0,0,6
"126",901,"1650901","Aguiar da Beira",0,264,6,0,0,0,0,270
"127",1802,"1651802","Carregal do Sal",0,6,63,0,0,0,0,69
"128",1803,"1651803","Castro Daire",0,1182,9,0,0,0,0,1191
"129",1806,"1651806","Mangualde",0,223,358,0,0,0,0,581
"130",1808,"1651808","Mortágua",0,19,47,0,0,0,0,66
"131",1809,"1651809","Nelas",0,0,161,24,0,0,0,185
"132",1810,"1651810","Oliveira de Frades",0,48,17,0,0,0,0,65
"133",1811,"1651811","Penalva do Castelo",0,62,37,0,0,0,0,99
"134",1814,"1651814","Santa Comba Dão",0,207,41,0,0,0,0,248
