"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","microaspersion","sum"
"1",1601,"1111601","Arcos de Valdevez",4,0,4,0,0,0,0,8
"2",1602,"1111602","Caminha",0,0,0,0,0,0,0,0
"3",1603,"1111603","Melgaço",0,0,0,0,0,0,0,0
"4",1604,"1111604","Monção",0,0,0,0,0,0,0,0
"5",1605,"1111605","Paredes de Coura",0,0,1,0,0,0,0,1
"6",1606,"1111606","Ponte da Barca",21,0,2,0,0,0,0,23
"7",1607,"1111607","Ponte de Lima",7,0,35,0,0,0,0,42
"8",1608,"1111608","Valença",4,0,4,0,0,0,0,7
"9",1609,"1111609","Viana do Castelo",10,0,52,0,0,0,3,65
"10",1610,"1111610","Vila Nova de Cerveira",0,0,2,0,0,0,0,2
"11",301,"1120301","Amares",10,0,14,0,0,0,0,24
"12",302,"1120302","Barcelos",11,0,68,0,0,0,0,79
"13",303,"1120303","Braga",24,0,15,0,0,0,0,39
"14",306,"1120306","Esposende",6,0,476,0,0,0,4,487
"15",310,"1120310","Terras de Bouro",4,0,0,0,0,0,0,4
"16",313,"1120313","Vila Verde",21,0,9,0,0,0,0,29
"17",307,"1130307","Fafe",8,0,4,0,0,0,0,12
"18",308,"1130308","Guimarães",119,0,115,7,0,0,0,241
"19",309,"1130309","Póvoa de Lanhoso",2,0,0,0,0,0,0,2
"20",1314,"1131314","Santo Tirso",20,0,75,0,0,0,0,94
"21",1318,"1131318","Trofa",9,0,32,2,0,0,0,43
"22",311,"1130311","Vieira do Minho",1,0,0,0,0,0,0,1
"23",312,"1130312","Vila Nova de Famalicão",5,0,79,2,0,0,0,85
"24",314,"1130314","Vizela",10,3,0,0,0,0,0,13
"25",107,"1140107","Espinho",1,0,2,0,0,0,0,2
"26",1304,"1141304","Gondomar",105,8,152,2,0,0,0,267
"27",1306,"1141306","Maia",11,0,70,0,0,0,0,81
"28",1308,"1141308","Matosinhos",8,0,38,0,0,0,2,49
"29",1312,"1141312","Porto",0,0,0,0,0,0,0,0
"30",1313,"1141313","Póvoa de Varzim",0,0,495,0,0,0,1,496
"31",1315,"1141315","Valongo",17,0,7,0,0,0,0,25
"32",1316,"1141316","Vila do Conde",1,0,61,0,0,0,0,62
"33",1317,"1141317","Vila Nova de Gaia",33,0,203,0,0,0,0,236
"34",1301,"1151301","Amarante",2,2,28,0,0,0,0,33
"35",1302,"1151302","Baião",3,0,8,0,0,0,0,10
"36",304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0,0,0
"37",106,"1150106","Castelo de Paiva",2,0,2,0,0,0,0,3
"38",305,"1150305","Celorico de Basto",0,0,2,0,0,0,0,2
"39",1804,"1151804","Cinfães",2,0,2,0,0,0,2,6
"40",1303,"1151303","Felgueiras",7,0,15,0,0,0,0,22
"41",1305,"1151305","Lousada",6,0,6,0,0,0,0,11
