Muni_ID,CAA_ID,Full_ID,Muni,uaa09,poly_corr,gw_code,aquifer_ID,recharge,gw_type
505,1,1690505,IDANHA-A-NOVA,80156,1163.424339,PTA0X1RH5,85,9,Ind
505,2,1690505,IDANHA-A-NOVA,80156,36.12289973,PTA0X1RH5,85,9,Ind
505,3,1690505,IDANHA-A-NOVA,80156,2712.18085,PTA0X1RH5,85,9,Ind
505,4,1690505,IDANHA-A-NOVA,80156,0.008403296,PTA0X1RH5,85,9,Ind
505,5,1690505,IDANHA-A-NOVA,80156,8920.44211,PTA0X1RH5,85,9,Ind
505,6,1690505,IDANHA-A-NOVA,80156,16.754388,PTA0X1RH5,85,9,Ind
505,7,1690505,IDANHA-A-NOVA,80156,152.2666585,PTA0X1RH5,85,9,Ind
505,8,1690505,IDANHA-A-NOVA,80156,0.32095458,PTA0X1RH5,85,9,Ind
505,9,1690505,IDANHA-A-NOVA,80156,63.06503089,PTA0X1RH5,85,9,Ind
505,10,1690505,IDANHA-A-NOVA,80156,945.1536276,PTA0X1RH5,85,9,Ind
505,11,1690505,IDANHA-A-NOVA,80156,88.56330988,PTA0X1RH5,85,9,Ind
505,12,1690505,IDANHA-A-NOVA,80156,43.50655425,PTA0X1RH5,85,9,Ind
505,13,1690505,IDANHA-A-NOVA,80156,3.678603672,PTA0X1RH5,85,9,Ind
505,14,1690505,IDANHA-A-NOVA,80156,1042.982029,PTA0X1RH5,85,9,Ind
505,15,1690505,IDANHA-A-NOVA,80156,238.7994734,PTA0X1RH5,85,9,Ind
505,16,1690505,IDANHA-A-NOVA,80156,114.3458215,PTA0X1RH5,85,9,Ind
505,17,1690505,IDANHA-A-NOVA,80156,2566.546473,PTA0X1RH5,85,9,Ind
505,18,1690505,IDANHA-A-NOVA,80156,55.44212232,PTA0X1RH5,85,9,Ind
505,19,1690505,IDANHA-A-NOVA,80156,77.65691298,PTA0X1RH5,85,9,Ind
505,20,1690505,IDANHA-A-NOVA,80156,46.07499361,PTA0X1RH5,85,9,Ind
505,21,1690505,IDANHA-A-NOVA,80156,50.25772148,PTA0X1RH5,85,9,Ind
505,22,1690505,IDANHA-A-NOVA,80156,4.147712717,PTA0X1RH5,85,9,Ind
505,23,1690505,IDANHA-A-NOVA,80156,18.2698131,PTA0X1RH5,85,9,Ind
505,24,1690505,IDANHA-A-NOVA,80156,149.5453036,PTA0X1RH5,85,9,Ind
505,25,1690505,IDANHA-A-NOVA,80156,57414.82772,PTA0X1RH5,85,9,Ind
