GW_ID,GW_name,WFD_db_ID,Year,Mean,Minimum,Maximum,Median
Look_into_this,PT001,PT_GWB_PT001,1995,21.0125,13.26,40.79,21.4075
Look_into_this,PT006,PT_GWB_PT006,1995,47.5,47.5,47.5,47.5
Look_into_this,PT010,PT_GWB_PT010,1995,24.48875,0.98,96.98,16.585
75,PTM2,PT_GWB_PTM2,1995,26.3825,14.44,40.79,26.3825
65,PTM5,PT_GWB_PTM5,1995,9.89333,2.02,21.14,11.58
Look_into_this,PT001,PT_GWB_PT001,1996,18.2475,10.02,27.16,16.75
Look_into_this,PT010,PT_GWB_PT010,1996,29.82458,2.65,143.88,22.66
75,PTM2,PT_GWB_PTM2,1996,19.745,10.02,27.16,19.745
65,PTM5,PT_GWB_PTM5,1996,15.35333,3.09,24.32,19.215
Look_into_this,PT001,PT_GWB_PT001,1997,17.27333,11.34,25.79,13.72
Look_into_this,PT005,PT_GWB_PT005,1997,8.69333,3.33,12,9.55667
Look_into_this,PT009,PT_GWB_PT009,1997,103.5067,2.63,292.2,97.85
Look_into_this,PT010,PT_GWB_PT010,1997,26.48583,2.95,120.16,22.575
28,PTA2,PT_GWB_PTA2,1997,8.69333,3.33,12,9.55667
75,PTM2,PT_GWB_PTM2,1997,19.265,11.34,25.79,19.265
65,PTM5,PT_GWB_PTM5,1997,14.92333,3.14,25.36,16.7
27,PTO1,PT_GWB_PTO1,1997,102.125,62.4,133.8,102.125
Look_into_this,PT001,PT_GWB_PT001,1998,14.79,1.44,23.24,13.19
Look_into_this,PT005,PT_GWB_PT005,1998,9.9,8.8,10.6,10.3
Look_into_this,PT009,PT_GWB_PT009,1998,58.41971,0.257,119.39,57.02
Look_into_this,PT010,PT_GWB_PT010,1998,24.55889,3.27,75,24.12
28,PTA2,PT_GWB_PTA2,1998,9.9,8.8,10.6,10.3
75,PTM2,PT_GWB_PTM2,1998,15.59,1.44,23.24,15.59
65,PTM5,PT_GWB_PTM5,1998,13.93,3.27,24.73,13.93
27,PTO1,PT_GWB_PTO1,1998,84.88,58.16,111.6,84.88
Look_into_this,PT001,PT_GWB_PT001,1999,17.125,13.22,22.63,16.94
Look_into_this,PT005,PT_GWB_PT005,1999,10.48722,7.57,15.58,10.948
Look_into_this,PT009,PT_GWB_PT009,1999,84.18853,1.32,358.6,62.71
Look_into_this,PT010,PT_GWB_PT010,1999,19.94122,3.63,54.36,21.96667
28,PTA2,PT_GWB_PTA2,1999,10.48722,7.57,15.58,10.948
75,PTM2,PT_GWB_PTM2,1999,19.0775,15,22.63,19.0775
65,PTM5,PT_GWB_PTM5,1999,12.02333,3.63,23.33,9.765
27,PTO1,PT_GWB_PTO1,1999,105.5375,78.57,150.2,105.5375
Look_into_this,PT001,PT_GWB_PT001,2000,16.15167,12.1,25.24,13.665
Look_into_this,PT002,PT_GWB_PT002,2000,18.46818,0.18,79,8.97
Look_into_this,PT003,PT_GWB_PT003,2000,6.255,0.18,42.83,3.23
Look_into_this,PT004,PT_GWB_PT004,2000,7.50831,0.18,98.92,3.6125
Look_into_this,PT005,PT_GWB_PT005,2000,11.90028,6.42,19.4,13.5775
Look_into_this,PT006,PT_GWB_PT006,2000,67.46389,39.53,110.4,68.705
Look_into_this,PT009,PT_GWB_PT009,2000,65.35309,1.203,275.95,60.715
Look_into_this,PT010,PT_GWB_PT010,2000,22.42867,2.64,81.3,24.68
28,PTA2,PT_GWB_PTA2,2000,11.90028,6.42,19.4,13.5775
59,PTA9,PT_GWB_PTA9,2000,59.798,39.53,90.4,52.715
75,PTM2,PT_GWB_PTM2,2000,17.9975,13.47,25.24,17.9975
65,PTM5,PT_GWB_PTM5,2000,13.64,2.64,24.68,13.03
27,PTO1,PT_GWB_PTO1,2000,40.1175,10.08,68.33,40.1175
44,PTT1,PT_GWB_PTT1,2000,4.43182,0.18,21.29,1.81
45,PTT3,PT_GWB_PTT3,2000,4.17483,0.18,32.21,1.725
46,PTT7,PT_GWB_PTT7,2000,32.79,2.33,79,32.79
Look_into_this,PT001,PT_GWB_PT001,2001,16.16667,12,23.26,13.04
Look_into_this,PT002,PT_GWB_PT002,2001,27.62375,0.18,131.57,15.715
Look_into_this,PT003,PT_GWB_PT003,2001,6.85526,0.18,42.84,2.44
Look_into_this,PT004,PT_GWB_PT004,2001,7.40593,0.09,53.91,3.3675
Look_into_this,PT005,PT_GWB_PT005,2001,10.29333,8.49,12.9,9.245
Look_into_this,PT006,PT_GWB_PT006,2001,51.82273,1,87,51.8
Look_into_this,PT007,PT_GWB_PT007,2001,15.89583,2.01,53.63,8.535
Look_into_this,PT008,PT_GWB_PT008,2001,22.621,2.53,55.64,16.2
Look_into_this,PT009,PT_GWB_PT009,2001,39.695,2.82,132.28,27.255
Look_into_this,PT010,PT_GWB_PT010,2001,21.27712,1.7,88.59,17.6
28,PTA2,PT_GWB_PTA2,2001,10.29333,8.49,12.9,9.245
59,PTA9,PT_GWB_PTA9,2001,59.21,45.6,87,56.8
75,PTM2,PT_GWB_PTM2,2001,18.15,12,23.26,18.15
65,PTM5,PT_GWB_PTM5,2001,9.629,1.7,23.83,6.035
27,PTO1,PT_GWB_PTO1,2001,27.9225,12.33,46.64,27.9225
74,PTO15,PT_GWB_PTO15,2001,14.36625,2.53,25.12,14.9075
29,PTO20,PT_GWB_PTO20,2001,8.349,2.01,14.67,8.34
44,PTT1,PT_GWB_PTT1,2001,3.11625,0.18,16.57,1.41
45,PTT3,PT_GWB_PTT3,2001,3.89306,0.09,35.31,1.64
46,PTT7,PT_GWB_PTT7,2001,131.57,131.57,131.57,131.57
Look_into_this,PT001,PT_GWB_PT001,2002,10.9375,2.6,22.3,10.95
Look_into_this,PT002,PT_GWB_PT002,2002,47.24513,0.8,221.77,23.715
Look_into_this,PT003,PT_GWB_PT003,2002,5.982,0.18,51.57,2.32
Look_into_this,PT004,PT_GWB_PT004,2002,7.24626,0.18,52.67,3.1225
Look_into_this,PT005,PT_GWB_PT005,2002,9.76667,4.3,12,11
Look_into_this,PT006,PT_GWB_PT006,2002,68.53453,13,206,57.25
Look_into_this,PT007,PT_GWB_PT007,2002,18.54563,0.18,48.73,15.6925
Look_into_this,PT008,PT_GWB_PT008,2002,15.819,1.77,35.66,13.18
Look_into_this,PT009,PT_GWB_PT009,2002,40.74541,0.04,198.76,26.39667
Look_into_this,PT010,PT_GWB_PT010,2002,20.36867,1.4,107.9,18.05
28,PTA2,PT_GWB_PTA2,2002,9.76667,4.3,12,11
59,PTA9,PT_GWB_PTA9,2002,51.18417,24,78,52.9375
75,PTM2,PT_GWB_PTM2,2002,10.2,2.6,22.3,8.75
65,PTM5,PT_GWB_PTM5,2002,8.83333,2,14.6,10.225
27,PTO1,PT_GWB_PTO1,2002,44.67857,0.22,104.47,50.98333
74,PTO15,PT_GWB_PTO15,2002,10.85875,1.77,32.21,12.085
29,PTO20,PT_GWB_PTO20,2002,11.3975,0.18,27.1,11.52
44,PTT1,PT_GWB_PTT1,2002,4.25409,0.18,18.46,2.015
45,PTT3,PT_GWB_PTT3,2002,3.34355,0.18,25.78,1.64
46,PTT7,PT_GWB_PTT7,2002,112.56,6.42,221.77,85.94
Look_into_this,PT001,PT_GWB_PT001,2003,16.356,10.64,23.77,15.91
Look_into_this,PT002,PT_GWB_PT002,2003,44.09222,0.84,143.7,33.33
Look_into_this,PT003,PT_GWB_PT003,2003,8.34,0.84,41.39,1.43
Look_into_this,PT004,PT_GWB_PT004,2003,8.9169,0.84,57.99,3.69
Look_into_this,PT006,PT_GWB_PT006,2003,79.43333,18,219,66
Look_into_this,PT007,PT_GWB_PT007,2003,22.20125,2.75,82.49,13.47
Look_into_this,PT009,PT_GWB_PT009,2003,40.64401,0.04,222.386,23.55315
Look_into_this,PT010,PT_GWB_PT010,2003,18.93938,0.1,82.5,15.805
59,PTA9,PT_GWB_PTA9,2003,58.33333,51,67,56.5
75,PTM2,PT_GWB_PTM2,2003,13.715,10.64,16.79,13.715
65,PTM5,PT_GWB_PTM5,2003,4.968,0.1,13.02,3.04
27,PTO1,PT_GWB_PTO1,2003,36.64689,0.4,79.297,42.0407
29,PTO20,PT_GWB_PTO20,2003,14.62833,2.75,33.58,13.47
44,PTT1,PT_GWB_PTT1,2003,5.71429,0.84,25.61,0.97
45,PTT3,PT_GWB_PTT3,2003,2.05467,0.84,4.52,1.33
46,PTT7,PT_GWB_PTT7,2003,98.15333,34.01,141.08,119.37
1,PTA0x1RH1,PT_GWB_PTA0x1RH1,2006,27.55,23,32.3,27.45
54,PTA0x1RH2,PT_GWB_PTA0x1RH2,2006,31.55,13.1,50,31.55
3,PTA0x1RH3,PT_GWB_PTA0x1RH3,2006,6,6,6,6
6,PTA0x1RH4,PT_GWB_PTA0x1RH4,2006,20.82,6.1,52,18
85,PTA0x1RH5,PT_GWB_PTA0x1RH5,2006,14.8111,2.2,53,7.8
