agrarian_region_id,agrarian_region,potato
Entre Douro e Minho,1,40000
Trás-os-Montes,2,40000
Beira Litoral,3,40000
Beira Interior,4,40000
Ribatejo e Oeste,5,40000
Alentejo,6,40000
Algarve,7,40000
