agrarian_region_id,agrarian_region,other_industry,sunflower
Entre Douro e Minho,1,80000,2500
Trás-os-Montes,2,80000,2500
Beira Litoral,3,80000,2500
Beira Interior,4,80000,2500
Ribatejo e Oeste,5,80000,2500
Alentejo,6,80000,2500
Algarve,7,80000,2500
