agrarian_region_id,agrarian_region,almonds,chestnut,nuuts,other_dried_nuts,locust
Entre Douro e Minho,1,2000,2000,4000,2000,2000
Trás-os-Montes,2,2000,2000,4000,2000,2000
Beira Litoral,3,2000,2000,4000,2000,2000
Beira Interior,4,2000,2000,4000,2000,2000
Ribatejo e Oeste,5,2000,2000,4000,2000,2000
Alentejo,6,2000,2000,4000,2000,2000
Algarve,7,2000,2000,4000,2000,2000
