CAA_ID,Muni_ID,full_ID,Muni,uaa99,poly_sum,poly_corr,lf99
1,101,1610101,Águeda,2918,8500,21,12.62755102
2,101,1610101,Águeda,2918,8500,13,12.03703704
3,101,1610101,Águeda,2918,8500,18,15.85365854
4,101,1610101,Águeda,2918,8500,14,11.1328125
5,101,1610101,Águeda,2918,8500,16,23.61111111
6,101,1610101,Águeda,2918,8500,1,12.5
7,101,1610101,Águeda,2918,8500,19,16.13372093
8,101,1610101,Águeda,2918,8500,12,22.68518519
9,101,1610101,Águeda,2918,8500,11,12.01923077
10,101,1610101,Águeda,2918,8500,13,17.1875
11,101,1610101,Águeda,2918,8500,88,16.03658537
12,101,1610101,Águeda,2918,8500,33,11.01973684
13,101,1610101,Águeda,2918,8500,15,15.45138889
14,101,1610101,Águeda,2918,8500,13,15.73275862
15,101,1610101,Águeda,2918,8500,33,11.52597403
16,101,1610101,Águeda,2918,8500,15,18.75
17,101,1610101,Águeda,2918,8500,41,14.67105263
18,101,1610101,Águeda,2918,8500,10,11.53846154
19,101,1610101,Águeda,2918,8500,32,20.83333333
20,101,1610101,Águeda,2918,8500,28,15.38461538
21,101,1610101,Águeda,2918,8500,27,17.26190476
22,101,1610101,Águeda,2918,8500,20,6.388888889
23,101,1610101,Águeda,2918,8500,35,13.42592593
24,101,1610101,Águeda,2918,8500,54,24.00793651
25,101,1610101,Águeda,2918,8500,37,17.36111111
26,101,1610101,Águeda,2918,8500,14,19.3359375
27,101,1610101,Águeda,2918,8500,12,2.916666667
28,101,1610101,Águeda,2918,8500,16,12.00657895
29,101,1610101,Águeda,2918,8500,28,17.98076923
30,101,1610101,Águeda,2918,8500,64,14.125
31,101,1610101,Águeda,2918,8500,12,23.95833333
32,101,1610101,Águeda,2918,8500,55,15.74427481
33,101,1610101,Águeda,2918,8500,12,22.76785714
34,101,1610101,Águeda,2918,8500,16,23.19078947
35,101,1610101,Águeda,2918,8500,18,13.63636364
36,101,1610101,Águeda,2918,8500,32,18.18910256
37,101,1610101,Águeda,2918,8500,0,12.5
38,101,1610101,Águeda,2918,8500,2,12.5
39,101,1610101,Águeda,2918,8500,28,17.61363636
40,101,1610101,Águeda,2918,8500,13,14.71774194
41,101,1610101,Águeda,2918,8500,11,18.75
42,101,1610101,Águeda,2918,8500,15,12.33552632
43,101,1610101,Águeda,2918,8500,12,12.93103448
44,101,1610101,Águeda,2918,8500,46,17.02981651
45,101,1610101,Águeda,2918,8500,24,18.98148148
46,101,1610101,Águeda,2918,8500,26,19.55645161
47,101,1610101,Águeda,2918,8500,26,21.08050847
48,101,1610101,Águeda,2918,8500,15,15.625
49,101,1610101,Águeda,2918,8500,22,22.47596154
50,101,1610101,Águeda,2918,8500,22,11.625
51,101,1610101,Águeda,2918,8500,12,15.20833333
52,101,1610101,Águeda,2918,8500,37,20.3125
53,101,1610101,Águeda,2918,8500,244,15.77690972
54,101,1610101,Águeda,2918,8500,69,15.5078125
55,101,1610101,Águeda,2918,8500,911,13.6255235
