CAA_ID,Muni_ID,Full_ID,Muni,uaa09,poly_sum,poly_corr,lf09
78,101,1610101,�gueda,1903,5652,150,14.55
79,101,1610101,�gueda,1903,5652,14,8.93
80,101,1610101,�gueda,1903,5652,15,20.61
81,101,1610101,�gueda,1903,5652,19,15.16
82,101,1610101,�gueda,1903,5652,1,12.5
83,101,1610101,�gueda,1903,5652,0,12.5
84,101,1610101,�gueda,1903,5652,11,12.02
85,101,1610101,�gueda,1903,5652,12,15.83
86,101,1610101,�gueda,1903,5652,87,15.14
87,101,1610101,�gueda,1903,5652,32,10.39
88,101,1610101,�gueda,1903,5652,15,14.11
89,101,1610101,�gueda,1903,5652,12,14.38
90,101,1610101,�gueda,1903,5652,32,11.33
91,101,1610101,�gueda,1903,5652,15,18.06
92,101,1610101,�gueda,1903,5652,16,15.26
93,101,1610101,�gueda,1903,5652,40,14.18
94,101,1610101,�gueda,1903,5652,66,14.3
95,101,1610101,�gueda,1903,5652,10,11.14
96,101,1610101,�gueda,1903,5652,31,20.39
97,101,1610101,�gueda,1903,5652,27,14.58
98,101,1610101,�gueda,1903,5652,12,18.1
99,101,1610101,�gueda,1903,5652,20,5.47
100,101,1610101,�gueda,1903,5652,25,18.75
101,101,1610101,�gueda,1903,5652,13,19.51
102,101,1610101,�gueda,1903,5652,11,18.75
103,101,1610101,�gueda,1903,5652,63,13.69
104,101,1610101,�gueda,1903,5652,80,13.72
105,101,1610101,�gueda,1903,5652,11,23.06
106,101,1610101,�gueda,1903,5652,31,18.23
107,101,1610101,�gueda,1903,5652,2,12.5
108,101,1610101,�gueda,1903,5652,2,12.5
109,101,1610101,�gueda,1903,5652,28,17.17
110,101,1610101,�gueda,1903,5652,121,14.8
111,101,1610101,�gueda,1903,5652,11,14.22
112,101,1610101,�gueda,1903,5652,23,20.45
113,101,1610101,�gueda,1903,5652,12,18.1
114,101,1610101,�gueda,1903,5652,16,18.75
115,101,1610101,�gueda,1903,5652,12,16.74
116,101,1610101,�gueda,1903,5652,1,18.75
117,101,1610101,�gueda,1903,5652,15,16.05
118,101,1610101,�gueda,1903,5652,4,18.75
119,102,1610102,ALBERGARIA-A-VELHA,2103,5313,0,12.5
120,102,1610102,ALBERGARIA-A-VELHA,2103,5313,70,9.09
121,102,1610102,ALBERGARIA-A-VELHA,2103,5313,15,8.87
122,102,1610102,ALBERGARIA-A-VELHA,2103,5313,17,18.75
123,102,1610102,ALBERGARIA-A-VELHA,2103,5313,40,11.81
124,102,1610102,ALBERGARIA-A-VELHA,2103,5313,38,13.97
125,102,1610102,ALBERGARIA-A-VELHA,2103,5313,18,16.86
126,102,1610102,ALBERGARIA-A-VELHA,2103,5313,22,10.51
127,102,1610102,ALBERGARIA-A-VELHA,2103,5313,40,18.97
128,102,1610102,ALBERGARIA-A-VELHA,2103,5313,38,11.08
129,102,1610102,ALBERGARIA-A-VELHA,2103,5313,13,8.84
130,102,1610102,ALBERGARIA-A-VELHA,2103,5313,1520,11.97
131,102,1610102,ALBERGARIA-A-VELHA,2103,5313,0,25
132,102,1610102,ALBERGARIA-A-VELHA,2103,5313,17,12.84
133,102,1610102,ALBERGARIA-A-VELHA,2103,5313,49,12.63
134,102,1610102,ALBERGARIA-A-VELHA,2103,5313,25,9.43
135,102,1610102,ALBERGARIA-A-VELHA,2103,5313,69,17.24
136,102,1610102,ALBERGARIA-A-VELHA,2103,5313,38,18.36
137,102,1610102,ALBERGARIA-A-VELHA,2103,5313,28,13.05
138,102,1610102,ALBERGARIA-A-VELHA,2103,5313,46,12.3
139,103,1610103,ANADIA,3446,2397,39,13.69
140,103,1610103,ANADIA,3446,2397,91,17.86
141,103,1610103,ANADIA,3446,2397,168,18.82
142,103,1610103,ANADIA,3446,2397,55,13.36
143,103,1610103,ANADIA,3446,2397,70,17.63
144,103,1610103,ANADIA,3446,2397,114,13.73
145,103,1610103,ANADIA,3446,2397,111,12.3
146,103,1610103,ANADIA,3446,2397,111,12.79
147,103,1610103,ANADIA,3446,2397,56,18.15
148,103,1610103,ANADIA,3446,2397,1047,17.72
149,103,1610103,ANADIA,3446,2397,47,16.88
150,103,1610103,ANADIA,3446,2397,49,12.5
151,103,1610103,ANADIA,3446,2397,46,18.75
152,103,1610103,ANADIA,3446,2397,62,12.67
153,103,1610103,ANADIA,3446,2397,239,11.89
154,103,1610103,ANADIA,3446,2397,75,15.69
155,103,1610103,ANADIA,3446,2397,82,15.82
156,103,1610103,ANADIA,3446,2397,49,13.39
157,103,1610103,ANADIA,3446,2397,59,12.5
158,103,1610103,ANADIA,3446,2397,167,12.24
159,103,1610103,ANADIA,3446,2397,122,17.93
160,103,1610103,ANADIA,3446,2397,89,19.92
161,103,1610103,ANADIA,3446,2397,79,18.75
162,103,1610103,ANADIA,3446,2397,68,16.35
163,103,1610103,ANADIA,3446,2397,68,13.94
164,103,1610103,ANADIA,3446,2397,49,12.5
165,103,1610103,ANADIA,3446,2397,76,18.31
166,103,1610103,ANADIA,3446,2397,63,16.07
167,103,1610103,ANADIA,3446,2397,96,18.75
168,103,1610103,ANADIA,3446,2397,0,12.5
169,103,1610103,ANADIA,3446,2397,1,12.5
170,104,1160104,AROUCA,4457,5604,44,18.75
171,104,1160104,AROUCA,4457,5604,140,18.75
172,104,1160104,AROUCA,4457,5604,36,18.75
173,104,1160104,AROUCA,4457,5604,5,18.75
174,104,1160104,AROUCA,4457,5604,26,18.75
175,104,1160104,AROUCA,4457,5604,7,18.75
