Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip,microaspersion,SUM
408,1180408,Mogadouro,186.55,222.794,626.808,29.848,0,0,0,1066
1706,1181706,Montalegre,853.545,7169.778,97.548,8.129,0,0,0,8129
1707,1181707,Mur�a,176.418,130.734,178.848,0,0,0,0,486
1712,1181712,Valpa�os,2273.868,1342.404,931.464,0,22.83,0,0,4566
1713,1181713,Vila Pouca de Aguiar,822.51,1984.68,522.81,0,0,0,0,3330
411,1180411,Vimioso,286.578,150.426,111.447,0,0,0,0,549
412,1180412,Vinhais,185.288,3121.928,188.784,0,0,0,0,3496
101,1610101,�gueda,589.572,274.752,839.52,204.156,0,0,0,1908
102,1610102,Albergaria-a-Velha,246.753,0,1023.087,173.16,0,0,0,1443
103,1610103,Anadia,364.369,62.254,1170.009,230.706,0,0,5.493,1831
105,1610105,Aveiro,232.526,7.816,1141.136,465.052,0,0,107.47,1954
108,1610108,Estarreja,41.84,89.956,1583.644,376.56,0,0,0,2092
110,1610110,�lhavo,43.68,3.36,374.304,250.656,0,0,0,672
111,1610111,Mealhada,296.907,26.91,408.135,165.048,0,0,0,897
112,1610112,Murtosa,1.163,0,793.166,368.671,0,0,0,1163
114,1610114,Oliveira do Bairro,211.42,226.424,900.24,16.368,8.184,0,1.364,1364
115,1610115,Ovar,189.656,1.256,1008.568,57.776,0,0,0,1256
117,1610117,Sever do Vouga,516.879,129.789,108.537,0,0,0,3.795,759
118,1610118,Vagos,43.833,4.614,1997.862,226.086,0,0,34.605,2307
602,1620602,Cantanhede,236.04,60.696,2947.128,87.672,0,0,40.464,3372
603,1620603,Coimbra,2176.48,652.944,438.864,121.312,174.832,0,7.136,3568
604,1620604,Condeixa-a-Nova,455.328,107.973,164.889,10.044,99.603,0,0,837
605,1620605,Figueira da Foz,306.41,3214.948,999.368,56.568,136.706,0,0,4714
608,1620608,Mira,34.875,44.64,1007.19,160.425,139.5,0,8.37,1395
610,1620610,Montemor-o-Velho,2646.429,1687.018,1732.091,154.536,218.926,0,0,6439
613,1620613,Penacova,243.988,13.756,103.894,0,0,0,0,362
615,1620615,Soure,760.09,1263.322,440.328,154.639,0,0,0,2621
1004,1631004,Batalha,74.73,39.75,403.33,10.07,0,0,2.65,530
1009,1631009,Leiria,2047.961,283.628,1318.036,162.669,329.509,0,29.197,4171
1010,1631010,Marinha Grande,84.55,8.9,84.55,0,0,0,0,178
1015,1631015,Pombal,1107.852,578.436,1388.9,117.648,55.556,0,22.876,3268
1016,1631016,Porto de M�s,8.34,28.912,510.964,0,0,0,8.34,556
1002,1641002,Alvai�zere,107.04,70.914,483.687,7.359,0,0,0,669
1003,1641003,Ansi�o,68.58,48.26,391.16,0,0,0,0,508
601,1640601,Arganil,174.195,13.23,515.235,33.075,0,0,0,735
1007,1641007,Castanheira de P�ra,28,0,28,0,0,0,0,56
1008,1641008,Figueir� dos Vinhos,221.214,7.786,221.214,7.786,0,0,0,458
606,1640606,G�is,150.252,5.472,72.276,0,0,0,0,228
607,1640607,Lous�,169.068,5.404,211.528,0,0,0,0,386
609,1640609,Miranda do Corvo,185.3,31.61,328.09,0,0,0,0,545
611,1640611,Oliveira do Hospital,702.21,162.87,1767.54,34.71,0,0,0,2670
612,1640612,Pampilhosa da Serra,86.268,47.866,47.866,0,0,0,0,182
1013,1641013,Pedr�g�o Grande,149.745,8.71,167.5,0,0,0,8.71,335
614,1640614,Penela,96.866,19.943,223.443,66.748,0,0,0,407
616,1640616,T�bua,250.25,77,996.875,49.5,0,0,0,1375
617,1640617,Vila Nova de Poiares,108.4,18.157,132.519,0,0,0,11.924,271
901,1650901,Aguiar da Beira,382.382,302.926,1800.175,0,0,0,0,2483
1802,1651802,Carregal do Sal,299.925,37.665,1050.435,0,0,0,5.58,1395
1803,1651803,Castro Daire,1466.19,1267.736,228.074,0,0,0,2.962,2962
1806,1651806,Mangualde,651.708,530.46,2603.043,3.789,0,0,0,3789
1808,1651808,Mort�gua,376.554,28.518,176.928,0,0,0,0,582
1809,1651809,Nelas,305.184,152.592,1231.14,43.35,0,0,0,1734
1810,1651810,Oliveira de Frades,984,154.5,354,6,0,0,0,1500
1811,1651811,Penalva do Castelo,1030.47,155.622,895.878,21.03,0,0,0,2103
1814,1651814,Santa Comba D�o,339.735,240.69,472.86,10.65,0,0,0,1065
1816,1651816,S�o Pedro do Sul,1392.4,516.84,413,25.96,0,0,9.44,2360
1817,1651817,S�t�o,929.076,406.992,316.92,15.012,0,0,0,1668
1821,1651821,Tondela,1607.724,535.908,1470.126,7.242,0,0,0,3621
1822,1651822,Vila Nova de Paiva,275.52,490.36,54.12,0,0,0,0,820
1823,1651823,Viseu,2924.544,666.624,1634.304,69.888,5.376,0,80.64,5376
1824,1651824,Vouzela,671.55,410.85,564.3,4.95,0,0,0,1650
1413,1661413,Ma��o,28.997,66.937,175.337,0,0,0,0,271
506,1660506,Oleiros,203.136,29.952,150.528,0,0,0,0,384
508,1660508,Proen�a-a-Nova,149.902,100.142,371.956,0,0,0,0,622
509,1660509,Sert�,450.91,104.988,685.114,55.186,0,0,49.802,1346
510,1660510,Vila de Rei,13.392,21.762,26.784,0,0,0,0,62
905,1670905,Fornos de Algodres,325.728,63.648,847.392,11.232,0,0,0,1248
906,1670906,Gouveia,241.466,695.176,599.82,0,0,0,1.538,1538
912,1670912,Seia,364.694,628.232,1663.75,2.662,0,0,2.662,2662
902,1680902,Almeida,174.717,99.941,424.929,0,0,0,20.132,719
903,1680903,Celorico da Beira,315.168,1319.766,1451.086,196.98,0,0,0,3283
904,1680904,Figueira de Castelo Rodrigo,40.392,275.616,784.08,81.972,0,0,5.94,1188
907,1680907,Guarda,851.571,3105.048,1401.906,388.131,0,0,46.344,5793
908,1680908,Manteigas,21.931,7.23,211.839,0,0,0,0,241
909,1680909,M�da,127.26,109.08,651.753,20.907,0,0,0,909
910,1680910,Pinhel,159.692,348.244,1140.932,267.436,0,0,9.62,1924
911,1680911,Sabugal,264.25,1589.728,215.628,46.508,0,0,0,2114
913,1680913,Trancoso,482.273,299.164,1606.717,190.846,0,0,0,2579
502,1690502,Castelo Branco,457.47,182.988,2863.224,446.706,1286.298,0,150.696,5382
505,1690505,Idanha-a-Nova,215.625,207,2070,405.375,5701.125,0,34.5,8625
507,1690507,Penamacor,55.32,42.412,490.504,122.626,212.06,0,0,922
511,1690511,Vila Velha de R�d�o,16,36.8,558.4,3.2,185.6,0,0,800
501,16A0501,Belmonte,64.701,92.904,1003.695,394.842,59.724,0,43.134,1659
503,16A0503,Covilh�,593.792,742.24,2477.226,501.012,259.784,0,64.946,4639
504,16A0504,Fund�o,703.05,931.95,4087.5,752.1,940.125,0,768.45,8175
1001,16B1001,Alcoba�a,41.468,112.556,2742.812,14.81,44.43,0,5.924,2962
1101,16B1101,Alenquer,61.852,39.48,869.876,147.392,189.504,0,6.58,1316
1102,16B1102,Arruda dos Vinhos,3.3,0,36.7,0,0,0,60,100
1005,16B1005,Bombarral,0,7.011,736.155,33.497,0,0,2.337,779
1104,16B1104,Cadaval,0,9.889,888.212,0.899,0,0,0,899
1006,16B1006,Caldas da Rainha,26.85,26.85,1716.61,1.79,16.11,0,3.58,1790
1108,16B1108,Lourinh�,7.305,10.227,920.43,5.844,0,0,515.733,1461
1011,16B1011,Nazar�,0,11.628,593.028,41.724,36.936,0,0,684
1012,16B1012,�bidos,18.984,27.12,1270.572,5.424,0,0,33.9,1356
1014,16B1014,Peniche,0,2.762,515.113,6.905,0,0,854.839,1381
1112,16B1112,Sobral de Monte Agra�o,4.84,3.388,52.272,0,70.422,0,111.078,242
1113,16B1113,Torres Vedras,44.982,47.481,2226.609,92.463,22.491,0,64.974,2499
1401,16C1401,Abrantes,263.16,243.81,1919.52,23.22,1412.55,0,7.74,3870
1402,16C1402,Alcanena,0,17.958,269.37,27.156,123.516,0,0,438
1408,16C1408,Const�ncia,15.84,6.27,25.245,0.66,116.985,0,0,165
1410,16C1410,Entroncamento,12.92,4.505,64.345,3.23,0,0,0,85
1411,16C1411,Ferreira do Z�zere,37.679,50.545,797.692,16.542,0,0,16.542,919
1421,16C1421,Our�m,1045.38,29.868,449.592,47.16,0,0,0,1572
1417,16C1417,Sardoal,5.313,92.253,369.978,15.456,0,0,0,483
1418,16C1418,Tomar,196.224,78.256,561.808,29.2,294.336,0,8.176,1168
1419,16C1419,Torres Novas,282.844,88.959,1377.724,175.637,305.654,0,50.182,2281
1420,16C1420,Vila Nova da Barquinha,13.013,12.155,95.953,9.581,12.155,0,0,143
1115,1711115,Amadora,,,,,,0,,
1105,1711105,Cascais,13.431,2.299,80.586,24.684,0,0,0,121
1106,1711106,Lisboa,0,0,0.074,0,0.926,0,0,1
1107,1711107,Loures,160.017,17.904,758.682,101.829,0,0,80.568,1119
1109,1711109,Mafra,51.102,30.06,1209.915,4.509,0,0,208.917,1503
1116,1711116,Odivelas,16.198,0,72.891,0,0,0,0,89
1110,1711110,Oeiras,0,0,51,0,0,0,0,51
1111,1711111,Sintra,40.95,132.405,963.69,96.915,87.36,0,45.045,1365
1114,1711114,Vila Franca de Xira,74.592,1442.112,1359.232,82.88,1181.04,0,0,4144
1502,1721502,Alcochete,1.215,201.69,402.165,40.095,569.835,0,0,1215
1503,1721503,Almada,4.233,5.229,236.301,0.996,0,0,2.241,249
1504,1721504,Barreiro,2.6,5.3,92.1,0,0,0,0,100
1506,1721506,Moita,34.125,69.615,476.385,739.83,40.95,0,4.095,1365
1507,1721507,Montijo,0,0,0,0,0,0,0,0
1508,1721508,Palmela,14.864,936.432,3485.608,832.384,1939.752,0,215.528,7432
1510,1721510,Seixal,0,11.2,67.2,0,0,0,1.6,80
1511,1721511,Sesimbra,41.856,75.864,250.264,13.08,54.936,0,0,436
1512,1721512,Set�bal,4.765,114.36,789.084,20.013,17.154,0,7.624,953
1501,1811501,Alc�cer do Sal,0,6396.973,417.032,81.917,491.502,0,59.576,7447
1505,1811505,Gr�ndola,161.778,1458.744,608.724,148.068,326.298,0,38.388,2742
211,1810211,Odemira,594.432,1761.28,2322.688,2520.832,3775.744,0,33.024,11008
1509,1811509,Santiago do Cac�m,145.74,983.745,4532.514,7.287,1435.539,0,182.175,7287
1513,1811513,Sines,29.2,35.04,249.952,105.704,164.104,0,0,584
1201,1821201,Alter do Ch�o,3.306,1.102,977.474,40.774,78.242,0,0,1102
1202,1821202,Arronches,76.109,17.612,167.943,337.773,30.192,0,0,629
1203,1821203,Avis,3.445,3.445,2573.415,103.35,764.79,0,0,3445
1204,1821204,Campo Maior,0,22.35,3030.66,156.45,1260.54,0,0,4470
1205,1821205,Castelo de Vide,0,0,356,0,0,0,0,356
1206,1821206,Crato,8.723,0,431.392,65.819,286.273,0,0,793
1207,1821207,Elvas,241.059,142.163,4221.623,309.05,1254.743,0,6.181,6181
1208,1821208,Fronteira,0,3.376,729.216,8.44,946.968,0,0,1688
1209,1821209,Gavi�o,175.175,80.85,497.35,3.675,469.175,0,0,1225
1210,1821210,Marv�o,3.458,13.832,473.252,0,0,0,3.458,494
1211,1821211,Monforte,0,1.698,1035.78,1.698,658.824,0,0,1698
707,1820707,Mora,88.595,16.965,329.875,124.41,1327.04,0,0,1885
1212,1821212,Nisa,0,39.16,364.32,0,36.96,0,0,440
1213,1821213,Ponte de Sor,425.646,425.646,1004.088,43.656,1735.326,0,0,3638
1214,1821214,Portalegre,119.239,88.924,1416.721,14.147,377.927,0,4.042,2021
701,1830701,Alandroal,0,100.155,959.667,9.105,752.073,0,0,1821
702,1830702,Arraiolos,141.451,183.504,1334.227,84.106,1961.199,0,122.336,3823
703,1830703,Borba,1.81,19.005,779.205,35.295,68.78,0,0,905
704,1830704,Estremoz,19.987,19.987,1108.37,59.961,585.074,0,23.621,1817
