Muni_ID,ID,Muni,atmn,sludge,fertiliser,gross_manure,bnf,residues,irrigation
1601,1111601,Arcos de Valdevez,2.4,0.00000,24.5,46.4,3.9,0.8,
1602,1111602,Caminha,1.1,0.93364,14.2,113.7,3.6,1,
1603,1111603,Melgaço,1.6,0.07895,10.1,38.6,4.1,0.4,
1604,1111604,Monção,2.3,0.14793,35.6,65.7,3.5,1.1,
1605,1111605,Paredes de Coura,2.3,0.12649,57.3,70.1,2.7,1.6,
1606,1111606,Ponte da Barca,3.8,0.06138,12.6,30,4.3,0.5,
1607,1111607,Ponte de Lima,2.3,0.09438,60.4,91.7,2.2,2.1,
1608,1111608,Valença,1.4,0.45803,76.1,99.9,2.2,2.5,
1609,1111609,Viana do Castelo,1.5,0.72503,46.6,118.2,2.2,2,
1610,1111610,Vila Nova de Cerveira,0.6,1.84651,68.3,137.9,3.3,2.6,
301,1120301,Amares,1.9,0.00000,64.6,227.2,0.8,2.9,
302,1120302,Barcelos,2.2,0.73771,19.2,362.5,0.2,1.6,
303,1120303,Braga,2,1.08990,85.9,156.7,0.4,3.3,
306,1120306,Esposende,1.8,1.07743,54.4,281.4,0.2,2,
310,1120310,Terras de Bouro,1.9,0.02123,17.8,24.1,4.4,0.5,
313,1120313,Vila Verde,1.8,0.02291,96.6,116.8,2.3,3,
307,1130307,Fafe,1.4,0.23247,124.8,118.6,1.9,3.8,
308,1130308,Guimarães,1.7,1.78351,88.3,188.6,0.5,3.5,
309,1130309,Póvoa de Lanhoso,1.6,0.02919,109.7,114.8,0.9,3.3,
1314,1131314,Santo Tirso,1.5,7.57744,53.5,159.7,0.4,2.7,
1318,1131318,Trofa,1.7,0.00000,7.2,403,0.5,1.6,
311,1130311,Vieira do Minho,1.4,0.00316,44.3,68.4,3,1.3,
312,1130312,Vila Nova de Famalicão,2.3,3.96137,34.9,248.6,0.1,2.1,
314,1130314,Vizela,1.5,0.00000,128.8,101.5,0.9,3.5,
107,1140107,Espinho,0.2,46.60243,126.6,133.7,1.1,0.4,
1304,1141304,Gondomar,1,2.46195,113.2,98.3,0.2,0.5,
1306,1141306,Maia,1.7,4.57762,29.4,279,0.3,1.6,
1308,1141308,Matosinhos,1.5,3.35177,24.5,371.7,0,1.5,
1312,1141312,Porto,0,0.00000,0,0,0,0,
1313,1141313,Póvoa de Varzim,2.6,0.00000,46.1,475.1,0.1,1,
1315,1141315,Valongo,0.9,17.42523,13,285,0.3,2.3,
1316,1141316,Vila do Conde,2.7,0.00910,5.7,487,0,1.2,
1317,1141317,Vila Nova de Gaia,0.6,19.60887,109.3,119.6,4.4,2.9,
1301,1151301,Amarante,1.1,0.21967,120.8,75.5,1.9,3,
1302,1151302,Baião,1.3,0.00000,95.8,48,1.7,2.3,
304,1150304,Cabeceiras de Basto,1.4,0.00000,62.1,59.7,3,1.1,
106,1150106,Castelo de Paiva,0.7,0.00000,122,95.4,2.3,3.4,
305,1150305,Celorico de Basto,1.2,0.08848,126.2,116.5,1.4,3.5,
1804,1151804,Cinfães,1.2,0.00000,71.5,69.1,3.7,1.7,
1303,1151303,Felgueiras,2.1,0.18584,110.9,109.9,0,0.6,
1305,1151305,Lousada,2,0.11027,80,132.2,0.8,2.8,
1307,1151307,Marco de Canaveses,1.3,0.55806,103.6,59.1,2.2,2.7,
1705,1151705,Mondim de Basto,1.7,0.00000,52,30.8,3.8,1.2,
1309,1151309,Paços de Ferreira,1.4,1.64559,84,160.8,1,3.2,
1310,1151310,Paredes,1.3,0.00000,93,132.6,0.8,3.2,
1311,1151311,Penafiel,1.3,0.80604,94.7,95.1,0.9,3.1,
1813,1151813,Resende,2,0.05349,28.8,38.8,2,0.1,
1709,1151709,Ribeira de Pena,0.8,0.00178,98.1,82,2.2,2.3,
104,1160104,Arouca,0.8,0.00000,51.9,168.6,1.8,2.3,
113,1160113,Oliveira de Azeméis,0.7,0.30828,9.6,554.7,0.5,2.8,
109,1160109,Santa Maria da Feira,0.5,0.00265,86.9,243.4,1,4.1,
116,1160116,São João da Madeira,0,0.00000,0,0,0,0,
119,1160119,Vale de Cambra,0.7,0.00000,87.9,200.9,3.6,4,
1701,1171701,Alijó,1.5,0.01941,20.4,18.1,0.5,0.1,
1801,1171801,Armamar,1.9,0.04037,26.6,6.7,0.1,0.1,
403,1170403,Carrazeda de Ansiães,1.2,0.00195,27.1,14.4,0.5,0.2,
404,1170404,Freixo de Espada à Cinta,1.6,0.00000,25.5,8.4,0.6,0.1,
1805,1171805,Lamego,2,0.10020,19.3,15.1,1,0.1,
1704,1171704,Mesão Frio,2.5,0.00000,2.8,6.1,0.6,0,
1807,1171807,Moimenta da Beira,1.2,0.11693,14.7,89.6,1.2,0.5,
1812,1171812,Penedono,1.3,0.00000,54.6,22,1.1,0.4,
1708,1171708,Peso da Régua,2.3,0.34904,21.5,8,0.1,0,
1710,1171710,Sabrosa,1.5,0.01886,19,23.9,0.7,0.1,
1711,1171711,Santa Marta de Penaguião,2.8,0.00000,22.2,7.9,0.4,0.1,
1815,1171815,São João da Pesqueira,2.2,0.02532,27,6,0.4,0.1,
1818,1171818,Sernancelhe,1,0.00000,32.4,30.4,1.4,0.4,
1819,1171819,Tabuaço,1.6,0.02966,31.5,9.4,0.3,0.1,
1820,1171820,Tarouca,1.1,0.19398,15.2,111.1,0.5,0.5,
409,1170409,Torre de Moncorvo,1.5,0.07372,24.4,11.7,0.7,0.2,
410,1170410,Vila Flor,1.8,0.00000,37.6,10.2,0.3,0.1,
914,1170914,Vila Nova de Foz Côa,1.9,0.00000,19.9,5.6,1.1,0,
1714,1171714,Vila Real,1.5,0.27404,18.7,46,2.9,0.6,
401,1180401,Alfândega da Fé,1.8,0.00000,30.1,13.5,0.6,0.1,
1702,1181702,Boticas,1.7,0.00000,20.9,41.2,3.2,0.4,
402,1180402,Bragança,1.9,0.02659,38.8,22.7,0.9,0.5,
1703,1181703,Chaves,2.1,0.05796,30.7,39.8,1.2,0.8,
405,1180405,Macedo de Cavaleiros,1.7,0.03211,43.5,19.5,0.8,0.4,
406,1180406,Miranda do Douro,2.2,0.00000,29.3,31.8,1.5,0.4,
407,1180407,Mirandela,2,0.07094,35.5,17,0.4,0.3,
408,1180408,Mogadouro,2.4,0.00000,33.8,30.8,1,0.5,
1706,1181706,Montalegre,2.3,0.00190,12.6,37.7,3.6,0.4,
1707,1181707,Murça,1.2,0.03087,14.8,23.1,0.5,0,
1712,1181712,Valpaços,2.3,0.00910,44.6,20.9,0.7,0.4,
1713,1181713,Vila Pouca de Aguiar,1.3,0.00000,23.2,62.9,2.5,0.5,
411,1180411,Vimioso,1.5,0.00031,33.5,23.4,1,0.4,
412,1180412,Vinhais,1.6,0.00023,45.6,25.1,1.9,0.7,
101,1610101,Águeda,0.5,0.00000,77.6,231.8,1.1,4.4,
102,1610102,Albergaria-a-Velha,0.9,0.00000,32.2,281.1,1.6,3,
103,1610103,Anadia,1.2,0.00011,44.2,81.9,1,1.5,
105,1610105,Aveiro,0.8,2.21948,86.9,119.6,1.6,3,
108,1610108,Estarreja,1.6,0.00000,43.5,305,0.9,2.8,
110,1610110,Ílhavo,0.6,5.21448,55.5,297.9,3.7,3.1,
111,1610111,Mealhada,1.1,0.00000,6.1,225.5,0.7,1.6,
112,1610112,Murtosa,1.1,0.00000,40.6,262.8,0.4,2,
114,1610114,Oliveira do Bairro,1.5,0.03181,62.2,92.6,0.7,2.2,
115,1610115,Ovar,0.7,0.04566,9.4,466.4,0.5,2.5,
117,1610117,Sever do Vouga,0.5,0.00000,0.7,478.7,3.4,5.3,
118,1610118,Vagos,1,0.00000,49,268.2,0.9,2.6,
602,1620602,Cantanhede,1,0.00000,52.3,159.4,0.7,2,
603,1620603,Coimbra,0.9,1.29671,114.4,48.1,1.2,3.9,
604,1620604,Condeixa-a-Nova,1,0.19571,73.5,50.8,2.6,1.8,
