Muni_ID,ID,Muni,atmn,sludge,fertiliser,gross_manure,bnf,residues,irrigation
1601,1111601,Arcos de Valdevez,2.3,0,7.1,37.6,4,0.3,
1602,1111602,Caminha,1.4,2.946738858,5.3,48.1,4,0.5,
1603,1111603,Melgaço,3.4,0.145516849,1.1,10.2,4.4,0.1,
1604,1111604,Monção,2,0.705674705,16.1,47.1,3.2,0.6,
1605,1111605,Paredes de Coura,1.8,0.647947765,19.2,94.1,3.1,0.5,
1606,1111606,Ponte da Barca,1.2,0.799871082,7.1,78.8,3.7,0.5,
1607,1111607,Ponte de Lima,1.6,0.53019704,60.3,99.6,2.1,1.5,
1608,1111608,Valença,1.6,1.604265379,33.6,55.4,2.8,1,
1609,1111609,Viana do Castelo,1.3,3.373110733,48.9,84.2,2.6,1.2,
1610,1111610,Vila Nova de Cerveira,0.8,5.993956775,38.2,65,6,1,
301,1120301,Amares,1.5,0,38.2,237.3,0.7,1.7,
302,1120302,Barcelos,1.7,3.802720269,171.4,374.6,0.1,2.3,
303,1120303,Braga,1.3,6.905202969,142.9,185.5,0.3,2.9,
306,1120306,Esposende,1.2,6.208285728,163.9,270.2,0.8,2.2,
310,1120310,Terras de Bouro,1.3,0.122560283,6,28.3,4.3,0.3,
313,1120313,Vila Verde,1.4,0.121919025,85.7,120.6,1.8,2,
307,1130307,Fafe,0.8,1.663487055,49.1,211.7,1.3,2,
308,1130308,Guimarães,1.2,10.53588402,117.4,166.3,0.5,2.5,
309,1130309,Póvoa de Lanhoso,1,0.185418037,92.2,117.8,1.1,2,
1314,1131314,Santo Tirso,1.1,42.90928349,108.2,144.7,0.3,2.3,
1318,1131318,Trofa,1.5,0,188.9,428.7,0.4,2.4,
311,1130311,Vieira do Minho,1.5,0.012132634,14.5,47,4,0.4,
312,1130312,Vila Nova de Famalicão,1.7,21.95789271,147.5,292,0.2,2.3,
314,1130314,Vizela,1.1,0,141.2,74.2,1.1,2.9,
107,1140107,Espinho,0.2,163.3026621,9.8,346.2,2.1,0.5,
1304,1141304,Gondomar,0.7,14.68194799,101.2,77.1,0.3,0.4,
1306,1141306,Maia,1.5,21.88838816,160.7,283.8,0.2,2.3,
1308,1141308,Matosinhos,1.2,16.58088116,176.1,319.8,0.1,2.2,
1312,1141312,Porto,0.1,0,124.1,59.9,0.8,1.5,
1313,1141313,Póvoa de Varzim,2.2,0,166.2,463.7,0.1,1.9,
1315,1141315,Valongo,0.7,95.37640333,4.9,1060.8,0.1,2.9,
1316,1141316,Vila do Conde,2.4,0.041730705,179.6,503.7,0,2.3,
1317,1141317,Vila Nova de Gaia,0.4,128.285593,63,72.5,4.6,2.4,
1301,1151301,Amarante,1.5,0.672552318,49.2,24.7,2.8,1.1,
1302,1151302,Baião,1.4,0,34.1,30.6,2.7,0.8,
304,1150304,Cabeceiras de Basto,1.1,0,24.6,65.3,3,0.6,
106,1150106,Castelo de Paiva,0.7,0,104.4,75.3,1.4,2.2,
305,1150305,Celorico de Basto,0.9,0.462968944,94.6,78.9,0.9,2.2,
1804,1151804,Cinfães,1,0,43.9,56.2,3.1,0.9,
