Muni_ID,ID,Muni,UAA09
1601,1111601,Arcos de Valdevez,18478
1602,1111602,Caminha,3292
1603,1111603,Melgaço,15810
1604,1111604,Monção,6801
1605,1111605,Paredes de Coura,3949
1606,1111606,Ponte da Barca,3830
1607,1111607,Ponte de Lima,8842
1608,1111608,Valença,2759
1609,1111609,Viana do Castelo,7073
1610,1111610,Vila Nova de Cerveira,1373
301,1120301,Amares,1928
302,1120302,Barcelos,10985
303,1120303,Braga,3689
306,1120306,Esposende,2106
310,1120310,Terras de Bouro,6786
313,1120313,Vila Verde,5104
307,1130307,Fafe,3025
308,1130308,Guimarães,4298
309,1130309,Póvoa de Lanhoso,2033
1314,1131314,Santo Tirso,2174
1318,1131318,Trofa,1601
311,1130311,Vieira do Minho,5918
312,1130312,Vila Nova de Famalicão,5327
314,1130314,Vizela,423
107,1140107,Espinho,70
1304,1141304,Gondomar,1213
1306,1141306,Maia,1719
1308,1141308,Matosinhos,1147
1312,1141312,Porto,41
1313,1141313,Póvoa de Varzim,3326
1315,1141315,Valongo,657
1316,1141316,Vila do Conde,6094
1317,1141317,Vila Nova de Gaia,943
1301,1151301,Amarante,8748
1302,1151302,Baião,4850
304,1150304,Cabeceiras de Basto,5598
106,1150106,Castelo de Paiva,1346
305,1150305,Celorico de Basto,3231
1804,1151804,Cinfães,4455
1303,1151303,Felgueiras,2914
1305,1151305,Lousada,2392
1307,1151307,Marco de Canaveses,3215
1705,1151705,Mondim de Basto,5344
1309,1151309,Paços de Ferreira,1029
1310,1151310,Paredes,1995
1311,1151311,Penafiel,3283
1813,1151813,Resende,3407
1709,1151709,Ribeira de Pena,7335
104,1160104,Arouca,4457
113,1160113,Oliveira de Azeméis,1603
109,1160109,Santa Maria da Feira,1240
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,1872
1701,1171701,Alijó,8628
1801,1171801,Armamar,4538
403,1170403,Carrazeda de Ansiães,6795
404,1170404,Freixo de Espada à Cinta,7191
1805,1171805,Lamego,5395
1704,1171704,Mesão Frio,1074
1807,1171807,Moimenta da Beira,4227
1812,1171812,Penedono,3457
1708,1171708,Peso da Régua,4197
1710,1171710,Sabrosa,5083
1711,1171711,Santa Marta de Penaguião,3582
1815,1171815,São João da Pesqueira,13105
1818,1171818,Sernancelhe,5077
1819,1171819,Tabuaço,4090
1820,1171820,Tarouca,1883
409,1170409,Torre de Moncorvo,14312
410,1170410,Vila Flor,9267
914,1170914,Vila Nova de Foz Côa,12694
1714,1171714,Vila Real,10576
401,1180401,Alfândega da Fé,11761
1702,1181702,Boticas,13847
402,1180402,Bragança,36031
1703,1181703,Chaves,19480
405,1180405,Macedo de Cavaleiros,21803
406,1180406,Miranda do Douro,21813
407,1180407,Mirandela,24834
408,1180408,Mogadouro,32797
1706,1181706,Montalegre,55066
1707,1181707,Murça,4752
1712,1181712,Valpaços,21962
1713,1181713,Vila Pouca de Aguiar,11538
411,1180411,Vimioso,14507
412,1180412,Vinhais,17512
101,1610101,Águeda,1903
102,1610102,Albergaria-a-Velha,2103
103,1610103,Anadia,3446
105,1610105,Aveiro,2424
108,1610108,Estarreja,3173
110,1610110,Ílhavo,822
111,1610111,Mealhada,1708
112,1610112,Murtosa,1437
114,1610114,Oliveira do Bairro,1779
115,1610115,Ovar,1673
117,1610117,Sever do Vouga,648
118,1610118,Vagos,2511
602,1620602,Cantanhede,5775
603,1620603,Coimbra,5192
604,1620604,Condeixa-a-Nova,1904
605,1620605,Figueira da Foz,5509
608,1620608,Mira,1071
610,1620610,Montemor-o-Velho,8447
613,1620613,Penacova,793
615,1620615,Soure,4898
1004,1631004,Batalha,988
1009,1631009,Leiria,4870
1010,1631010,Marinha Grande,154
1015,1631015,Pombal,4108
1016,1631016,Porto de Mós,3350
1002,1641002,Alvaiázere,1433
1003,1641003,Ansião,2390
601,1640601,Arganil,1396
1007,1641007,Castanheira de Pêra,90
1008,1641008,Figueiró dos Vinhos,382
606,1640606,Góis,170
607,1640607,Lousã,410
609,1640609,Miranda do Corvo,691
611,1640611,Oliveira do Hospital,2973
612,1640612,Pampilhosa da Serra,442
1013,1641013,Pedrógão Grande,488
614,1640614,Penela,1131
616,1640616,Tábua,2135
617,1640617,Vila Nova de Poiares,261
901,1650901,Aguiar da Beira,2999
1802,1651802,Carregal do Sal,1409
1803,1651803,Castro Daire,3084
1806,1651806,Mangualde,3757
1808,1651808,Mortágua,855
1809,1651809,Nelas,2769
1810,1651810,Oliveira de Frades,1489
1811,1651811,Penalva do Castelo,2580
1814,1651814,Santa Comba Dão,1232
1816,1651816,São Pedro do Sul,3786
1817,1651817,Sátão,2761
1821,1651821,Tondela,4191
1822,1651822,Vila Nova de Paiva,1602
1823,1651823,Viseu,5827
1824,1651824,Vouzela,2018
1413,1661413,Mação,1618
506,1660506,Oleiros,1193
508,1660508,Proença-a-Nova,4100
509,1660509,Sertã,2463
510,1660510,Vila de Rei,340
905,1670905,Fornos de Algodres,2833
906,1670906,Gouveia,6648
912,1670912,Seia,5434
902,1680902,Almeida,19805
903,1680903,Celorico da Beira,8328
904,1680904,Figueira de Castelo Rodrigo,23863
907,1680907,Guarda,19248
908,1680908,Manteigas,288
909,1680909,Mêda,9253
910,1680910,Pinhel,18892
911,1680911,Sabugal,19995
913,1680913,Trancoso,11125
502,1690502,Castelo Branco,42209
505,1690505,Idanha-a-Nova,80156
507,1690507,Penamacor,12087
511,1690511,Vila Velha de Ródão,5645
501,16A0501,Belmonte,4945
503,16A0503,Covilhã,10792
504,16A0504,Fundão,25773
1001,16B1001,Alcobaça,7327
1101,16B1101,Alenquer,10935
1102,16B1102,Arruda dos Vinhos,2816
1005,16B1005,Bombarral,4238
1104,16B1104,Cadaval,4992
1006,16B1006,Caldas da Rainha,4645
1108,16B1108,Lourinhã,5639
1011,16B1011,Nazaré,941
