"GW_ID","GW_name","HU","GW_type","wsurplus_L"
1,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO MINHO","Massif","Ind",158063224000
2,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO LEÇA","Massif","Ind",21011104000
3,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO DOURO","Massif","Ind",1377686443000
4,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO DOURO","Western","Ind",1885106000
5,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO LIMA","Massif","Ind",410339183000
6,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO VOUGA","Massif","Ind",95308076000
7,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO MONDEGO","Massif","Ind",225155541000
8,"CALDAS DA RAINHA - NAZARÉ","Western","Aq",11877239000
9,"LEIROSA - MONTE REAL","Western","Aq",4350903000
10,"LUSO","Massif","Aq",22710000
11,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO SADO","Western","Ind",7381551000
12,"BACIA DO TEJO-SADO INDIFERENCIADO DA BACIA DO SADO","Tagus-Sado","Ind",70154204000
13,"BACIA DE ALVALADE","Tagus-Sado","Aq",58165779000
14,"ZONA SUL PORTUGUESA DAS BACIAS DAS RIBEIRAS DO BARLAVENTO","Massif","Ind",16143613000
15,"VIEIRA DE LEIRIA - MARINHA GRANDE","Western","Aq",3538633000
16,"ZONA SUL PORTUGUESA DA BACIA DO ARADE","Massif","Ind",16995750000
17,"VISO - QUERIDAS","Western","Aq",21624072000
18,"CONDEIXA - ALFARELOS","Western","Aq",14520122000
19,"VERRIDE","Western","Aq",1821392000
20,"LOURIÇAL","Western","Aq",32225766000
21,"CRETÁCICO DE AVEIRO","Western","Aq",60396930000
22,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO VOUGA","Western","Ind",29618870000
23,"ALUVIÕES DO MONDEGO","Western","Aq",29385246000
24,"CÁRSICO DA BAIRRADA","Western","Aq",28736449000
25,"TENTÚGAL","Western","Aq",10716090000
26,"FIGUEIRA DA FOZ - GESTEIRA","Western","Aq",6208769000
27,"QUATERNÁRIO DE AVEIRO","Western","Aq",55143735000
28,"ESCUSA","Massif","Aq",2350804000
29,"MACIÇO CALCÁRIO ESTREMENHO","Western","Aq",48098084000
30,"MONFORTE - ALTER DO CHÃO","Massif","Aq",9225216000
31,"PAÇO","Western","Aq",706710000
32,"ESTREMOZ - CANO","Massif","Aq",14130492000
33,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO TEJO","Western","Ind",106174814000
34,"ORLA OCIDENTAL INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO OESTE","Western","Ind",186723639000
35,"SICÓ - ALVAIÁZERE","Western","Aq",14944119000
36,"MACEIRA","Western","Aq",192914000
37,"TORRES VEDRAS","Western","Aq",3562021000
38,"PENELA - TOMAR","Western","Aq",16728249000
39,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO SADO","Massif","Ind",311046060000
40,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO GUADIANA","Massif","Ind",343605982000
41,"ZONA SUL PORTUGUESA DA BACIA DO SADO","Massif","Ind",176989738000
42,"ZONA SUL PORTUGUESA DA BACIA DO GUADIANA","Massif","Ind",194400747000
43,"BACIA DO TEJO-SADO INDIFERENCIADO DA BACIA DO TEJO","Tagus-Sado","Ind",70653266000
44,"BACIA DO TEJO-SADO / MARGEM DIREITA","Tagus-Sado","Aq",205052653000
45,"BACIA DO TEJO-SADO / MARGEM ESQUERDA","Tagus-Sado","Aq",560128437000
46,"ALUVIÕES DO TEJO","Tagus-Sado","Aq",149880876000
47,"LUZ - TAVIRA","Meridional","Aq",1194634000
48,"VEIGA DE CHAVES","Massif","Aq",2516759000
49,"MONTE GORDO","Meridional","Aq",27956000
50,"ORLA MERIDIONAL INDIFERENCIADO DA BACIA DO GUADIANA","Meridional","Ind",166608000
51,"POUSOS - CARANGUEJEIRA","Western","Aq",4754424000
52,"MACIÇO ANTIGO INDIFERENCIADO DO BAIXO CÁVADO/AVE","Massif","Ind",15893967000
53,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO AVE","Massif","Ind",262458168000
54,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO CÁVADO","Massif","Ind",436521469000
55,"MOURA - FICALHO","Massif","Aq",2457099000
56,"VIANA DO ALENTEJO - ALVITO","Massif","Aq",1172243000
57,"ZONA SUL PORTUGUESA DAS BACIAS DAS RIBEIRAS DO SOTAVENTO","Massif","Ind",4614903000
58,"ORLA MERIDIONAL INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO BARLAVENTO","Meridional","Ind",8036772000
59,"GABROS DE BEJA","Massif","Aq",30104733000
60,"ORLA MERIDIONAL INDIFERENCIADO DA BACIA DO ARADE","Meridional","Ind",4439193000
61,"ORLA MERIDIONAL INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO SOTAVENTO","Meridional","Ind",26112772000
62,"COVÕES","Meridional","Aq",1004642000
63,"ALPEDRIZ","Western","Aq",5196286000
64,"ELVAS - CAMPO MAIOR","Massif","Aq",9506711000
65,"QUERENÇA - SILVES","Meridional","Aq",26515566000
66,"SINES - ZONA NORTE","Western","Aq",15751601000
67,"SINES - ZONA SUL","Western","Aq",3096311000
68,"PERAL - MONCARAPACHO","Meridional","Aq",2136372000
69,"SÃO BARTOLOMEU","Meridional","Aq",244771000
70,"SÃO JOÃO DA VENDA - QUELFES","Meridional","Aq",9385976000
71,"CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM","Meridional","Aq",487586000
72,"SÃO BRÁS DE ALPORTEL","Meridional","Aq",2212540000
73,"MACIÇO ANTIGO INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO ALGARVE","Massif","Ind",3836319000
74,"OURÉM","Western","Aq",12003245000
75,"ALMÁDENA - ODEÁXERE","Meridional","Aq",4178111000
76,"ALMANSIL - MEDRONHAL","Meridional","Aq",2312223000
77,"MEXILHOEIRA GRANDE - PORTIMÃO","Meridional","Aq",1982241000
78,"MALHÃO","Meridional","Aq",368557000
79,"VÁRZEA DE ALJEZUR","Massif","Ind",171874000
80,"CAMPINA DE FARO - SUBSISTEMA FARO","Meridional","Aq",3510693000
81,"OTA - ALENQUER","Western","Aq",87552000
82,"FERRAGUDO - ALBUFEIRA","Meridional","Aq",5993520000
83,"ALBUFEIRA - RIBEIRA DE QUARTEIRA","Meridional","Aq",3624818000
84,"QUARTEIRA","Meridional","Aq",6660476000
85,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO TEJO","Massif","Ind",1088407564000
