"GW_ID","GW_name","HU","GW_type","wsurplus_L"
60,"ORLA MERIDIONAL INDIFERENCIADO DA BACIA DO ARADE","Meridional","Ind",1416232000
61,"ORLA MERIDIONAL INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO SOTAVENTO","Meridional","Ind",2914989000
62,"COVÕES","Meridional","Aq",414279000
63,"ALPEDRIZ","Western","Aq",1965977000
64,"ELVAS - CAMPO MAIOR","Massif","Aq",965931000
65,"QUERENÇA - SILVES","Meridional","Aq",3977439000
66,"SINES - ZONA NORTE","Western","Aq",791990000
67,"SINES - ZONA SUL","Western","Aq",178641000
68,"PERAL - MONCARAPACHO","Meridional","Aq",373586000
69,"SÃO BARTOLOMEU","Meridional","Aq",223205000
70,"SÃO JOÃO DA VENDA - QUELFES","Meridional","Aq",536990000
71,"CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM","Meridional","Aq",2243000
72,"SÃO BRÁS DE ALPORTEL","Meridional","Aq",145669000
73,"MACIÇO ANTIGO INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO ALGARVE","Massif","Ind",1292990000
74,"OURÉM","Western","Aq",8738728000
75,"ALMÁDENA - ODEÁXERE","Meridional","Aq",1394074000
76,"ALMANSIL - MEDRONHAL","Meridional","Aq",65722000
77,"MEXILHOEIRA GRANDE - PORTIMÃO","Meridional","Aq",2626913000
78,"MALHÃO","Meridional","Aq",27966000
79,"VÁRZEA DE ALJEZUR","Massif","Ind",119611000
80,"CAMPINA DE FARO - SUBSISTEMA FARO","Meridional","Aq",28357000
81,"OTA - ALENQUER","Western","Aq",16272000
82,"FERRAGUDO - ALBUFEIRA","Meridional","Aq",2592195000
83,"ALBUFEIRA - RIBEIRA DE QUARTEIRA","Meridional","Aq",345657000
84,"QUARTEIRA","Meridional","Aq",175294000
85,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO TEJO","Massif","Ind",376729548000
86,"CESAREDA","Western","Aq",164307000
87,"PISÕES - ATROZELA","Western","Aq",2501000
88,"ANÇÃ - CANTANHEDE","Western","Aq",3054720000
89,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO LIS","Western","Ind",4453884000
90,"ELVAS - VILA BOIM","Massif","Aq",700285000
91,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO MONDEGO","Western","Ind",16522381000
92,"CAMPINA DE FARO - SUBSISTEMA VALE DE LOBO","Meridional","Aq",81243000
93,"ZONA SUL PORTUGUESA DA BACIA DO MIRA","Massif","Ind",15130139000
