"Muni_ID","ID","Muni","TOTAL"
1601,"1111601","Arcos de Valdevez",112921.36
1602,"1111602","Caminha",88774.22
1603,"1111603","Melgaço",40739.2
1604,"1111604","Monção",81786.38
1605,"1111605","Paredes de Coura",102795.14
1606,"1111606","Ponte da Barca",132439.52
1607,"1111607","Ponte de Lima",289367.8
1608,"1111608","Valença",42779.06
1609,"1111609","Viana do Castelo",176941.76
1610,"1111610","Vila Nova de Cerveira",15930.28
301,"1120301","Amares",202848.62
302,"1120302","Barcelos",290293.48
303,"1120303","Braga",119223.64
306,"1120306","Esposende",71990.76
310,"1120310","Terras de Bouro",74209.26
313,"1120313","Vila Verde",159819
307,"1130307","Fafe",371976.04
308,"1130308","Guimarães",232548.1
309,"1130309","Póvoa de Lanhoso",54342.52
1314,"1131314","Santo Tirso",33918.98
1318,"1131318","Trofa",133332.14
311,"1130311","Vieira do Minho",55539.06
312,"1130312","Vila Nova de Famalicão",89941.18
314,"1130314","Vizela",6435.68
107,"1140107","Espinho",1306.74
1304,"1141304","Gondomar",25303.66
1306,"1141306","Maia",31956.26
1308,"1141308","Matosinhos",12922.98
1312,"1141312","Porto",387.44
1313,"1141313","Póvoa de Varzim",50502.92
1315,"1141315","Valongo",484234.46
1316,"1141316","Vila do Conde",54522.32
1317,"1141317","Vila Nova de Gaia",17396.52
1301,"1151301","Amarante",68491.04
1302,"1151302","Baião",46844.86
304,"1150304","Cabeceiras de Basto",113013.58
106,"1150106","Castelo de Paiva",31227.2
305,"1150305","Celorico de Basto",64077.82
1804,"1151804","Cinfães",40152.82
1303,"1151303","Felgueiras",76856.38
1305,"1151305","Lousada",33878.96
1307,"1151307","Marco de Canaveses",33979.88
1705,"1151705","Mondim de Basto",26581.4
1309,"1151309","Paços de Ferreira",25153.44
1310,"1151310","Paredes",45833.34
1311,"1151311","Penafiel",41447.38
1813,"1151813","Resende",24231.24
1709,"1151709","Ribeira de Pena",38346.7
104,"1160104","Arouca",46536.3
113,"1160113","Oliveira de Azeméis",59870.5
109,"1160109","Santa Maria da Feira",28457.12
116,"1160116","São João da Madeira",776.62
119,"1160119","Vale de Cambra",57868.92
1701,"1171701","Alijó",21060.38
1801,"1171801","Armamar",9639.02
403,"1170403","Carrazeda de Ansiães",19782.64
404,"1170404","Freixo de Espada à Cinta",6970.44
1805,"1171805","Lamego",18950.92
1704,"1171704","Mesão Frio",1872.82
1807,"1171807","Moimenta da Beira",73427.42
1812,"1171812","Penedono",20990.2
1708,"1171708","Peso da Régua",9188.36
1710,"1171710","Sabrosa",220171.48
1711,"1171711","Santa Marta de Penaguião",6742.5
1815,"1171815","São João da Pesqueira",8553.26
1818,"1171818","Sernancelhe",133315.9
1819,"1171819","Tabuaço",10065.32
1820,"1171820","Tarouca",80579.4
409,"1170409","Torre de Moncorvo",119154.62
410,"1170410","Vila Flor",13754.12
914,"1170914","Vila Nova de Foz Côa",3949.8
1714,"1171714","Vila Real",165202.56
401,"1180401","Alfândega da Fé",13034.92
1702,"1181702","Boticas",150920.64
402,"1180402","Bragança",80524.88
1703,"1181703","Chaves",431882.5
405,"1180405","Macedo de Cavaleiros",182019.66
406,"1180406","Miranda do Douro",77607.48
407,"1180407","Mirandela",249113.48
408,"1180408","Mogadouro",113635.92
1706,"1181706","Montalegre",123872.34
1707,"1181707","Murça",21169.42
1712,"1181712","Valpaços",111392.48
1713,"1181713","Vila Pouca de Aguiar",140647.68
