"Muni_ID","ID","Muni","TOTAL"
1601,"1111601","Arcos de Valdevez",120507.12
1602,"1111602","Caminha",92016.62
1603,"1111603","Melgaço",45588.8
1604,"1111604","Monção",89883.98
1605,"1111605","Paredes de Coura",108211.46
1606,"1111606","Ponte da Barca",135814.08
1607,"1111607","Ponte de Lima",310237.88
1608,"1111608","Valença",58276.5
1609,"1111609","Viana do Castelo",192761.76
1610,"1111610","Vila Nova de Cerveira",17577.8
301,"1120301","Amares",311284.78
302,"1120302","Barcelos",307690.44
303,"1120303","Braga",130643.16
306,"1120306","Esposende",76961.32
310,"1120310","Terras de Bouro",78859.5
313,"1120313","Vila Verde",179868.12
307,"1130307","Fafe",384350.92
308,"1130308","Guimarães",244769.54
309,"1130309","Póvoa de Lanhoso",71833.56
1314,"1131314","Santo Tirso",51786.34
1318,"1131318","Trofa",137151.34
311,"1130311","Vieira do Minho",63193.14
312,"1130312","Vila Nova de Famalicão",233194.78
314,"1130314","Vizela",7318.24
107,"1140107","Espinho",1585.62
1304,"1141304","Gondomar",27694.86
1306,"1141306","Maia",33786.34
1308,"1141308","Matosinhos",14399.14
1312,"1141312","Porto",427.76
1313,"1141313","Póvoa de Varzim",108708.2
1315,"1141315","Valongo",484613.02
1316,"1141316","Vila do Conde",59074
1317,"1141317","Vila Nova de Gaia",21710.76
1301,"1151301","Amarante",84145.28
1302,"1151302","Baião",58231.9
304,"1150304","Cabeceiras de Basto",126921.74
106,"1150106","Castelo de Paiva",37918.08
305,"1150305","Celorico de Basto",77438.3
1804,"1151804","Cinfães",49247.22
1303,"1151303","Felgueiras",171787.58
1305,"1151305","Lousada",42040.4
1307,"1151307","Marco de Canaveses",41873.64
1705,"1151705","Mondim de Basto",32707.8
1309,"1151309","Paços de Ferreira",28037.44
1310,"1151310","Paredes",56080.22
1311,"1151311","Penafiel",57166.58
1813,"1151813","Resende",30306.12
1709,"1151709","Ribeira de Pena",43059.66
104,"1160104","Arouca",62724.78
113,"1160113","Oliveira de Azeméis",108330.66
109,"1160109","Santa Maria da Feira",75520.64
116,"1160116","São João da Madeira",776.62
119,"1160119","Vale de Cambra",66710.2
1701,"1171701","Alijó",24392.38
1801,"1171801","Armamar",12458.06
403,"1170403","Carrazeda de Ansiães",26735.6
404,"1170404","Freixo de Espada à Cinta",8362.6
1805,"1171805","Lamego",24080.52
1704,"1171704","Mesão Frio",2177.46
1807,"1171807","Moimenta da Beira",107118.14
1812,"1171812","Penedono",24421.88
1708,"1171708","Peso da Régua",10020.52
1710,"1171710","Sabrosa",223531.48
1711,"1171711","Santa Marta de Penaguião",6936.26
1815,"1171815","São João da Pesqueira",10054.06
1818,"1171818","Sernancelhe",139040.22
1819,"1171819","Tabuaço",11381.32
1820,"1171820","Tarouca",84967.56
409,"1170409","Torre de Moncorvo",121840.38
410,"1170410","Vila Flor",16353.64
914,"1170914","Vila Nova de Foz Côa",4151.4
1714,"1171714","Vila Real",172751.36
401,"1180401","Alfândega da Fé",15605.32
1702,"1181702","Boticas",162112.8
402,"1180402","Bragança",115969.52
1703,"1181703","Chaves",510649.86
405,"1180405","Macedo de Cavaleiros",198806.22
406,"1180406","Miranda do Douro",93983
407,"1180407","Mirandela",284749.64
408,"1180408","Mogadouro",126680.56
1706,"1181706","Montalegre",153627.38
1707,"1181707","Murça",25502.7
1712,"1181712","Valpaços",133891.04
1713,"1181713","Vila Pouca de Aguiar",148941.28
411,"1180411","Vimioso",39961.68
412,"1180412","Vinhais",118812.76
101,"1610101","Águeda",219632.62
102,"1610102","Albergaria-a-Velha",361740.76
103,"1610103","Anadia",201363.92
105,"1610105","Aveiro",42507.72
108,"1610108","Estarreja",51473.34
110,"1610110","Ílhavo",146881.06
111,"1610111","Mealhada",186688.74
112,"1610112","Murtosa",24082.74
114,"1610114","Oliveira do Bairro",51365.18
115,"1610115","Ovar",158201.98
117,"1610117","Sever do Vouga",310660.74
118,"1610118","Vagos",92044.08
602,"1620602","Cantanhede",239333.74
603,"1620603","Coimbra",92708.72
604,"1620604","Condeixa-a-Nova",17410.44
605,"1620605","Figueira da Foz",182689.02
608,"1620608","Mira",178201.12
610,"1620610","Montemor-o-Velho",133430.06
613,"1620613","Penacova",29111.34
615,"1620615","Soure",771037.92
1004,"1631004","Batalha",265546.26
1009,"1631009","Leiria",3501366.76
