"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","microaspersion","sum"
"1",1601,"1111601","Arcos de Valdevez",117,0,0,0,0,0,0,117
"2",1602,"1111602","Caminha",12,0,0,0,0,0,0,12
"3",1603,"1111603","Melgaço",22,0,6,0,0,0,0,28
"4",1604,"1111604","Monção",57,0,0,0,0,0,0,57
"5",1605,"1111605","Paredes de Coura",62,0,0,0,0,0,0,62
"6",1606,"1111606","Ponte da Barca",95,0,0,0,0,0,0,95
"7",1607,"1111607","Ponte de Lima",44,0,0,0,0,0,0,44
"8",1608,"1111608","Valença",23,0,0,0,0,0,0,23
"9",1609,"1111609","Viana do Castelo",17,0,0,0,0,0,0,17
"10",1610,"1111610","Vila Nova de Cerveira",10,0,0,0,0,0,0,10
"11",301,"1120301","Amares",6,0,0,0,0,0,0,6
"12",302,"1120302","Barcelos",40,0,8,0,0,0,0,48
"13",303,"1120303","Braga",70,0,0,0,0,0,0,70
"14",306,"1120306","Esposende",4,0,12,0,0,0,0,17
"15",310,"1120310","Terras de Bouro",9,0,0,0,0,0,0,9
"16",313,"1120313","Vila Verde",98,0,0,0,0,0,0,98
"17",307,"1130307","Fafe",122,0,2,0,0,0,0,124
"18",308,"1130308","Guimarães",63,0,12,0,0,0,0,75
"19",309,"1130309","Póvoa de Lanhoso",27,0,0,0,0,0,0,27
"20",1314,"1131314","Santo Tirso",110,2,22,0,0,0,0,134
"21",1318,"1131318","Trofa",8,0,24,0,0,0,0,32
"22",311,"1130311","Vieira do Minho",28,0,1,0,0,0,0,30
"23",312,"1130312","Vila Nova de Famalicão",28,0,9,0,0,0,0,37
"24",314,"1130314","Vizela",2,0,0,0,0,0,0,2
"25",107,"1140107","Espinho",2,0,1,0,0,0,0,2
"26",1304,"1141304","Gondomar",165,0,2,0,0,0,0,167
"27",1306,"1141306","Maia",62,2,47,0,0,0,0,111
"28",1308,"1141308","Matosinhos",19,0,13,0,0,0,0,32
"29",1312,"1141312","Porto",0,0,0,0,0,0,0,0
"30",1313,"1141313","Póvoa de Varzim",13,0,2,0,0,0,0,15
"31",1315,"1141315","Valongo",72,1,0,0,0,0,0,74
"32",1316,"1141316","Vila do Conde",1,1,38,0,0,0,0,40
"33",1317,"1141317","Vila Nova de Gaia",26,0,17,0,0,0,0,42
"34",1301,"1151301","Amarante",61,0,0,0,0,0,0,61
"35",1302,"1151302","Baião",28,0,0,0,0,0,0,28
"36",304,"1150304","Cabeceiras de Basto",42,0,0,0,0,0,0,42
"37",106,"1150106","Castelo de Paiva",9,0,0,0,0,0,0,9
"38",305,"1150305","Celorico de Basto",27,4,2,0,0,0,0,33
"39",1804,"1151804","Cinfães",71,0,0,0,0,0,0,71
"40",1303,"1151303","Felgueiras",72,4,7,0,0,0,0,83
"41",1305,"1151305","Lousada",24,2,2,0,0,0,0,28
"42",1307,"1151307","Marco de Canaveses",29,0,0,0,0,0,0,29
"43",1705,"1151705","Mondim de Basto",2,0,0,0,0,0,0,2
"44",1309,"1151309","Paços de Ferreira",32,0,2,0,0,0,0,34
"45",1310,"1151310","Paredes",171,0,4,0,0,0,0,175
"46",1311,"1151311","Penafiel",47,0,2,0,0,0,0,50
"47",1813,"1151813","Resende",97,0,0,0,0,0,0,97
"48",1709,"1151709","Ribeira de Pena",6,0,1,0,0,0,0,7
"49",104,"1160104","Arouca",29,0,0,0,0,0,0,29
"50",113,"1160113","Oliveira de Azeméis",1,0,3,0,0,0,0,4
"51",109,"1160109","Santa Maria da Feira",16,0,4,0,0,0,0,20
"52",116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0
"53",119,"1160119","Vale de Cambra",0,0,0,0,0,0,0,0
"54",1701,"1171701","Alijó",58,0,0,0,0,0,0,58
"55",1801,"1171801","Armamar",9,16,1,0,0,0,0,25
"56",403,"1170403","Carrazeda de Ansiães",95,1,11,0,0,0,0,107
"57",404,"1170404","Freixo de Espada à Cinta",11,0,0,0,0,0,0,11
"58",1805,"1171805","Lamego",26,14,4,0,0,0,0,44
"59",1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0
"60",1807,"1171807","Moimenta da Beira",118,0,36,0,0,0,0,154
"61",1812,"1171812","Penedono",53,0,38,0,0,0,0,91
"62",1708,"1171708","Peso da Régua",2,0,2,0,0,0,0,4
"63",1710,"1171710","Sabrosa",33,0,4,0,0,0,0,37
"64",1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0,0,0
"65",1815,"1171815","São João da Pesqueira",21,8,6,0,0,0,0,35
"66",1818,"1171818","Sernancelhe",83,6,61,0,0,0,0,150
"67",1819,"1171819","Tabuaço",86,0,25,0,0,0,0,110
"68",1820,"1171820","Tarouca",34,1,2,0,0,0,0,38
"69",409,"1170409","Torre de Moncorvo",3,1,0,0,0,0,0,5
"70",410,"1170410","Vila Flor",16,0,6,0,0,0,0,22
"71",914,"1170914","Vila Nova de Foz Côa",1,0,0,0,0,0,0,1
"72",1714,"1171714","Vila Real",196,27,4,0,0,0,0,227
"73",401,"1180401","Alfândega da Fé",1,0,1,0,0,0,0,2
"74",1702,"1181702","Boticas",101,15,0,0,0,0,0,116
"75",402,"1180402","Bragança",423,0,274,0,0,0,0,697
"76",1703,"1181703","Chaves",1810,0,8,0,0,0,0,1819
"77",405,"1180405","Macedo de Cavaleiros",46,11,48,0,0,0,0,105
"78",406,"1180406","Miranda do Douro",31,9,0,0,0,0,0,40
"79",407,"1180407","Mirandela",151,3,6,0,0,0,0,160
"80",408,"1180408","Mogadouro",106,5,5,0,0,0,0,116
