Muni_ID,ID,Muni,tot_for_roots
1601,1111601,Arcos de Valdevez,158.4
1602,1111602,Caminha,52.2
1603,1111603,Melgaço,8.2
1604,1111604,Monção,68
1605,1111605,Paredes de Coura,81.4
1606,1111606,Ponte da Barca,69.6
1607,1111607,Ponte de Lima,474.2
1608,1111608,Valença,53
1609,1111609,Viana do Castelo,292
1610,1111610,Vila Nova de Cerveira,38.8
301,1120301,Amares,68
302,1120302,Barcelos,1511.4
303,1120303,Braga,428
306,1120306,Esposende,259.4
310,1120310,Terras de Bouro,33.8
313,1120313,Vila Verde,240.6
307,1130307,Fafe,233.6
308,1130308,Guimarães,344
309,1130309,Póvoa de Lanhoso,149.8
1314,1131314,Santo Tirso,139
1318,1131318,Trofa,248
311,1130311,Vieira do Minho,68.2
312,1130312,Vila Nova de Famalicão,597.8
314,1130314,Vizela,35.2
107,1140107,Espinho,0.6
1304,1141304,Gondomar,47.2
1306,1141306,Maia,181.2
1308,1141308,Matosinhos,131.2
1312,1141312,Porto,2.6
1313,1141313,Póvoa de Varzim,451.6
1315,1141315,Valongo,49.2
1316,1141316,Vila do Conde,844.6
1317,1141317,Vila Nova de Gaia,43.4
1301,1151301,Amarante,156.6
1302,1151302,Baião,112.4
304,1150304,Cabeceiras de Basto,44.2
106,1150106,Castelo de Paiva,47
305,1150305,Celorico de Basto,282.2
1804,1151804,Cinfães,134
1303,1151303,Felgueiras,157.2
1305,1151305,Lousada,103.2
1307,1151307,Marco de Canaveses,115
1705,1151705,Mondim de Basto,58.4
1309,1151309,Paços de Ferreira,83
1310,1151310,Paredes,139.2
1311,1151311,Penafiel,122.8
1813,1151813,Resende,30.6
1709,1151709,Ribeira de Pena,70.6
104,1160104,Arouca,160.6
113,1160113,Oliveira de Azeméis,177.4
109,1160109,Santa Maria da Feira,90.4
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,65
1701,1171701,Alijó,8.2
1801,1171801,Armamar,0.8
403,1170403,Carrazeda de Ansiães,56.2
404,1170404,Freixo de Espada à Cinta,21.4
1805,1171805,Lamego,13
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,161.8
1812,1171812,Penedono,33.4
1708,1171708,Peso da Régua,0.4
1710,1171710,Sabrosa,2.8
1711,1171711,Santa Marta de Penaguião,0.2
