Muni_ID,ID,Muni,tot_for_sorghum
1601,1111601,Arcos de Valdevez,159.4
1602,1111602,Caminha,52.2
1603,1111603,Melgaço,8.2
1604,1111604,Monção,69
1605,1111605,Paredes de Coura,82.4
1606,1111606,Ponte da Barca,69.6
1607,1111607,Ponte de Lima,475.2
1608,1111608,Valença,54
1609,1111609,Viana do Castelo,295
1610,1111610,Vila Nova de Cerveira,39.8
301,1120301,Amares,72
302,1120302,Barcelos,1517.4
303,1120303,Braga,439
306,1120306,Esposende,259.4
310,1120310,Terras de Bouro,33.8
313,1120313,Vila Verde,240.6
307,1130307,Fafe,233.6
308,1130308,Guimarães,347
309,1130309,Póvoa de Lanhoso,154.8
1314,1131314,Santo Tirso,139
1318,1131318,Trofa,250
311,1130311,Vieira do Minho,68.2
312,1130312,Vila Nova de Famalicão,600.8
314,1130314,Vizela,35.2
107,1140107,Espinho,0.6
1304,1141304,Gondomar,48.2
1306,1141306,Maia,181.2
1308,1141308,Matosinhos,131.2
1312,1141312,Porto,2.6
1313,1141313,Póvoa de Varzim,451.6
1315,1141315,Valongo,49.2
1316,1141316,Vila do Conde,871.6
1317,1141317,Vila Nova de Gaia,43.4
1301,1151301,Amarante,156.6
1302,1151302,Baião,112.4
304,1150304,Cabeceiras de Basto,44.2
106,1150106,Castelo de Paiva,47
305,1150305,Celorico de Basto,286.2
1804,1151804,Cinfães,134
1303,1151303,Felgueiras,157.2
1305,1151305,Lousada,105.2
1307,1151307,Marco de Canaveses,115
1705,1151705,Mondim de Basto,58.4
1309,1151309,Paços de Ferreira,92
1310,1151310,Paredes,139.2
1311,1151311,Penafiel,124.8
1813,1151813,Resende,30.6
1709,1151709,Ribeira de Pena,70.6
104,1160104,Arouca,165.6
113,1160113,Oliveira de Azeméis,179.4
109,1160109,Santa Maria da Feira,92.4
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,65
1701,1171701,Alijó,15.2
1801,1171801,Armamar,0.8
403,1170403,Carrazeda de Ansiães,26.2
404,1170404,Freixo de Espada à Cinta,22.4
1805,1171805,Lamego,10
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,140.8
1812,1171812,Penedono,12.4
1708,1171708,Peso da Régua,0.4
1710,1171710,Sabrosa,2.8
1711,1171711,Santa Marta de Penaguião,0.2
1815,1171815,São João da Pesqueira,132
1818,1171818,Sernancelhe,111
1819,1171819,Tabuaço,3.2
1820,1171820,Tarouca,6.2
409,1170409,Torre de Moncorvo,25.4
410,1170410,Vila Flor,68.6
914,1170914,Vila Nova de Foz Côa,25.4
1714,1171714,Vila Real,66
401,1180401,Alfândega da Fé,12
1702,1181702,Boticas,95.2
402,1180402,Bragança,305
1703,1181703,Chaves,146.6
405,1180405,Macedo de Cavaleiros,157.6
406,1180406,Miranda do Douro,65
407,1180407,Mirandela,157.8
408,1180408,Mogadouro,217.4
1706,1181706,Montalegre,305.6
1707,1181707,Murça,21.4
1712,1181712,Valpaços,66.4
1713,1181713,Vila Pouca de Aguiar,224.8
411,1180411,Vimioso,71.6
412,1180412,Vinhais,48.4
101,1610101,Águeda,71.2
102,1610102,Albergaria-a-Velha,151.6
103,1610103,Anadia,24.4
105,1610105,Aveiro,35.8
108,1610108,Estarreja,297.2
110,1610110,Ílhavo,6.6
111,1610111,Mealhada,15.6
112,1610112,Murtosa,146.2
114,1610114,Oliveira do Bairro,20
115,1610115,Ovar,139.2
117,1610117,Sever do Vouga,35.2
118,1610118,Vagos,72
602,1620602,Cantanhede,44.6
603,1620603,Coimbra,25.6
604,1620604,Condeixa-a-Nova,17.6
605,1620605,Figueira da Foz,35.8
608,1620608,Mira,32.2
610,1620610,Montemor-o-Velho,177.6
613,1620613,Penacova,3.4
615,1620615,Soure,34.4
1004,1631004,Batalha,4.4
1009,1631009,Leiria,118.6
1010,1631010,Marinha Grande,2.4
1015,1631015,Pombal,45.6
1016,1631016,Porto de Mós,12.4
1002,1641002,Alvaiázere,9
1003,1641003,Ansião,3.2
601,1640601,Arganil,18
1007,1641007,Castanheira de Pêra,0.2
1008,1641008,Figueiró dos Vinhos,0.6
606,1640606,Góis,1.2
607,1640607,Lousã,1.4
609,1640609,Miranda do Corvo,0.6
611,1640611,Oliveira do Hospital,75.2
612,1640612,Pampilhosa da Serra,0.4
1013,1641013,Pedrógão Grande,0
614,1640614,Penela,13.8
616,1640616,Tábua,67
617,1640617,Vila Nova de Poiares,0.8
901,1650901,Aguiar da Beira,160.4
1802,1651802,Carregal do Sal,25.2
1803,1651803,Castro Daire,110
1806,1651806,Mangualde,154.2
1808,1651808,Mortágua,26.6
1809,1651809,Nelas,34.2
1810,1651810,Oliveira de Frades,125.2
1811,1651811,Penalva do Castelo,47.4
1814,1651814,Santa Comba Dão,12.6
1816,1651816,São Pedro do Sul,164.4
1817,1651817,Sátão,89.2
1821,1651821,Tondela,132
1822,1651822,Vila Nova de Paiva,54.4
1823,1651823,Viseu,89.2
1824,1651824,Vouzela,141.2
1413,1661413,Mação,12.6
506,1660506,Oleiros,13
508,1660508,Proença-a-Nova,23
509,1660509,Sertã,12.2
510,1660510,Vila de Rei,0.4
905,1670905,Fornos de Algodres,48.4
906,1670906,Gouveia,176.2
912,1670912,Seia,227.2
902,1680902,Almeida,334
903,1680903,Celorico da Beira,384.8
904,1680904,Figueira de Castelo Rodrigo,481.8
907,1680907,Guarda,270.2
908,1680908,Manteigas,19.2
909,1680909,Mêda,74.4
910,1680910,Pinhel,179.2
911,1680911,Sabugal,370.6
913,1680913,Trancoso,109.2
502,1690502,Castelo Branco,1018.4
505,1690505,Idanha-a-Nova,1346.2
507,1690507,Penamacor,360.2
511,1690511,Vila Velha de Ródão,173.8
501,16A0501,Belmonte,253.2
503,16A0503,Covilhã,278.4
504,16A0504,Fundão,821.2
1001,16B1001,Alcobaça,32.4
1101,16B1101,Alenquer,72
1102,16B1102,Arruda dos Vinhos,14.6
1005,16B1005,Bombarral,3.4
1104,16B1104,Cadaval,37
1006,16B1006,Caldas da Rainha,30.2
1108,16B1108,Lourinhã,40.2
1011,16B1011,Nazaré,23.8
1012,16B1012,Óbidos,5
1014,16B1014,Peniche,35.8
1112,16B1112,Sobral de Monte Agraço,32.6
1113,16B1113,Torres Vedras,224.2
1401,16C1401,Abrantes,206.2
1402,16C1402,Alcanena,55.4
1408,16C1408,Constância,2.6
1410,16C1410,Entroncamento,14.8
1411,16C1411,Ferreira do Zêzere,4.8
1421,16C1421,Ourém,42.2
1417,16C1417,Sardoal,8.2
1418,16C1418,Tomar,45.2
1419,16C1419,Torres Novas,54.8
1420,16C1420,Vila Nova da Barquinha,0.2
1115,1711115,Amadora,0
1105,1711105,Cascais,2.2
1106,1711106,Lisboa,0
1107,1711107,Loures,86.8
1109,1711109,Mafra,90
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,70.6
1114,1711114,Vila Franca de Xira,445.8
1502,1721502,Alcochete,0
1503,1721503,Almada,5
1504,1721504,Barreiro,5.2
1506,1721506,Moita,29.2
1507,1721507,Montijo,130.6
1508,1721508,Palmela,168.4
1510,1721510,Seixal,13
1511,1721511,Sesimbra,21.8
1512,1721512,Setúbal,25.6
1501,1811501,Alcácer do Sal,517.6
