Muni_ID,ID,Muni,tot_for_oat
1601,1111601,Arcos de Valdevez,174.4
1602,1111602,Caminha,56.2
1603,1111603,Melgaço,10.2
1604,1111604,Monção,84
1605,1111605,Paredes de Coura,98.4
1606,1111606,Ponte da Barca,69.6
1607,1111607,Ponte de Lima,508.2
1608,1111608,Valença,150
1609,1111609,Viana do Castelo,313
1610,1111610,Vila Nova de Cerveira,59.8
301,1120301,Amares,116
302,1120302,Barcelos,1521.4
303,1120303,Braga,516
306,1120306,Esposende,260.4
310,1120310,Terras de Bouro,35.8
313,1120313,Vila Verde,533.6
307,1130307,Fafe,244.6
308,1130308,Guimarães,394
309,1130309,Póvoa de Lanhoso,194.8
1314,1131314,Santo Tirso,182
1318,1131318,Trofa,249
311,1130311,Vieira do Minho,74.2
312,1130312,Vila Nova de Famalicão,646.8
314,1130314,Vizela,54.2
107,1140107,Espinho,0.6
1304,1141304,Gondomar,79.2
1306,1141306,Maia,183.2
1308,1141308,Matosinhos,135.2
1312,1141312,Porto,2.6
1313,1141313,Póvoa de Varzim,451.6
1315,1141315,Valongo,54.2
1316,1141316,Vila do Conde,846.6
1317,1141317,Vila Nova de Gaia,78.4
1301,1151301,Amarante,516.6
1302,1151302,Baião,144.4
304,1150304,Cabeceiras de Basto,64.2
106,1150106,Castelo de Paiva,174
305,1150305,Celorico de Basto,297.2
1804,1151804,Cinfães,181
1303,1151303,Felgueiras,276.2
1305,1151305,Lousada,325.2
1307,1151307,Marco de Canaveses,209
1705,1151705,Mondim de Basto,110.4
1309,1151309,Paços de Ferreira,114
1310,1151310,Paredes,281.2
1311,1151311,Penafiel,305.8
1813,1151813,Resende,48.6
1709,1151709,Ribeira de Pena,150.6
104,1160104,Arouca,283.6
113,1160113,Oliveira de Azeméis,223.4
109,1160109,Santa Maria da Feira,231.4
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,104
1701,1171701,Alijó,13.2
1801,1171801,Armamar,3.8
403,1170403,Carrazeda de Ansiães,144.2
404,1170404,Freixo de Espada à Cinta,225.4
1805,1171805,Lamego,25
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,243.8
1812,1171812,Penedono,24.4
1708,1171708,Peso da Régua,1.4
1710,1171710,Sabrosa,8.8
1711,1171711,Santa Marta de Penaguião,0.2
1815,1171815,São João da Pesqueira,129
1818,1171818,Sernancelhe,201
1819,1171819,Tabuaço,21.2
1820,1171820,Tarouca,58.2
409,1170409,Torre de Moncorvo,158.4
410,1170410,Vila Flor,323.6
914,1170914,Vila Nova de Foz Côa,80.4
1714,1171714,Vila Real,191
401,1180401,Alfândega da Fé,198
1702,1181702,Boticas,97.2
402,1180402,Bragança,1198
1703,1181703,Chaves,595.6
405,1180405,Macedo de Cavaleiros,1293.6
406,1180406,Miranda do Douro,1509
407,1180407,Mirandela,853.8
408,1180408,Mogadouro,4934.4
1706,1181706,Montalegre,338.6
1707,1181707,Murça,91.4
1712,1181712,Valpaços,329.4
1713,1181713,Vila Pouca de Aguiar,357.8
411,1180411,Vimioso,1013.6
412,1180412,Vinhais,312.4
101,1610101,Águeda,211.2
102,1610102,Albergaria-a-Velha,221.6
103,1610103,Anadia,104.4
105,1610105,Aveiro,110.8
108,1610108,Estarreja,292.2
110,1610110,Ílhavo,74.6
111,1610111,Mealhada,61.6
112,1610112,Murtosa,155.2
114,1610114,Oliveira do Bairro,51
115,1610115,Ovar,149.2
117,1610117,Sever do Vouga,43.2
118,1610118,Vagos,137
602,1620602,Cantanhede,190.6
603,1620603,Coimbra,330.6
604,1620604,Condeixa-a-Nova,183.6
605,1620605,Figueira da Foz,387.8
608,1620608,Mira,100.2
610,1620610,Montemor-o-Velho,721.6
613,1620613,Penacova,97.4
615,1620615,Soure,201.4
1004,1631004,Batalha,98.4
1009,1631009,Leiria,544.6
1010,1631010,Marinha Grande,39.4
1015,1631015,Pombal,249.6
1016,1631016,Porto de Mós,133.4
1002,1641002,Alvaiázere,81
1003,1641003,Ansião,73.2
601,1640601,Arganil,155
1007,1641007,Castanheira de Pêra,5.2
1008,1641008,Figueiró dos Vinhos,45.6
606,1640606,Góis,30.2
607,1640607,Lousã,88.4
609,1640609,Miranda do Corvo,112.6
611,1640611,Oliveira do Hospital,264.2
612,1640612,Pampilhosa da Serra,13.4
1013,1641013,Pedrógão Grande,39
614,1640614,Penela,78.8
616,1640616,Tábua,252
617,1640617,Vila Nova de Poiares,51.8
901,1650901,Aguiar da Beira,328.4
1802,1651802,Carregal do Sal,114.2
1803,1651803,Castro Daire,155
1806,1651806,Mangualde,234.2
1808,1651808,Mortágua,102.6
1809,1651809,Nelas,112.2
1810,1651810,Oliveira de Frades,137.2
1811,1651811,Penalva do Castelo,52.4
1814,1651814,Santa Comba Dão,104.6
1816,1651816,São Pedro do Sul,352.4
1817,1651817,Sátão,169.2
1821,1651821,Tondela,297
1822,1651822,Vila Nova de Paiva,71.4
1823,1651823,Viseu,293.2
1824,1651824,Vouzela,153.2
1413,1661413,Mação,162.6
506,1660506,Oleiros,110
508,1660508,Proença-a-Nova,487
509,1660509,Sertã,310.2
510,1660510,Vila de Rei,16.4
905,1670905,Fornos de Algodres,106.4
906,1670906,Gouveia,314.2
912,1670912,Seia,417.2
902,1680902,Almeida,2201
903,1680903,Celorico da Beira,796.8
904,1680904,Figueira de Castelo Rodrigo,2217.8
907,1680907,Guarda,920.2
908,1680908,Manteigas,18.2
909,1680909,Mêda,290.4
910,1680910,Pinhel,1078.2
911,1680911,Sabugal,570.6
913,1680913,Trancoso,743.2
502,1690502,Castelo Branco,4276.4
505,1690505,Idanha-a-Nova,6873.2
507,1690507,Penamacor,1297.2
511,1690511,Vila Velha de Ródão,558.8
501,16A0501,Belmonte,501.2
503,16A0503,Covilhã,1695.4
504,16A0504,Fundão,3958.2
1001,16B1001,Alcobaça,474.4
1101,16B1101,Alenquer,1456
1102,16B1102,Arruda dos Vinhos,327.6
1005,16B1005,Bombarral,22.4
1104,16B1104,Cadaval,331
1006,16B1006,Caldas da Rainha,211.2
1108,16B1108,Lourinhã,220.2
1011,16B1011,Nazaré,27.8
1012,16B1012,Óbidos,78
1014,16B1014,Peniche,99.8
1112,16B1112,Sobral de Monte Agraço,472.6
1113,16B1113,Torres Vedras,1087.2
1401,16C1401,Abrantes,382.2
1402,16C1402,Alcanena,315.4
1408,16C1408,Constância,0.6
1410,16C1410,Entroncamento,185.8
1411,16C1411,Ferreira do Zêzere,41.8
1421,16C1421,Ourém,276.2
1417,16C1417,Sardoal,71.2
1418,16C1418,Tomar,286.2
1419,16C1419,Torres Novas,434.8
1420,16C1420,Vila Nova da Barquinha,4.2
1115,1711115,Amadora,0
1105,1711105,Cascais,50.2
1106,1711106,Lisboa,2
1107,1711107,Loures,539.8
1109,1711109,Mafra,1411
1116,1711116,Odivelas,2
1110,1711110,Oeiras,24
1111,1711111,Sintra,690.6
1114,1711114,Vila Franca de Xira,598.8
1502,1721502,Alcochete,28
1503,1721503,Almada,23
1504,1721504,Barreiro,18.2
1506,1721506,Moita,169.2
1507,1721507,Montijo,199.6
1508,1721508,Palmela,671.4
1510,1721510,Seixal,4
1511,1721511,Sesimbra,170.8
1512,1721512,Setúbal,75.6
1501,1811501,Alcácer do Sal,4365.6
1505,1811505,Grândola,1200.8
211,1810211,Odemira,4063.8
1509,1811509,Santiago do Cacém,3346.2
1513,1811513,Sines,733.8
1201,1821201,Alter do Chão,1785.8
1202,1821202,Arronches,1898.8
1203,1821203,Avis,1753.8
1204,1821204,Campo Maior,463
1205,1821205,Castelo de Vide,413.6
1206,1821206,Crato,791.4
1207,1821207,Elvas,3036.6
1208,1821208,Fronteira,1065.4
1209,1821209,Gavião,158.6
1210,1821210,Marvão,140.4
1211,1821211,Monforte,1653
707,1820707,Mora,1643.2
1212,1821212,Nisa,598
1213,1821213,Ponte de Sor,1795.6
1214,1821214,Portalegre,554.6
701,1830701,Alandroal,1874.6
702,1830702,Arraiolos,4138.8
703,1830703,Borba,426.6
704,1830704,Estremoz,2100.2
705,1830705,Évora,5299.6
706,1830706,Montemor-o-Novo,5558.8
708,1830708,Mourão,962.4
709,1830709,Portel,1268.8
710,1830710,Redondo,1508
711,1830711,Reguengos de Monsaraz,1548
1215,1831215,Sousel,1382.6
712,1830712,Vendas Novas,976.8
713,1830713,Viana do Alentejo,1992.6
714,1830714,Vila Viçosa,750.4
201,1840201,Aljustrel,1505.6
202,1840202,Almodôvar,1861.6
203,1840203,Alvito,896.2
204,1840204,Barrancos,97
205,1840205,Beja,3018
206,1840206,Castro Verde,3127.8
207,1840207,Cuba,210.2
208,1840208,Ferreira do Alentejo,1161.2
209,1840209,Mértola,2106.6
210,1840210,Moura,2600.4
212,1840212,Ourique,2012
213,1840213,Serpa,2768.6
214,1840214,Vidigueira,864.2
1403,1851403,Almeirim,98.2
1404,1851404,Alpiarça,17.4
1103,1851103,Azambuja,441.2
1405,1851405,Benavente,487.4
1406,1851406,Cartaxo,276
1407,1851407,Chamusca,497
1409,1851409,Coruche,853.6
1412,1851412,Golegã,236
1414,1851414,Rio Maior,593.8
1415,1851415,Salvaterra de Magos,97.8
1416,1851416,Santarém,1474.8
801,1500801,Albufeira,21.2
802,1500802,Alcoutim,522.6
803,1500803,Aljezur,359.4
804,1500804,Castro Marim,159.2
805,1500805,Faro,78.6
806,1500806,Lagoa,43.8
807,1500807,Lagos,409.2
808,1500808,Loulé,223.4
809,1500809,Monchique,81
810,1500810,Olhão,7.2
811,1500811,Portimão,159.6
812,1500812,São Brás de Alportel,1
813,1500813,Silves,273.4
814,1500814,Tavira,120.4
815,1500815,Vila do Bispo,320.6
816,1500816,Vila Real de Santo António,40.6
