"Muni_ID","ID","Muni","Dairy_cows","Non_dairy","Male_calf<1","Female_calf<1","Male_calf_1-2","Female_calf_1-2","Heifer_beef_+2","Heifer_rep_+2","Male_calf_+2"
1601,"1111601","Arcos de Valdevez",189,0,392,671,194,970,9,191,476
1602,"1111602","Caminha",3103,0,56,31,98,144,22,22,29
1603,"1111603","Melgaço",0,0,79,54,24,104,0,13,31
1604,"1111604","Monção",416,0,118,76,46,101,20,99,44
1605,"1111605","Paredes de Coura",16348,0,115,338,83,416,101,319,73
1606,"1111606","Ponte da Barca",3784,0,24,137,21,150,40,169,42
1607,"1111607","Ponte de Lima",68344,0,541,764,659,1632,112,436,179
1608,"1111608","Valença",5752,0,19,100,120,72,4,92,44
1609,"1111609","Viana do Castelo",50407,0,300,649,1176,1098,92,306,367
1610,"1111610","Vila Nova de Cerveira",10445,0,102,94,75,197,13,9,8
301,"1120301","Amares",9688,0,277,98,3,160,9,9,29
302,"1120302","Barcelos",859640,0,3432,7736,4366,12770,352,3355,848
303,"1120303","Braga",78562,0,921,828,888,1744,77,301,299
306,"1120306","Esposende",110766,0,272,929,907,1573,26,187,177
310,"1120310","Terras de Bouro",0,0,169,88,6,128,2,66,36
313,"1120313","Vila Verde",39130,0,427,443,226,706,121,411,86
307,"1130307","Fafe",4920,0,720,151,43,96,2,24,31
308,"1130308","Guimarães",61343,0,811,632,462,1144,75,136,307
309,"1130309","Póvoa de Lanhoso",13964,0,350,167,26,226,9,20,39
1314,"1131314","Santo Tirso",52072,0,26,568,586,680,22,161,88
1318,"1131318","Trofa",120227,0,517,1102,566,1597,101,711,81
311,"1130311","Vieira do Minho",2763,0,490,155,22,323,0,40,101
312,"1130312","Vila Nova de Famalicão",307928,0,1211,2466,1162,4614,46,1775,601
314,"1130314","Vizela",3784,0,38,40,19,35,0,0,21
107,"1140107","Espinho",5071,0,1,56,0,190,0,0,0
1304,"1141304","Gondomar",4314,0,171,49,890,69,13,55,16
1306,"1141306","Maia",96878,0,160,952,931,1291,7,983,120
1308,"1141308","Matosinhos",81703,0,324,798,605,1027,9,284,57
1312,"1141312","Porto",0,0,30,0,27,0,0,0,0
1313,"1141313","Póvoa de Varzim",361211,0,593,3029,717,5010,37,1676,86
1315,"1141315","Valongo",20322,0,91,198,654,157,0,119,29
1316,"1141316","Vila do Conde",748950,0,859,6666,1213,10838,42,2526,130
1317,"1141317","Vila Nova de Gaia",4314,0,186,30,178,78,22,13,86
1301,"1151301","Amarante",6887,0,195,150,608,216,31,95,91
1302,"1151302","Baião",76,0,226,31,62,64,9,99,26
304,"1150304","Cabeceiras de Basto",946,0,948,65,19,248,2,40,153
106,"1150106","Castelo de Paiva",946,0,271,21,147,144,4,53,55
305,"1150305","Celorico de Basto",8780,0,507,158,254,282,7,249,39
1804,"1151804","Cinfães",76,0,369,216,43,157,7,235,70
1303,"1151303","Felgueiras",22668,0,777,207,434,533,37,264,164
1305,"1151305","Lousada",15402,0,672,163,1056,341,15,128,234
1307,"1151307","Marco de Canaveses",1173,0,164,48,202,46,33,130,60
1705,"1151705","Mondim de Basto",38,0,330,96,130,155,0,108,57
1309,"1151309","Paços de Ferreira",21381,0,25,242,322,371,11,57,47
1310,"1151310","Paredes",11921,0,201,170,1179,264,57,48,226
1311,"1151311","Penafiel",22819,0,184,179,584,342,26,189,603
1813,"1151813","Resende",2800,0,42,65,10,83,0,46,29
1709,"1151709","Ribeira de Pena",7758,0,781,182,61,382,0,277,81
104,"1160104","Arouca",65733,0,387,749,499,1131,33,464,127
113,"1160113","Oliveira de Azeméis",123406,0,257,1044,898,1670,48,409,138
109,"1160109","Santa Maria da Feira",28723,0,152,419,507,534,125,145,73
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",12148,0,370,91,66,155,24,46,34
1701,"1171701","Alijó",303,0,43,39,11,40,0,464,26
1801,"1171801","Armamar",0,0,7,0,0,0,4,0,3
403,"1170403","Carrazeda de Ansiães",530,0,76,9,19,48,2,92,8
404,"1170404","Freixo de Espada à Cinta",38,0,67,0,2,22,0,51,0
1805,"1171805","Lamego",0,0,42,15,11,42,22,22,16
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",35724,0,106,271,128,522,59,744,62
