"Muni_ID","ID","Muni","forage_maize"
1601,"1111601","Arcos de Valdevez",0
1602,"1111602","Caminha",578.47
1603,"1111603","Melgaço",13.99
1604,"1111604","Monção",88.42
1605,"1111605","Paredes de Coura",229.21
1606,"1111606","Ponte da Barca",109
1607,"1111607","Ponte de Lima",489.78
1608,"1111608","Valença",204.85
1609,"1111609","Viana do Castelo",3089.03
1610,"1111610","Vila Nova de Cerveira",1079.41
301,"1120301","Amares",0
302,"1120302","Barcelos",11309.89
303,"1120303","Braga",4070.7
306,"1120306","Esposende",3209.09
310,"1120310","Terras de Bouro",17.03
313,"1120313","Vila Verde",58.6
307,"1130307","Fafe",315
308,"1130308","Guimarães",6338.25
309,"1130309","Póvoa de Lanhoso",40.86
1314,"1131314","Santo Tirso",1129.24
1318,"1131318","Trofa",1371.6
311,"1130311","Vieira do Minho",4.88
312,"1130312","Vila Nova de Famalicão",27087.82
314,"1130314","Vizela",0
107,"1140107","Espinho",2.9
1304,"1141304","Gondomar",328.86
1306,"1141306","Maia",1394.38
1308,"1141308","Matosinhos",1012.96
1312,"1141312","Porto",23.58
1313,"1141313","Póvoa de Varzim",3250.06
1315,"1141315","Valongo",227.46
1316,"1141316","Vila do Conde",5838.13
1317,"1141317","Vila Nova de Gaia",267.27
1301,"1151301","Amarante",328.95
1302,"1151302","Baião",0
304,"1150304","Cabeceiras de Basto",0
106,"1150106","Castelo de Paiva",0
305,"1150305","Celorico de Basto",111
1804,"1151804","Cinfães",0
1303,"1151303","Felgueiras",269.9
1305,"1151305","Lousada",181.83
1307,"1151307","Marco de Canaveses",474.46
1705,"1151705","Mondim de Basto",0
1309,"1151309","Paços de Ferreira",1487.74
1310,"1151310","Paredes",540.65
1311,"1151311","Penafiel",0
1813,"1151813","Resende",12.99
1709,"1151709","Ribeira de Pena",2.45
104,"1160104","Arouca",2169.34
113,"1160113","Oliveira de Azeméis",1298.89
109,"1160109","Santa Maria da Feira",588.72
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",508.24
1701,"1171701","Alijó",1.68
1801,"1171801","Armamar",1.08
403,"1170403","Carrazeda de Ansiães",0.59
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",13.97
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",197.47
1812,"1171812","Penedono",0
1708,"1171708","Peso da Régua",2.03
