CAA_ID,Muni_ID,full_ID,Muni,rf99,uaa99,poly_sum,poly_corr
1,101,1610101,Águeda,5,2918,8500,21
2,101,1610101,Águeda,2,2918,8500,13
3,101,1610101,Águeda,6,2918,8500,18
4,101,1610101,Águeda,3,2918,8500,14
5,101,1610101,Águeda,1,2918,8500,16
6,101,1610101,Águeda,8,2918,8500,1
7,101,1610101,Águeda,3,2918,8500,19
8,101,1610101,Águeda,2,2918,8500,12
9,101,1610101,Águeda,10,2918,8500,11
10,101,1610101,Águeda,3,2918,8500,13
11,101,1610101,Águeda,1,2918,8500,88
12,101,1610101,Águeda,3,2918,8500,33
13,101,1610101,Águeda,10,2918,8500,15
14,101,1610101,Águeda,8,2918,8500,13
15,101,1610101,Águeda,6,2918,8500,33
16,101,1610101,Águeda,8,2918,8500,15
17,101,1610101,Águeda,7,2918,8500,41
18,101,1610101,Águeda,9,2918,8500,10
19,101,1610101,Águeda,2,2918,8500,32
20,101,1610101,Águeda,1,2918,8500,28
21,101,1610101,Águeda,2,2918,8500,27
22,101,1610101,Águeda,3,2918,8500,20
23,101,1610101,Águeda,1,2918,8500,35
24,101,1610101,Águeda,4,2918,8500,54
25,101,1610101,Águeda,5,2918,8500,37
26,101,1610101,Águeda,11,2918,8500,14
27,101,1610101,Águeda,5,2918,8500,12
28,101,1610101,Águeda,7,2918,8500,16
29,101,1610101,Águeda,1,2918,8500,28
30,101,1610101,Águeda,1,2918,8500,64
31,101,1610101,Águeda,3,2918,8500,12
32,101,1610101,Águeda,5,2918,8500,55
33,101,1610101,Águeda,11,2918,8500,12
34,101,1610101,Águeda,4,2918,8500,16
35,101,1610101,Águeda,0,2918,8500,18
36,101,1610101,Águeda,0,2918,8500,32
37,101,1610101,Águeda,0,2918,8500,0
38,101,1610101,Águeda,0,2918,8500,2
39,101,1610101,Águeda,10,2918,8500,28
40,101,1610101,Águeda,8,2918,8500,13
41,101,1610101,Águeda,6,2918,8500,11
42,101,1610101,Águeda,1,2918,8500,15
43,101,1610101,Águeda,7,2918,8500,12
44,101,1610101,Águeda,1,2918,8500,46
45,101,1610101,Águeda,10,2918,8500,24
46,101,1610101,Águeda,6,2918,8500,26
47,101,1610101,Águeda,2,2918,8500,26
48,101,1610101,Águeda,1,2918,8500,15
49,101,1610101,Águeda,6,2918,8500,22
50,101,1610101,Águeda,1,2918,8500,22
51,101,1610101,Águeda,0,2918,8500,12
52,101,1610101,Águeda,2,2918,8500,37
53,101,1610101,Águeda,2,2918,8500,244
54,101,1610101,Águeda,1,2918,8500,69
55,101,1610101,Águeda,2,2918,8500,911
56,101,1610101,Águeda,0,2918,8500,37
57,101,1610101,Águeda,1,2918,8500,94
58,101,1610101,Águeda,1,2918,8500,353
59,102,1610102,ALBERGARIA-A-VELHA,2,2595,5759,80
60,102,1610102,ALBERGARIA-A-VELHA,4,2595,5759,17
61,102,1610102,ALBERGARIA-A-VELHA,9,2595,5759,19
62,102,1610102,ALBERGARIA-A-VELHA,1,2595,5759,21
63,102,1610102,ALBERGARIA-A-VELHA,6,2595,5759,26
64,102,1610102,ALBERGARIA-A-VELHA,0,2595,5759,46
65,102,1610102,ALBERGARIA-A-VELHA,7,2595,5759,15
66,102,1610102,ALBERGARIA-A-VELHA,1,2595,5759,44
67,102,1610102,ALBERGARIA-A-VELHA,5,2595,5759,19
68,102,1610102,ALBERGARIA-A-VELHA,4,2595,5759,56
69,102,1610102,ALBERGARIA-A-VELHA,4,2595,5759,29
70,102,1610102,ALBERGARIA-A-VELHA,1,2595,5759,17
71,102,1610102,ALBERGARIA-A-VELHA,2,2595,5759,32
72,102,1610102,ALBERGARIA-A-VELHA,1,2595,5759,46
73,102,1610102,ALBERGARIA-A-VELHA,7,2595,5759,43
74,102,1610102,ALBERGARIA-A-VELHA,1,2595,5759,43
75,102,1610102,ALBERGARIA-A-VELHA,1,2595,5759,2041
76,103,1610103,ANADIA,7,5158,10884,23
77,103,1610103,ANADIA,1,5158,10884,41
78,103,1610103,ANADIA,1,5158,10884,18
79,103,1610103,ANADIA,6,5158,10884,32
80,103,1610103,ANADIA,2,5158,10884,53
81,103,1610103,ANADIA,10,5158,10884,16
82,103,1610103,ANADIA,9,5158,10884,20
83,103,1610103,ANADIA,7,5158,10884,1
84,103,1610103,ANADIA,1,5158,10884,260
85,103,1610103,ANADIA,1,5158,10884,412
86,103,1610103,ANADIA,1,5158,10884,4283
87,104,1160104,AROUCA,8,4026,6458,35
88,104,1160104,AROUCA,10,4026,6458,110
89,104,1160104,AROUCA,13,4026,6458,4
90,104,1160104,AROUCA,11,4026,6458,29
91,104,1160104,AROUCA,9,4026,6458,21
92,104,1160104,AROUCA,9,4026,6458,6
93,104,1160104,AROUCA,9,4026,6458,22
94,104,1160104,AROUCA,10,4026,6458,2
95,104,1160104,AROUCA,11,4026,6458,48
96,104,1160104,AROUCA,13,4026,6458,0
97,104,1160104,AROUCA,10,4026,6458,22
98,104,1160104,AROUCA,8,4026,6458,81
99,104,1160104,AROUCA,9,4026,6458,58
100,104,1160104,AROUCA,8,4026,6458,22
101,104,1160104,AROUCA,9,4026,6458,31
102,104,1160104,AROUCA,7,4026,6458,69
103,104,1160104,AROUCA,12,4026,6458,27
104,104,1160104,AROUCA,6,4026,6458,50
105,104,1160104,AROUCA,7,4026,6458,171
106,104,1160104,AROUCA,8,4026,6458,28
107,104,1160104,AROUCA,4,4026,6458,81
108,104,1160104,AROUCA,2,4026,6458,21
109,104,1160104,AROUCA,12,4026,6458,22
110,104,1160104,AROUCA,10,4026,6458,64
111,104,1160104,AROUCA,7,4026,6458,166
112,104,1160104,AROUCA,9,4026,6458,29
113,104,1160104,AROUCA,6,4026,6458,53
114,104,1160104,AROUCA,5,4026,6458,21
115,104,1160104,AROUCA,10,4026,6458,41
116,104,1160104,AROUCA,3,4026,6458,75
117,104,1160104,AROUCA,12,4026,6458,21
118,104,1160104,AROUCA,8,4026,6458,28
119,104,1160104,AROUCA,10,4026,6458,40
120,104,1160104,AROUCA,5,4026,6458,1
121,104,1160104,AROUCA,12,4026,6458,64
122,104,1160104,AROUCA,4,4026,6458,5
123,104,1160104,AROUCA,12,4026,6458,47
124,104,1160104,AROUCA,7,4026,6458,87
125,104,1160104,AROUCA,2,4026,6458,24
126,104,1160104,AROUCA,5,4026,6458,267
127,104,1160104,AROUCA,6,4026,6458,388
128,104,1160104,AROUCA,9,4026,6458,176
129,104,1160104,AROUCA,7,4026,6458,974
130,104,1160104,AROUCA,9,4026,6458,260
131,104,1160104,AROUCA,11,4026,6458,173
132,104,1160104,AROUCA,7,4026,6458,63
133,105,1610105,AVEIRO,0,2902,7169,106
134,105,1610105,AVEIRO,0,2902,7169,16
135,105,1610105,AVEIRO,1,2902,7169,41
136,105,1610105,AVEIRO,0,2902,7169,16
137,105,1610105,AVEIRO,0,2902,7169,20
138,105,1610105,AVEIRO,0,2902,7169,24
139,105,1610105,AVEIRO,1,2902,7169,14
140,105,1610105,AVEIRO,1,2902,7169,92
141,105,1610105,AVEIRO,1,2902,7169,26
142,105,1610105,AVEIRO,0,2902,7169,15
143,105,1610105,AVEIRO,0,2902,7169,29
144,105,1610105,AVEIRO,0,2902,7169,28
145,105,1610105,AVEIRO,2,2902,7169,38
146,105,1610105,AVEIRO,3,2902,7169,21
147,105,1610105,AVEIRO,0,2902,7169,286
148,105,1610105,AVEIRO,1,2902,7169,131
149,105,1610105,AVEIRO,1,2902,7169,261
150,105,1610105,AVEIRO,0,2902,7169,1633
151,105,1610105,AVEIRO,1,2902,7169,105
152,106,1150106,CASTELO DE PAIVA,11,1197,3661,11
153,106,1150106,CASTELO DE PAIVA,11,1197,3661,28
154,106,1150106,CASTELO DE PAIVA,11,1197,3661,35
155,106,1150106,CASTELO DE PAIVA,9,1197,3661,62
156,106,1150106,CASTELO DE PAIVA,9,1197,3661,24
157,106,1150106,CASTELO DE PAIVA,22,1197,3661,18
158,106,1150106,CASTELO DE PAIVA,9,1197,3661,41
159,106,1150106,CASTELO DE PAIVA,9,1197,3661,26
160,106,1150106,CASTELO DE PAIVA,9,1197,3661,24
161,106,1150106,CASTELO DE PAIVA,11,1197,3661,20
162,106,1150106,CASTELO DE PAIVA,10,1197,3661,53
163,106,1150106,CASTELO DE PAIVA,11,1197,3661,9
164,106,1150106,CASTELO DE PAIVA,11,1197,3661,12
165,106,1150106,CASTELO DE PAIVA,8,1197,3661,14
166,106,1150106,CASTELO DE PAIVA,8,1197,3661,11
167,106,1150106,CASTELO DE PAIVA,5,1197,3661,112
168,106,1150106,CASTELO DE PAIVA,9,1197,3661,695
169,107,1140107,ESPINHO,3,53,430,0
170,107,1140107,ESPINHO,0,53,430,2
171,107,1140107,ESPINHO,2,53,430,6
172,107,1140107,ESPINHO,1,53,430,8
173,107,1140107,ESPINHO,0,53,430,6
174,107,1140107,ESPINHO,2,53,430,5
175,107,1140107,ESPINHO,0,53,430,8
176,107,1140107,ESPINHO,0,53,430,19
177,108,1610108,ESTARREJA,0,3204,6455,8
178,108,1610108,ESTARREJA,0,3204,6455,70
179,108,1610108,ESTARREJA,0,3204,6455,61
180,108,1610108,ESTARREJA,0,3204,6455,37
181,108,1610108,ESTARREJA,0,3204,6455,77
182,108,1610108,ESTARREJA,0,3204,6455,570
183,108,1610108,ESTARREJA,0,3204,6455,92
184,108,1610108,ESTARREJA,1,3204,6455,2289
185,109,1160109,SANTA MARIA DA FEIRA,5,1709,6560,28
186,109,1160109,SANTA MARIA DA FEIRA,5,1709,6560,0
187,109,1160109,SANTA MARIA DA FEIRA,4,1709,6560,22
188,109,1160109,SANTA MARIA DA FEIRA,3,1709,6560,17
189,109,1160109,SANTA MARIA DA FEIRA,5,1709,6560,40
190,109,1160109,SANTA MARIA DA FEIRA,5,1709,6560,14
191,109,1160109,SANTA MARIA DA FEIRA,6,1709,6560,8
192,109,1160109,SANTA MARIA DA FEIRA,2,1709,6560,62
193,109,1160109,SANTA MARIA DA FEIRA,4,1709,6560,4
194,109,1160109,SANTA MARIA DA FEIRA,3,1709,6560,16
195,109,1160109,SANTA MARIA DA FEIRA,6,1709,6560,10
196,109,1160109,SANTA MARIA DA FEIRA,2,1709,6560,4
197,109,1160109,SANTA MARIA DA FEIRA,3,1709,6560,2
198,109,1160109,SANTA MARIA DA FEIRA,7,1709,6560,16
