CAA_ID,Muni_ID,Full_ID,Muni,rf09,uaa09,poly_sum,poly_corr
1,505,1690505,IDANHA-A-NOVA,3.12,80156,92545,1163
2,505,1690505,IDANHA-A-NOVA,5.3,80156,92545,36
3,505,1690505,IDANHA-A-NOVA,1.4,80156,92545,2713
4,505,1690505,IDANHA-A-NOVA,0,80156,92545,0
5,505,1690505,IDANHA-A-NOVA,1.77,80156,92545,8923
6,505,1690505,IDANHA-A-NOVA,3.84,80156,92545,16
7,505,1690505,IDANHA-A-NOVA,0.78,80156,92545,152
8,505,1690505,IDANHA-A-NOVA,2.53,80156,92545,0
9,505,1690505,IDANHA-A-NOVA,4.56,80156,92545,62
10,505,1690505,IDANHA-A-NOVA,1.38,80156,92545,945
11,505,1690505,IDANHA-A-NOVA,0.53,80156,92545,88
12,505,1690505,IDANHA-A-NOVA,3.21,80156,92545,43
13,505,1690505,IDANHA-A-NOVA,2.19,80156,92545,3
14,505,1690505,IDANHA-A-NOVA,2.77,80156,92545,1043
15,505,1690505,IDANHA-A-NOVA,4.02,80156,92545,238
16,505,1690505,IDANHA-A-NOVA,0.67,80156,92545,114
17,505,1690505,IDANHA-A-NOVA,2.2,80156,92545,2567
18,505,1690505,IDANHA-A-NOVA,6.27,80156,92545,55
19,505,1690505,IDANHA-A-NOVA,4.27,80156,92545,77
20,505,1690505,IDANHA-A-NOVA,5.78,80156,92545,46
21,505,1690505,IDANHA-A-NOVA,1.7,80156,92545,50
22,505,1690505,IDANHA-A-NOVA,0,80156,92545,3
23,505,1690505,IDANHA-A-NOVA,1.25,80156,92545,18
24,505,1690505,IDANHA-A-NOVA,5.42,80156,92545,149
25,505,1690505,IDANHA-A-NOVA,1.98,80156,92545,57433
26,505,1690505,IDANHA-A-NOVA,2.01,80156,92545,666
27,505,1690505,IDANHA-A-NOVA,6.86,80156,92545,107
28,505,1690505,IDANHA-A-NOVA,2.94,80156,92545,93
29,505,1690505,IDANHA-A-NOVA,4.65,80156,92545,173
30,505,1690505,IDANHA-A-NOVA,4.45,80156,92545,29
31,505,1690505,IDANHA-A-NOVA,1.73,80156,92545,62
32,505,1690505,IDANHA-A-NOVA,5,80156,92545,0
33,505,1690505,IDANHA-A-NOVA,0.39,80156,92545,29
34,505,1690505,IDANHA-A-NOVA,3.21,80156,92545,93
35,505,1690505,IDANHA-A-NOVA,0.81,80156,92545,68
36,505,1690505,IDANHA-A-NOVA,4.01,80156,92545,51
37,505,1690505,IDANHA-A-NOVA,5.28,80156,92545,30
38,505,1690505,IDANHA-A-NOVA,3.2,80156,92545,49
39,505,1690505,IDANHA-A-NOVA,3.56,80156,92545,28
40,505,1690505,IDANHA-A-NOVA,2.5,80156,92545,49
41,505,1690505,IDANHA-A-NOVA,2.9,80156,92545,55
42,505,1690505,IDANHA-A-NOVA,0.77,80156,92545,28
43,505,1690505,IDANHA-A-NOVA,2.21,80156,92545,262
44,505,1690505,IDANHA-A-NOVA,1.28,80156,92545,85
45,505,1690505,IDANHA-A-NOVA,2,80156,92545,70
46,505,1690505,IDANHA-A-NOVA,4.39,80156,92545,142
47,505,1690505,IDANHA-A-NOVA,1.19,80156,92545,42
48,505,1690505,IDANHA-A-NOVA,0.56,80156,92545,18
49,505,1690505,IDANHA-A-NOVA,1.05,80156,92545,67
50,505,1690505,IDANHA-A-NOVA,6.88,80156,92545,1
51,505,1690505,IDANHA-A-NOVA,5.22,80156,92545,98
52,505,1690505,IDANHA-A-NOVA,2.35,80156,92545,29
53,505,1690505,IDANHA-A-NOVA,10.45,80156,92545,64
54,505,1690505,IDANHA-A-NOVA,1.91,80156,92545,51
55,505,1690505,IDANHA-A-NOVA,12.5,80156,92545,8
56,505,1690505,IDANHA-A-NOVA,2.06,80156,92545,0
57,505,1690505,IDANHA-A-NOVA,0,80156,92545,0
58,505,1690505,IDANHA-A-NOVA,0,80156,92545,1
59,505,1690505,IDANHA-A-NOVA,0,80156,92545,1
60,505,1690505,IDANHA-A-NOVA,1.8,80156,92545,0
61,505,1690505,IDANHA-A-NOVA,0,80156,92545,0
62,505,1690505,IDANHA-A-NOVA,8.01,80156,92545,93
63,505,1690505,IDANHA-A-NOVA,2.17,80156,92545,34
64,505,1690505,IDANHA-A-NOVA,1.22,80156,92545,33
65,505,1690505,IDANHA-A-NOVA,2.17,80156,92545,87
66,505,1690505,IDANHA-A-NOVA,4.54,80156,92545,117
67,505,1690505,IDANHA-A-NOVA,2.25,80156,92545,32
68,505,1690505,IDANHA-A-NOVA,3.37,80156,92545,29
69,505,1690505,IDANHA-A-NOVA,5.36,80156,92545,888
70,505,1690505,IDANHA-A-NOVA,6.06,80156,92545,80
71,505,1690505,IDANHA-A-NOVA,5.81,80156,92545,196
72,505,1690505,IDANHA-A-NOVA,5.65,80156,92545,44
73,505,1690505,IDANHA-A-NOVA,8.04,80156,92545,37
74,101,1610101,�gueda,5.36,1903,5652,13
75,101,1610101,�gueda,1.05,1903,5652,12
76,101,1610101,�gueda,1.39,1903,5652,742
77,101,1610101,�gueda,5.63,1903,5652,18
78,101,1610101,�gueda,1.43,1903,5652,150
79,101,1610101,�gueda,2.93,1903,5652,14
80,101,1610101,�gueda,0.41,1903,5652,15
81,101,1610101,�gueda,3.11,1903,5652,19
82,101,1610101,�gueda,8.75,1903,5652,1
83,101,1610101,�gueda,12.5,1903,5652,0
84,101,1610101,�gueda,9.9,1903,5652,11
85,101,1610101,�gueda,2.5,1903,5652,12
86,101,1610101,�gueda,1.02,1903,5652,87
87,101,1610101,�gueda,3.65,1903,5652,32
88,101,1610101,�gueda,10.54,1903,5652,15
89,101,1610101,�gueda,8.29,1903,5652,12
90,101,1610101,�gueda,5.77,1903,5652,32
91,101,1610101,�gueda,8.65,1903,5652,15
92,101,1610101,�gueda,2.61,1903,5652,16
93,101,1610101,�gueda,7.24,1903,5652,40
94,101,1610101,�gueda,1.15,1903,5652,66
95,101,1610101,�gueda,7.93,1903,5652,10
96,101,1610101,�gueda,2.68,1903,5652,31
97,101,1610101,�gueda,1.45,1903,5652,27
98,101,1610101,�gueda,2.72,1903,5652,12
99,101,1610101,�gueda,2.86,1903,5652,20
100,101,1610101,�gueda,1.21,1903,5652,25
101,101,1610101,�gueda,10.95,1903,5652,13
102,101,1610101,�gueda,0,1903,5652,11
103,101,1610101,�gueda,1.17,1903,5652,63
104,101,1610101,�gueda,0.03,1903,5652,80
105,101,1610101,�gueda,10.82,1903,5652,11
106,101,1610101,�gueda,0.07,1903,5652,31
107,101,1610101,�gueda,1.67,1903,5652,2
108,101,1610101,�gueda,0.83,1903,5652,2
109,101,1610101,�gueda,9.74,1903,5652,28
110,101,1610101,�gueda,1.12,1903,5652,121
111,101,1610101,�gueda,6.42,1903,5652,11
112,101,1610101,�gueda,10.11,1903,5652,23
113,101,1610101,�gueda,0,1903,5652,12
114,101,1610101,�gueda,0.68,1903,5652,16
115,101,1610101,�gueda,0.18,1903,5652,12
116,101,1610101,�gueda,0,1903,5652,1
117,101,1610101,�gueda,1.28,1903,5652,15
118,101,1610101,�gueda,0,1903,5652,4
119,102,1610102,ALBERGARIA-A-VELHA,6.04,2103,5313,0
