aquifer_ID,leaching_mg,drainage,nloading,gw_type,recharge,prec,,,,,
1,78105947489,7750556139,10.07746,Ind,7,505.1586182,,,,,
2,45969402.83,2266367574,0.02028,Ind,7.5,825.6836135,,,,,
3,2.35298E+12,1.22375E+11,19.2276,Ind,3,680.372089,,,<10,15.71697429,21
4,2239657305,513700752.2,4.35985,Ind,10,1069.245973,,,10--20,10.67527273,22
5,1.26391E+11,2603989622,48.53755,Ind,1,577.0233522,,,20--30,5.680279048,21
6,2.09104E+11,8251746888,25.34059,Ind,5,893.0535018,,,30--40,3.865423,10
7,5.25809E+11,34931115476,15.05274,Ind,5,1042.462202,,,40--50,4.88735,9
8,60331263825,10708731461,5.63384,Aq,29,839.1740219,,,> 50,2.803594,3
9,29635384106,2773830477,10.68392,Aq,24.8,1023.837945,,,,,
10,88518298.46,9188656.428,9.63343,Aq,13.3,1665.99639,,,,,
11,21466835906,4836961015,4.43808,Ind,22.3,544.9232529,,,,,
12,3.32795E+11,1.20957E+11,2.75135,Ind,27,828.0554498,,,,,
13,3.30932E+11,1.58232E+11,2.09144,Aq,30,765.0355111,,,,,
14,67657691414,3509504831,19.27842,Ind,5,846.2242484,,,,,
15,30131461081,2979283862,10.11366,Aq,31,832.4436511,,,,,
16,95326376434,3119277418,30.5604,Ind,5,867.1091441,,,,,
17,258818215.2,23386757461,0.01107,Aq,19.3,2073.55267,,,,,
18,56596274719,6178137146,9.16073,Aq,14.6,1258.931373,,,,,
19,4189508996,2512938533,1.66718,Aq,44.6,1421.669461,,,,,
20,1.07761E+11,12151674407,8.86797,Aq,13.8,987.6202508,,,,,
21,30106324239,17807091746,1.69069,Aq,11.7,1284.522613,,,,,
22,17371175826,9623599782,1.80506,Ind,14.9,1321.8207,,,,,
23,39748166546,43341723353,0.91709,Aq,38.3,1759.349551,,,,,
24,49786937562,12758997056,3.9021,Aq,11.2,1451.708038,,,,,
25,35087802379,9420504375,3.72462,Aq,13.9,1657.359041,,,,,
26,13935447626,4395936788,3.17007,Aq,22.5,1607.845169,,,,,
27,17118365019,30786305122,0.55604,Aq,20.2,1366.01246,,,,,
28,3201680996,4382468913,0.73057,Aq,62,806.9106737,,,,,
29,1.60393E+11,64914767939,2.47082,Aq,61,736.5619266,,,,,
30,29155345951,16341916308,1.78408,Aq,26,886.088427,,,,,
31,7774390555,944836657,8.22829,Aq,31,870.007068,,,,,
32,89079681731,32721762937,2.72234,Aq,36,573.6015739,,,,,
33,5.99934E+11,27854666740,21.53801,Ind,9,762.3610159,,,,,
34,9.79049E+11,92318979786,10.60507,Ind,16,823.8889709,,,,,
35,61337349703,16897881636,3.62988,Aq,48,841.0940622,,,,,
36,1604930211,212280466.4,7.56042,Aq,46,705.3184355,,,,,
37,12002008498,2506199802,4.78893,Aq,25,797.478603,,,,,
38,83665081906,23907350521,3.49955,Aq,48,983.9993412,,,,,
39,9.84471E+11,1.02267E+11,9.62643,Ind,6.3,898.2741203,,,,,
40,2.75873E+12,2.32107E+11,11.88562,Ind,5.4,772.4936192,,,,,
41,7.92167E+11,66370990983,11.93544,Ind,5.2,826.9969531,,,,,
42,1.34197E+12,1.3939E+11,9.62745,Ind,5,923.6871964,,,,,
43,2.23019E+11,89733454628,2.48535,Ind,23,829.3150816,,,,,
44,1.03829E+12,82471298178,12.58966,Aq,18,692.9172424,,,,,
45,1.24681E+12,5.19451E+11,2.40024,Aq,26,717.9243526,,,,,
46,5.17453E+11,1.39507E+11,3.70916,Aq,33,751.0515456,,,,,
47,17387813204,2391320578,7.27122,Aq,25,812.3348229,,,,,
48,2951551506,4019266815,0.73435,Aq,50,774.5644954,,,,,
49,1046726617,273556439.6,3.82636,Aq,38,707.5597898,,,,,
50,5198004525,536349928.2,9.69144,Ind,20,627.6213875,,,,,
51,39478082068,1232982535,32.01836,Aq,10.8,682.13734,,,,,
52,874.6721585,4361172024,0,Ind,7.5,932.4135718,,,,,
53,1.36368E+11,20332590319,6.70687,Ind,7.5,695.161031,,,,,
54,1.17757E+11,24973241392,4.71532,Ind,7.5,730.8189499,,,,,
55,1.19357E+11,73469884474,1.62458,Aq,38,1073.458799,,,,,
56,3703871596,1047044826,3.53745,Aq,15.6,773.1396308,,,,,
57,58569626889,1623431994,36.07766,Ind,5,754.1755334,,,,,
58,75938782233,2957056032,25.68054,Ind,10,701.9871024,,,,,
59,2.93035E+11,79403276974,3.69047,Aq,20,1437.391637,,,,,
60,41626322785,3924369058,10.60714,Ind,20,795.1058505,,,,,
61,2.36534E+11,10645680483,22.21881,Ind,10,739.6277671,,,,,
62,2377640712,1581329903,1.50357,Aq,50,699.7251704,,,,,
63,24090492835,4329058934,5.56483,Aq,28,788.369437,,,,,
64,1.17189E+11,14049450327,8.34119,Aq,10,893.0058607,,,,,
65,2.09009E+11,43930038649,4.75778,Aq,45,779.0831986,,,,,
