CAA_ID,drainage,leaching_gw,nloading
1,559127935.527392,1669578695.04273,2.99
2,16343153.3413784,62365000,3.82
3,1035473455.03791,3349948645.83861,3.24
4,2976.08520996633,0,0
5,4109276068.10697,8877744907.91402,2.16
6,5956335.44302354,18478000,3.1
7,77965147.442387,263318000,3.38
8,135714.700209533,0,0
9,23024824.9576288,62381000,2.71
10,437905437.842903,1570718000,3.59
11,46718265.7243073,152447000,3.26
12,20934156.8126884,30154000,1.44
13,1494632.20049685,5197000,3.48
14,432831972.062483,1186254000,2.74
15,111634671.62347,350730000,3.14
16,46631563.2043273,197488000,4.24
17,1319089381.64856,3382650511.53115,2.56
18,28080591.6166411,63520000,2.26
19,35150395.1607964,133391000,3.79
20,22336364.7250871,79688000,3.57
21,23157920.4979782,23930000,1.03
22,1816998.71077937,2913000,1.6
23,8006847.0376835,31182000,3.89
24,77297970.4357557,122419194.01724,1.58
25,24390047113.4613,78768088622.6993,3.23
26,294754997.179678,963119760.170094,3.27
27,51785100.2784238,185362000,3.58
28,38731630.3500473,161109000,4.16
29,73855637.2074795,296232292.605854,4.01
30,15096509.3116605,32337097.5352846,2.14
31,32441341.8414531,42103000,1.3
32,10902.5148113531,0,0
33,15078147.8849049,18086000,1.2
34,43309088.249356,161109000,3.72
35,34917615.4563965,78533000,2.25
36,26155105.3253008,88350000,3.38
37,13038567.6250096,41576877.8175618,3.19
38,22102396.538423,84885000,3.84
39,14269470.5613654,48506000,3.4
40,22896617.4761973,84885000,3.71
41,28007070.5838513,88673000,3.17
42,12797634.35887,48506000,3.79
43,113866881.085643,56056150.210455,0.49
44,38548933.9271474,147250000,3.82
45,34835553.7774278,74491450.1790281,2.14
46,61290122.0901341,90723208.5503198,1.48
47,19560469.0375155,67561938.9087809,3.45
48,9646088.45910701,2182570.4213909,0.23
49,29264178.5057168,5968482.53632658,0.2
50,696158.409933201,1155000,1.66
51,46044408.8869526,98603000,2.14
52,12894771.3542765,50238000,3.9
53,29087352.3548375,98744524.1204887,3.39
54,20899144.7008649,88350000,4.23
55,3780176.20460661,3464877.81756179,0.92
56,44466.4169573197,0,0
57,5354.15162063238,0,0
58,444626.29350367,1732000,3.9
59,668407.65153367,1732000,2.59
60,94188.6037067765,0,0
61,9898.8936673878,0,0
62,37086937.9361522,161109000,4.34
63,14002447.949351,23434000,1.67
64,13472903.6613462,23020000,1.71
65,35129102.491854,55463000,1.58
66,48387738.1011391,131448000,2.72
67,12966850.6158349,55435000,4.28
68,11522438.6573204,50238000,4.36
69,346468483.067564,1379308121.09367,3.98
70,30960733.2275554,138588000,4.48
71,73494112.1949248,339541000,4.62
72,17218219.6523247,76224000,4.43
73,14401390.3189626,29449926.0585393,2.04
74,8935378.91279643,264.256095150017,0
75,8575795.95602032,51476000,6
76,1059089068.86998,985803911.834155,0.93
77,7591266.37574562,93226000,12.28
78,191762343.928122,786071000,4.1
79,17803145.0050776,45028000,2.53
80,6606032.86217744,111347000,16.86
81,8042945.30580587,103743000,12.9
82,312933.128974996,4502000,14.39
83,7055.42941441959,0,0
84,4770634.10096032,47622000,9.98
85,5268909.81965368,68418000,12.99
86,110561505.036073,447144125.569255,4.04
87,13672706.086535,119749000,8.76
88,6336892.59500424,76230000,12.03
89,5264513.39845162,62151000,11.81
90,13786751.9495884,130583000,9.47
91,6469425.50766874,97570000,15.08
92,11868267.8777644,87939000,7.41
93,23319985.4257797,122572614.123548,5.26
94,119297997.539296,339929000,2.85
95,7180416.32618493,40123000,5.59
96,22713817.5297805,227660000,10.02
97,55490751.9621638,141785000,2.56
98,24292644.2396008,78229000,3.22
99,41081239.2023064,35462739.4151605,0.86
100,44624529.4881516,168830000,3.78
101,6730206.84902424,91350000,13.57
102,22009373.666451,74285000,3.38
103,111148453.701829,64099585.893725,0.58
104,145023832.078444,54357196.4848379,0.37
105,7527766.29851933,91361000,12.14
106,82957618.2526593,177279398.368693,2.14
107,4932490.55629287,4501874.10324552,0.91
108,3005354.64831294,9004000,3
109,13470524.5879207,173155000,12.85
110,313916576.633581,570365761.135398,1.82
111,21033617.2796247,56338000,2.68
112,10423031.5353941,169406000,16.25
113,19393006.1928085,78229000,4.03
114,17583185.8217868,108051000,6.15
115,17958998.9839075,72351000,4.03
116,3375770.76838054,6753000,2
117,31900225.1577593,86711000,2.72
118,10955999.1083242,27013000,2.47
119,217651.677250721,0,0
120,20445235.5567184,294789000,14.42
121,4429447.07635979,61640000,13.92
122,4961447.99921539,147672000,29.76
123,11754108.7351621,218856000,18.62
124,11042038.5500025,245940000,22.27
125,4792128.31215525,140598000,29.34
126,5950033.71489484,97382726.7695247,16.37
127,22429435.9971225,351541000,15.67
128,9315654.23412888,195062000,20.94
129,3155305.87737299,49145551.1247668,15.58
130,1420753825.13872,5029799486.267,3.54
131,2041239.6125276,0,0
132,3673841.10190644,95177406.837331,25.91
133,22172679.9446131,111174907.372641,5.01
134,12812421.8489905,91744849.3694801,7.16
135,22526362.2477329,551107000,24.46
136,12532214.9703683,323225000,25.79
137,30637462.4504763,169285000,5.53
138,40009175.1842202,250730162.63227,6.27
139,30769033.5844222,177317000,5.76
140,98283364.5454053,539764000,5.49
141,138876518.034195,1050051000,7.56
142,74853697.9764093,244034000,3.26
143,91542161.5339048,409856000,4.48
144,156625920.887797,519825000,3.32
145,162254984.223761,453429000,2.79
146,146150412.391736,471493000,3.23
147,119058055.614176,337556000,2.84
148,2184148519.84716,4443161342.75981,2.03
149,113602165.245356,263482000,2.32
150,65250512.4236699,203417000,3.12
151,114666547.36884,286445000,2.5
152,85511356.3796786,260885000,3.05
153,237672917.347604,943759000,3.97
154,75010639.9083285,390810000,5.21
155,201765348.17994,430826000,2.14
156,20860541.1172392,128961055.303016,6.18
157,25328932.3690679,244931000,9.67
158,166126847.353085,678859000,4.09
159,166304307.502196,726476000,4.37
160,85762547.7936174,588790000,6.87
161,78780571.1103285,491937000,6.24
162,65255975.0184838,369239000,5.66
163,65764080.1448797,314813000,4.79
164,49083778.0479629,203417000,4.14
165,72793723.7173324,462150000,6.35
166,90869031.5217606,336231000,3.7
167,122192476.237031,597797000,4.89
168,212794.616116529,0,0
169,1004317.76575201,4151000,4.13
170,15360736.9526823,132045000,8.6
171,48745890.2859191,420145000,8.62
172,11671163.5405672,42014259.1430446,3.6
173,1424013.73062816,15005000,10.54
174,5421918.77694743,78027000,14.39
175,1480511.93564482,21007000,14.19
176,4396621.03563182,84029000,19.11
177,9888265.33926955,135023000,13.65
178,80557228.6748404,1135686756.00338,14.1
179,431719.827311801,6002000,13.9
180,4055986.10924255,84029000,20.72
181,31842.2410464974,0,0
182,28260.5065687674,0,0
183,4457943.30420956,81028000,18.18
184,6181177.54832449,120041000,19.42
185,53909104.4274581,685836000,12.72
186,7202692.59797207,102035000,14.17
187,13196504.4774397,147017000,11.14
188,45587870.8236868,445920000,9.78
