Muni_ID,ID,Muni,leaching_mg,drainage,nloading
1601,1111601,Arcos de Valdevez,11672183039.7151,698106283.774095,16.71978
1602,1111602,Caminha,21435298360.7944,862710786.290975,24.84645
1603,1111603,Melgaço,11573710500.541,2390314386.43343,4.84192
1604,1111604,Monção,11911067369.1523,1733950052.37215,6.86933
1605,1111605,Paredes de Coura,9553025900.11612,1238296295.08144,7.71465
1606,1111606,Ponte da Barca,7204000199.72726,170730383.896309,42.19519
1607,1111607,Ponte de Lima,70735823155.24,306087044.636012,231.09708
1608,1111608,Valença,10184793320.0074,625404896.692642,16.28512
1609,1111609,Viana do Castelo,69822392643.1096,541011136.6057,129.05907
1610,1111610,Vila Nova de Cerveira,8682549939.21585,390330340.666306,22.24411
301,1120301,Amares,14243755520.4063,259183755.457492,54.9562
302,1120302,Barcelos,34687554197.3886,1287114977.11678,26.94985
303,1120303,Braga,52017998761.0576,591092051.489457,88.00321
306,1120306,Esposende,30091349337.2852,390959182.277805,76.96801
310,1120310,Terras de Bouro,6701650020.42564,1479370684.95782,4.53007
313,1120313,Vila Verde,44946181279.4892,1026682859.32554,43.77806
307,1130307,Fafe,29118347497.8823,712271101.368731,40.88099
308,1130308,Guimarães,51159996579.4524,1143942282.89577,44.72253
309,1130309,Póvoa de Lanhoso,18218973459.7132,544352341.962015,33.46908
1314,1131314,Santo Tirso,20440187140.188,1389906121.01861,14.70616
1318,1131318,Trofa,7539044960.40968,682851516.010383,11.04053
311,1130311,Vieira do Minho,6067607040.13841,1687253396.48872,3.59614
312,1130312,Vila Nova de Famalicão,29139755398.7583,1493775111.05198,19.50746
314,1130314,Vizela,5874247529.91668,91811027.5905742,63.98194
107,1140107,Espinho,264467699.992444,74314192.5462589,3.55878
1304,1141304,Gondomar,11333726149.1404,129507270.780754,87.51421
1306,1141306,Maia,8522595720.22311,449721488.86495,18.95083
1308,1141308,Matosinhos,986213539.963888,382307254.677424,2.57964
1312,1141312,Porto,48737110.0035661,10795606.2251892,4.51453
1313,1141313,Póvoa de Varzim,0,2275792262.94796,0
1315,1141315,Valongo,58951920148.2952,236017184.508759,249.77808
1316,1141316,Vila do Conde,0,3729123013.08745,0
1317,1141317,Vila Nova de Gaia,15764932549.7158,298242245.20476,52.85949
1301,1151301,Amarante,45212463361.349,2574768149.47662,17.55982
1302,1151302,Baião,17301113999.4649,576693752.134754,30.00052
304,1150304,Cabeceiras de Basto,16535428378.7003,413401873.827601,39.99844
106,1150106,Castelo de Paiva,15498220881.0133,543192798.335053,28.53171
305,1150305,Celorico de Basto,31689421829.4998,319650806.618317,99.13763
1804,1151804,Cinfães,17042157001.5378,292240166.290251,58.31559
1303,1151303,Felgueiras,23570704918.2852,379906966.162762,62.04336
1305,1151305,Lousada,30207682960.3662,246370593.735009,122.61075
1307,1151307,Marco de Canaveses,20672707202.1412,333117987.371435,62.05821
1705,1151705,Mondim de Basto,15416478079.974,467823896.386899,32.95359
1309,1151309,Paços de Ferreira,10299765210.8108,169072355.280531,60.91927
1310,1151310,Paredes,22534662149.5143,320326437.120868,70.34906
1311,1151311,Penafiel,26275129369.88,803988545.925325,32.68097
1813,1151813,Resende,9927827648.93932,283281990.591044,35.04574
1709,1151709,Ribeira de Pena,16977444299.6158,1140630699.39874,14.88426
104,1160104,Arouca,10138382469.3949,951530456.035775,10.65482
113,1160113,Oliveira de Azeméis,0,899279555.592189,0
109,1160109,Santa Maria da Feira,18956562000.3975,419882910.119334,45.14726
116,1160116,São João da Madeira,0,0,0
119,1160119,Vale de Cambra,7059592799.92081,572836512.221708,12.32392
1701,1171701,Alijó,13026985799.9834,863437932.342609,15.08734
1801,1171801,Armamar,12391689700.852,513071542.842186,24.15197
403,1170403,Carrazeda de Ansiães,14324607449.5847,1509506019.58053,9.4896
404,1170404,Freixo de Espada à Cinta,16790337809.9696,1811547560.98662,9.26851
1805,1171805,Lamego,8033262899.91215,517132258.905357,15.53425
1704,1171704,Mesão Frio,0,247672127.900657,0
1807,1171807,Moimenta da Beira,331692690.006591,512522439.517751,0.64718
1812,1171812,Penedono,24322864308.1074,321306395.152548,75.69991
1708,1171708,Peso da Régua,8655724920.18561,509482409.479188,16.98925
1710,1171710,Sabrosa,22851439780.1034,909354579.884385,25.1293
1711,1171711,Santa Marta de Penaguião,7455610620.22063,426839493.523444,17.46701
1815,1171815,São João da Pesqueira,42186436548.2102,2678976207.13068,15.74722
1818,1171818,Sernancelhe,20894342729.6913,538967780.242134,38.76733
