aquifer_ID,leaching_mg,drainage,nloading,gw_type,recharge,prec,,,,
60,23051905384,3072716266,7.50213,Ind,20,775.1513856,,,,
61,1.43815E+11,8571710742,16.77792,Ind,10,740.7486425,,,,
62,1274861310,2716428966,0.46932,Aq,50,582.6745436,,,,
63,16985797156,769658903.4,22.06925,Aq,28,364.4804691,,,,
64,68946652871,5516810521,12.49756,Aq,10,366.6214716,,,,
65,1.27054E+11,35299740338,3.59929,Aq,45,727.4002822,,,,
66,6801306771,8402765025,0.80941,Aq,50,537.6602354,,,,
67,2544452003,2300961683,1.10582,Aq,50,412.6833716,,,,
68,16927255226,4522873051,3.74259,Aq,40,783.314858,,,,
69,1654567750,419838596.7,3.94096,Aq,25,621.2427305,,,,
70,60213185599,4796799446,12.55278,Aq,20,766.8476718,,,,
71,1862314999,319258866.1,5.83324,Aq,50,626.3160664,,,,
72,8302132185,2569127371,3.2315,Aq,25,753.436727,,,,
73,4614011259,507137013.5,9.09816,Ind,7,482.183203,,,,
74,56155056490,1853964118,30.28918,Aq,19,415.4744423,,,,
75,13289465498,4736520136,2.80574,Aq,48.6,682.8522066,,,,
76,10201016877,2162837702,4.7165,Aq,50,744.738822,,,,
77,8999640115,3320236241,2.71054,Aq,35,794.7456956,,,,
78,4407030285,1556696059,2.83102,Aq,40,889.4582952,,,,
79,256513890.3,36568260.48,7.01466,Ind,5,709.1149765,,,,
80,9336813595,664742776.3,14.04575,Aq,16,741.5980909,,,,
81,196426162.6,54826952.38,3.58266,Aq,58,378.6127842,,,,
82,21621252093,3493383506,6.1892,Aq,16.2,750.8923072,,,,
83,22401338076,1513512994,14.80089,Aq,18,575.7968567,,,,
84,19820684764,3284757863,6.03414,Aq,26,642.335791,,,,
85,1.45542E+12,2.93275E+11,4.96266,Ind,9,463.8763158,,,,
86,469020139.4,59421982.67,7.89304,Aq,50,317.0819262,,,,
87,542042609.2,128142317.1,4.23,Aq,41,362.9459731,,,,
88,1660391039,1483917603,1.11892,Aq,38.4,501.1580496,,,,
89,32592403092,728316202.8,44.75035,Ind,17.64705882,366.5362122,,,,
90,33622167170,9146897395,3.6758,Aq,27.3,365.2501373,,,,
91,50165584551,3870895210,12.95969,Ind,16.53992395,553.9858313,,,,
92,7515192259,1377822137,5.4544,Aq,28,593.7603109,,,,
93,1.33675E+11,15887640491,8.41376,Ind,5.5,425.4194745,,,,
