aquifer_ID,leaching_gw,drainage,nloading,gw_type,recharge
1,78105947489.1671,7750556138.95296,10.07746,Ind,7
2,45969402.8344104,2266367573.9739,0.02028,Ind,7.5
3,2340464905906.4,122375197824.461,19.12532,Ind,3
4,2239657304.57357,513700752.161622,4.35985,Ind,10
5,126391265133.723,2603989621.70046,48.53755,Ind,1
6,209069383170.749,8251746887.75393,25.33638,Ind,5
7,508475213078.616,34931115475.5807,14.55651,Ind,5
8,60331263824.7909,10708731460.8964,5.63384,Aq,29
9,29564514106.2378,2773830476.6021,10.65837,Aq,24.8
10,88518298.463743,9188656.42834108,9.63343,Aq,13.3
11,21466835906.1483,4836961015.48348,4.43808,Ind,22.3
12,332794545163.526,120956780308.749,2.75135,Ind,27
13,330932220606.342,158231758779.49,2.09144,Aq,30
14,67614351413.7666,3509504830.82352,19.26607,Ind,5
15,30131461080.7272,2979283862.07667,10.11366,Aq,31
16,95187916433.6213,3119277418.32127,30.51601,Ind,5
17,0,23386757460.7612,0,Aq,19.3
18,56588174718.7513,6178137146.19604,9.15942,Aq,14.6
19,4189508995.65165,2512938533.16008,1.66718,Aq,44.6
20,107453853857.917,12151674407.3622,8.84272,Aq,13.8
21,28059434238.7074,17807091745.7057,1.57574,Aq,11.7
22,17262335825.9071,9623599782.05834,1.79375,Ind,14.9
23,39144056545.5617,43341723352.5937,0.90315,Aq,38.3
24,49786937561.909,12758997056.1,3.9021,Aq,11.2
25,35087802378.5964,9420504374.70071,3.72462,Aq,13.9
26,12645997626.3383,4395936787.64567,2.87675,Aq,22.5
27,15629045018.9235,30786305122.4281,0.50766,Aq,20.2
28,3201680996.0561,4382468913.48998,0.73057,Aq,62
29,160393013541.417,64914767938.8303,2.47082,Aq,61
30,29155345951.3832,16341916307.8302,1.78408,Aq,26
31,7774390555.00837,944836657.043829,8.22829,Aq,31
32,89060621730.9649,32721762936.6645,2.72175,Aq,36
33,599792145797.928,27854666740.3828,21.53291,Ind,9
34,979049240918.017,92318979786.3134,10.60507,Ind,16
35,61337349702.7281,16897881635.8086,3.62988,Aq,48
36,1604930211.11155,212280466.41034,7.56042,Aq,46
37,12002008497.7347,2506199801.83964,4.78893,Aq,25
38,83665081905.8778,23907350520.5668,3.49955,Aq,48
39,983920863253.988,102267498062.407,9.62105,Ind,6.3
40,2756638614419.96,232106855383.68,11.87659,Ind,5.4
41,791988497041.467,66370990982.619,11.93275,Ind,5.2
42,1327747583700.4,139389814304.872,9.52543,Ind,5
43,223019175362.988,89733454627.5723,2.48535,Ind,23
44,1038285603285.59,82471298177.5538,12.58966,Aq,18
45,1242982337936.96,519450875714.51,2.39288,Aq,26
46,517453281673.184,139506784938.46,3.70916,Aq,33
47,17387813203.9164,2391320577.83174,7.27122,Aq,25
48,2951551506.28616,4019266815.36572,0.73435,Aq,50
49,1046726617.46239,273556439.620052,3.82636,Aq,38
50,5198004525.24719,536349928.200457,9.69144,Ind,20
51,39478082067.7478,1232982534.70103,32.01836,Aq,10.8
52,0,4361172023.63586,0,Ind,7.5
53,136318488555.982,20332590319.1437,6.70443,Ind,7.5
54,112784952663.949,24973241391.6255,4.51623,Ind,7.5
55,119357475113.473,73469884473.8192,1.62458,Aq,38
56,3703871596.26051,1047044825.56896,3.53745,Aq,15.6
57,58569626888.6082,1623431993.64349,36.07766,Ind,5
58,75528372233.2782,2957056032.373,25.54175,Ind,10
59,293034637397.62,79403276973.9017,3.69046,Aq,20
60,39613832785.37,3924369057.57942,10.09432,Ind,20
61,236426965569.051,10645680482.8154,22.20872,Ind,10
62,2377640712.0652,1581329903.06857,1.50357,Aq,50
63,24090492834.6447,4329058933.72329,5.56483,Aq,28
64,117189169374.938,14049450327.0679,8.34119,Aq,10
65,206588756650.574,43930038648.8972,4.70268,Aq,45
66,24384720260.4985,19263989515.106,1.26582,Aq,50
67,3429142117.14629,5284208005.74345,0.64894,Aq,50
68,23523408462.1717,4714971197.88498,4.98909,Aq,40
69,5831239671.38645,809588051.090921,7.20272,Aq,25
70,102494718944.824,7955119382.61039,12.88412,Aq,20
71,5514949447.11861,925926253.651902,5.95614,Aq,50
72,12943473479.9472,2007458902.3705,6.44769,Aq,25
73,13476702278.8121,1118601664.73964,12.04781,Ind,7
74,57232179632.7835,4848547606.67737,11.80398,Aq,19
75,48608533955.7121,5379415358.66003,9.03603,Aq,48.6
76,18698244922.4333,2783254033.18935,6.71812,Aq,50
77,24119511239.2943,4530285366.93553,5.32406,Aq,35
78,5938147068.80742,1307986683.98571,4.53991,Aq,40
79,871950993.473215,35163489.0651026,24.79706,Ind,5
80,33473093877.8721,1543424861.00331,21.68754,Aq,16
81,821024353.646071,202488369.968238,4.05467,Aq,58
82,46197506946.6041,4289694161.49278,10.76942,Aq,16.2
83,35413958675.7937,2765926818.88469,12.80365,Aq,18
84,43682384259.5285,5539757584.13092,7.88525,Aq,26
85,2793480026945.36,428343257398.338,6.52159,Ind,9
86,2805535733.04799,709734112.509899,3.95294,Aq,50
87,1565346404.43002,363500586.712518,4.30631,Aq,41
88,511835983.00218,5564411242.53398,0.09198,Aq,38.4
89,74363240359.3721,5184462112.17882,14.34348,Ind,17.6
90,58573585847.9956,28533126344.2447,2.05283,Aq,27.3
91,77507231012.5093,15337544582.0099,5.05343,Ind,16.5
92,13310757694.9189,1824895941.37092,7.29398,Aq,28
93,279823838631.357,43933638346.7913,6.36924,Ind,5.5
