"Muni_ID","ID","Muni","2009"
1113,"16B1113","Torres Vedras",1318050
1401,"16C1401","Abrantes",52779
1402,"16C1402","Alcanena",12528
1408,"16C1408","Constância",697
1410,"16C1410","Entroncamento",45
1411,"16C1411","Ferreira do Zêzere",1149870
1421,"16C1421","Ourém",902584
1417,"16C1417","Sardoal",4112
1418,"16C1418","Tomar",566474
1419,"16C1419","Torres Novas",188392
1420,"16C1420","Vila Nova da Barquinha",935
1115,"1711115","Amadora",0
1105,"1711105","Cascais",174
1106,"1711106","Lisboa",55
1107,"1711107","Loures",100603
1109,"1711109","Mafra",389753
1116,"1711116","Odivelas",2782
1110,"1711110","Oeiras",0
1111,"1711111","Sintra",52343
1114,"1711114","Vila Franca de Xira",14281
1502,"1721502","Alcochete",73921
1503,"1721503","Almada",3754
1504,"1721504","Barreiro",991
1506,"1721506","Moita",34377
1507,"1721507","Montijo",1538214
1508,"1721508","Palmela",587368
1510,"1721510","Seixal",785
1511,"1721511","Sesimbra",3367
1512,"1721512","Setúbal",11793
1501,"1811501","Alcácer do Sal",102158
1505,"1811505","Grândola",771574
211,"1810211","Odemira",109672
1509,"1811509","Santiago do Cacém",533327
1513,"1811513","Sines",8140
1201,"1821201","Alter do Chão",22445
1202,"1821202","Arronches",52177
1203,"1821203","Avis",58381
1204,"1821204","Campo Maior",6427
1205,"1821205","Castelo de Vide",0
1206,"1821206","Crato",79187
1207,"1821207","Elvas",139293
1208,"1821208","Fronteira",377
1209,"1821209","Gavião",5484
1210,"1821210","Marvão",0
1211,"1821211","Monforte",14123
707,"1820707","Mora",11883
1212,"1821212","Nisa",17034
1213,"1821213","Ponte de Sor",151533
1214,"1821214","Portalegre",5439
701,"1830701","Alandroal",72020
702,"1830702","Arraiolos",656810
703,"1830703","Borba",60834
704,"1830704","Estremoz",139069
705,"1830705","Évora",104871
706,"1830706","Montemor-o-Novo",1221955
708,"1830708","Mourão",33897
709,"1830709","Portel",583720
710,"1830710","Redondo",63326
711,"1830711","Reguengos de Monsaraz",47011
1215,"1831215","Sousel",37494
712,"1830712","Vendas Novas",598585
713,"1830713","Viana do Alentejo",157292
714,"1830714","Vila Viçosa",12207
201,"1840201","Aljustrel",25602
202,"1840202","Almodôvar",77283
203,"1840203","Alvito",7228
204,"1840204","Barrancos",67929
205,"1840205","Beja",128443
206,"1840206","Castro Verde",39378
207,"1840207","Cuba",282911
208,"1840208","Ferreira do Alentejo",212806
209,"1840209","Mértola",108366
210,"1840210","Moura",130726
212,"1840212","Ourique",447678
213,"1840213","Serpa",119400
214,"1840214","Vidigueira",10294
1403,"1851403","Almeirim",13784
1404,"1851404","Alpiarça",1915
1103,"1851103","Azambuja",296517
1405,"1851405","Benavente",1211258
1406,"1851406","Cartaxo",1698470
1407,"1851407","Chamusca",8238
1409,"1851409","Coruche",236865
1412,"1851412","Golegã",3652
1414,"1851414","Rio Maior",1278606
1415,"1851415","Salvaterra de Magos",169617
1416,"1851416","Santarém",1282908
801,"1500801","Albufeira",4124
802,"1500802","Alcoutim",8978
803,"1500803","Aljezur",12102
804,"1500804","Castro Marim",12448
805,"1500805","Faro",3546
806,"1500806","Lagoa",34112
807,"1500807","Lagos",10090
808,"1500808","Loulé",19131
809,"1500809","Monchique",126621
810,"1500810","Olhão",3805
811,"1500811","Portimão",32737
812,"1500812","São Brás de Alportel",4528
813,"1500813","Silves",69235
814,"1500814","Tavira",20205
815,"1500815","Vila do Bispo",3553
816,"1500816","Vila Real de Santo António",3941
