agrarian_region_id,agrarian_region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Entre Douro e Minho,1,505,505,476,410,383,397,417,417,397,407,474,491,500,500,500,502,500,500,500,501,500,500,500,0,0,0,0,0,0,0,0,0,0
Trás-os-Montes,2,733,707,717,717,692,670,667,690,689,703,702,702,653,671,910,924,916,899,799,883,1163,1203,1283,974,948,801,252,395,395,387,374,373,356
Beira Litoral,3,695,661,668,666,708,660,650,653,665,644,709,709,709,628,638,638,638,593,598,598,665,665,675,665,658,582,465,400,605,588,566,541,521
Beira Interior,4,446,429,448,448,439,440,431,437,437,431,449,449,444,346,423,422,428,436,436,434,520,523,543,539,670,599,450,482,506,492,436,488,469
Ribatejo e Oeste,5,983,946,699,753,611,1066,1068,1069,1097,1106,932,891,859,734,789,764,764,742,786,761,827,822,800,748,674,595,409,521,542,632,651,565,545
Alentejo,6,771,845,896,940,554,451,456,622,453,434,545,534,501,287,532,465,529,465,492,404,526,630,685,590,723,708,712,589,560,599,563,607,585
Algarve,7,663,654,654,653,653,638,280,638,637,592,645,1000,625,184,603,603,603,603,603,603,414,333,422,530,589,512,765,598,598,487,514,593,569
