Muni_ID,ID,Muni,ssnb
1601,1111601,Arcos de Valdevez,5.45971505175192
1602,1111602,Caminha,22.2967168310886
1603,1111603,Melgaço,6.30252696431791
1604,1111604,Monção,15.7973290444973
1605,1111605,Paredes de Coura,12.6787438793729
1606,1111606,Ponte da Barca,16.4248641152848
1607,1111607,Ponte de Lima,52.8854429156578
1608,1111608,Valença,29.2303299935116
1609,1111609,Viana do Castelo,44.9687888866597
1610,1111610,Vila Nova de Cerveira,24.7905950072873
301,1120301,Amares,61.0907583474658
302,1120302,Barcelos,34.8810188316761
303,1120303,Braga,106.142254371414
306,1120306,Esposende,104.885917561802
310,1120310,Terras de Bouro,9.70571984226954
313,1120313,Vila Verde,67.3090495560803
307,1130307,Fafe,81.2998854909691
308,1130308,Guimarães,97.0537400184465
309,1130309,Póvoa de Lanhoso,71.9955511857047
1314,1131314,Santo Tirso,73.7004541191219
1318,1131318,Trofa,32.8266338627878
311,1130311,Vieira do Minho,8.61598428807205
312,1130312,Vila Nova de Famalicão,41.6181291535829
314,1130314,Vizela,102.67191478738
107,1140107,Espinho,25.0210561592241
1304,1141304,Gondomar,67.3365647874491
1306,1141306,Maia,48.6387731248593
1308,1141308,Matosinhos,30.044166019573
1312,1141312,Porto,105.831837868656
1313,1141313,Póvoa de Varzim,142.410231355756
1315,1141315,Valongo,592.131738808559
1316,1141316,Vila do Conde,-70.7628895486064
1317,1141317,Vila Nova de Gaia,118.288679911016
1301,1151301,Amarante,41.3570049092334
1302,1151302,Baião,28.4290275958132
304,1150304,Cabeceiras de Basto,23.139616135101
106,1150106,Castelo de Paiva,83.8981550980765
305,1150305,Celorico de Basto,73.902422649352
1804,1151804,Cinfães,30.0755015195551
1303,1151303,Felgueiras,62.2848461123189
1305,1151305,Lousada,101.315976526747
1307,1151307,Marco de Canaveses,51.9799824142732
1705,1151705,Mondim de Basto,21.0696114077528
1309,1151309,Paços de Ferreira,82.4788137507687
1310,1151310,Paredes,82.6755270138044
1311,1151311,Penafiel,63.6110156191324
1813,1151813,Resende,23.9154774750933
1709,1151709,Ribeira de Pena,17.5234363010129
104,1160104,Arouca,15.9904520106309
113,1160113,Oliveira de Azeméis,-3.05026266381645
109,1160109,Santa Maria da Feira,96.9352113530053
116,1160116,São João da Madeira,
119,1160119,Vale de Cambra,30.0542384752352
1701,1171701,Alijó,10.7301752026848
1801,1171801,Armamar,15.66459774805
403,1170403,Carrazeda de Ansiães,14.7351173195954
404,1170404,Freixo de Espada à Cinta,13.1891888021091
1805,1171805,Lamego,11.0063805874074
1704,1171704,Mesão Frio,-1.83826750385739
1807,1171807,Moimenta da Beira,0.761687873549378
1812,1171812,Penedono,50.4793157986821
1708,1171708,Peso da Régua,10.9710499516339
1710,1171710,Sabrosa,28.9119264205266
1711,1171711,Santa Marta de Penaguião,11.177023074501
1815,1171815,São João da Pesqueira,17.3752884072873
1818,1171818,Sernancelhe,32.8886470093147
1819,1171819,Tabuaço,21.3334661812113
1820,1171820,Tarouca,20.3558734654186
409,1170409,Torre de Moncorvo,12.119042580643
410,1170410,Vila Flor,21.5730606810065
914,1170914,Vila Nova de Foz Côa,11.359265352232
1714,1171714,Vila Real,8.32735237252119
401,1180401,Alfândega da Fé,20.7600896897364
1702,1181702,Boticas,14.0555955317636
402,1180402,Bragança,30.6319443169249
1703,1181703,Chaves,24.9377739448878
405,1180405,Macedo de Cavaleiros,27.1954420717313
406,1180406,Miranda do Douro,7.37230574248482
407,1180407,Mirandela,24.5818700386171
408,1180408,Mogadouro,9.73416934577809
1706,1181706,Montalegre,8.28990981806257
1707,1181707,Murça,8.63154284930519
1712,1181712,Valpaços,38.3522284189581
1713,1181713,Vila Pouca de Aguiar,7.7178783124825
411,1180411,Vimioso,17.6397834008244
412,1180412,Vinhais,38.8456022604589
101,1610101,Águeda,66.9994176101893
102,1610102,Albergaria-a-Velha,55.0060773537511
103,1610103,Anadia,34.310269704352
105,1610105,Aveiro,66.6175897544461
108,1610108,Estarreja,92.4079058914181
110,1610110,Ílhavo,140.580879651598
111,1610111,Mealhada,40.903096253271
112,1610112,Murtosa,-5.56193954804106
114,1610114,Oliveira do Bairro,61.5569583062234
115,1610115,Ovar,-9.82328869732452
117,1610117,Sever do Vouga,321.102907638333
118,1610118,Vagos,34.862488768338
602,1620602,Cantanhede,16.5307317904395
603,1620603,Coimbra,92.0954026821112
604,1620604,Condeixa-a-Nova,57.572836076158
605,1620605,Figueira da Foz,69.6972056400984
608,1620608,Mira,59.9764571553427
610,1620610,Montemor-o-Velho,31.3957482449196
613,1620613,Penacova,60.4781749716864
615,1620615,Soure,180.778831165657
1004,1631004,Batalha,103.564533726784
1009,1631009,Leiria,247.475781797423
1010,1631010,Marinha Grande,69.3602591713725
1015,1631015,Pombal,92.0247057064868
1016,1631016,Porto de Mós,107.371355423794
1002,1641002,Alvaiázere,37.9850908861375
1003,1641003,Ansião,37.7571845998237
601,1640601,Arganil,54.5677083510515
1007,1641007,Castanheira de Pêra,37.8627642956213
1008,1641008,Figueiró dos Vinhos,51.1990050926452
606,1640606,Góis,73.2051899793548
607,1640607,Lousã,102.903281409233
609,1640609,Miranda do Corvo,57.7228486959944
611,1640611,Oliveira do Hospital,204.05570978856
612,1640612,Pampilhosa da Serra,37.9941375761189
1013,1641013,Pedrógão Grande,47.2367330620055
614,1640614,Penela,37.398246700786
616,1640616,Tábua,37.3951339324733
617,1640617,Vila Nova de Poiares,56.0148177029564
901,1650901,Aguiar da Beira,58.5362339168238
1802,1651802,Carregal do Sal,40.106355290814
1803,1651803,Castro Daire,28.7437000467486
1806,1651806,Mangualde,41.2469338946422
1808,1651808,Mortágua,225.018573703721
1809,1651809,Nelas,30.4559022780515
1810,1651810,Oliveira de Frades,283.699160467783
1811,1651811,Penalva do Castelo,34.6288452548136
1814,1651814,Santa Comba Dão,148.161144367502
1816,1651816,São Pedro do Sul,72.3014858959344
1817,1651817,Sátão,56.678188870823
1821,1651821,Tondela,99.7528006818239
1822,1651822,Vila Nova de Paiva,105.249484559187
1823,1651823,Viseu,41.2873415838959
1824,1651824,Vouzela,151.340877124149
1413,1661413,Mação,23.5922013935333
506,1660506,Oleiros,57.7809116636418
508,1660508,Proença-a-Nova,26.8765806133514
509,1660509,Sertã,36.625058964531
510,1660510,Vila de Rei,33.8601050545666
905,1670905,Fornos de Algodres,35.2158022227438
906,1670906,Gouveia,20.1999663740641
912,1670912,Seia,25.4861148597863
902,1680902,Almeida,3.52871144646653
903,1680903,Celorico da Beira,11.2765799553733
904,1680904,Figueira de Castelo Rodrigo,14.7522596353749
907,1680907,Guarda,7.21349226264927
908,1680908,Manteigas,10.7948509313543
909,1680909,Mêda,20.2713060135966
910,1680910,Pinhel,7.95668356911454
911,1680911,Sabugal,3.14366169063607
913,1680913,Trancoso,21.5313774402785
502,1690502,Castelo Branco,10.9284276995405
505,1690505,Idanha-a-Nova,9.22672672530805
507,1690507,Penamacor,16.5229272413407
511,1690511,Vila Velha de Ródão,19.5433551718458
501,16A0501,Belmonte,19.8487630055941
503,16A0503,Covilhã,15.3398485856086
504,16A0504,Fundão,22.066647285285
1001,16B1001,Alcobaça,57.6600136189327
1101,16B1101,Alenquer,38.1673255960976
1102,16B1102,Arruda dos Vinhos,24.5161858794537
1005,16B1005,Bombarral,52.6225192559209
1104,16B1104,Cadaval,38.2108384942751
1006,16B1006,Caldas da Rainha,75.8891086010278
1108,16B1108,Lourinhã,125.647427042503
1011,16B1011,Nazaré,41.6853077809932
1012,16B1012,Óbidos,80.076777707521
1014,16B1014,Peniche,82.8143515158881
1112,16B1112,Sobral de Monte Agraço,15.1839564904661
1113,16B1113,Torres Vedras,38.7902551542503
1401,16C1401,Abrantes,23.8146799749017
1402,16C1402,Alcanena,26.9714659836399
1408,16C1408,Constância,73.1394535982138
1410,16C1410,Entroncamento,84.8912802037936
1411,16C1411,Ferreira do Zêzere,199.259160428149
1421,16C1421,Ourém,117.130883592375
1417,16C1417,Sardoal,33.5287685611677
1418,16C1418,Tomar,36.9302854119122
1419,16C1419,Torres Novas,35.2722500732203
1420,16C1420,Vila Nova da Barquinha,93.2736908885418
1115,1711115,Amadora,1.59887153361272
1105,1711105,Cascais,49.952696055383
1106,1711106,Lisboa,167.442135731834
1107,1711107,Loures,43.0317897405831
1109,1711109,Mafra,53.258824732013
1116,1711116,Odivelas,-10.3289042348689
1110,1711110,Oeiras,91.1565600545691
1111,1711111,Sintra,27.9717633214367
1114,1711114,Vila Franca de Xira,68.58524296976
1502,1721502,Alcochete,21.1117965486213
1503,1721503,Almada,190.171217874909
1504,1721504,Barreiro,8.98138763524819
1506,1721506,Moita,-73.460276903683
1507,1721507,Montijo,19.5180217404456
