Muni_ID,ID,Muni,dairy,other_cattle,poultry,horses,sheep,goat,pigs,graz_tot
1601,1111601,Arcos de Valdevez,0,0.451737200995779,0.000189414438792077,0.0286892520835588,0.0295307933759065,0.00278276869791103,0.000111483926831908,0.513040913518779
1602,1111602,Caminha,0,0.0966038882138518,0.0012636695018226,0.00727217496962333,0.0393469015795869,0.00127278250303767,0.000270352369380316,0.146029769137303
1603,1111603,Melgaço,0,0.0700493358633776,6.83111954459203e-05,0.0130689437065149,0.0200411132194813,0.00111448450347881,8.22264389626819e-05,0.104424414927261
1604,1111604,Monção,0,0.323046610792531,0.000817526834289075,0.0271195412439347,0.104319952948096,0.00104837523893545,0.000329363328922217,0.456681370386708
1605,1111605,Paredes de Coura,0,0.587475310205115,0.000202582932387946,0.0258040010129147,0.108627500633072,0.0020688781970119,0.000374778424917701,0.724553051405419
1606,1111606,Ponte da Barca,0,0.530005221932115,0.000386422976501305,0.0410339425587467,0.0216057441253264,0.0047911227154047,0.000240208877284595,0.598062663185379
1607,1111607,Ponte de Lima,0,0.411164894820176,0.00105179823569328,0.0103913141823117,0.051530196788057,0.00471725853879213,0.000601673829450351,0.479457136394481
1608,1111608,Valença,0,0.240949619427329,0.00136281261326568,0.0294092062341428,0.0804059441826749,0.00219282348677057,0.00145704965567235,0.355777455599855
1609,1111609,Viana do Castelo,0,0.334782977520147,0.011262547716669,0.0250077760497667,0.0250699844479005,0.00160752156086526,0.000620670154107168,0.398351477449456
1610,1111610,Vila Nova de Cerveira,0,0.179810633648944,0.000699198834668609,0.0458849235251275,0.0830735615440641,0.00530954115076475,0.000320466132556446,0.315098324836125
301,1120301,Amares,0,0.62201244813278,0.00131742738589212,0.0189834024896266,0.0481690871369295,0.00337655601659751,0.0153112033195021,0.709170124481328
302,1120302,Barcelos,0,1.09231861629495,0.0021866181156122,0.00672917614929449,0.0142421483841602,0.00118525261720528,0.000440600819299044,1.11710241238052
303,1120303,Braga,0,1.10630523177013,0.00122526429926809,0.0119761452968284,0.0321143941447547,0.00092436974789916,0.000845757657901871,1.15339116291678
306,1120306,Esposende,0,0.659990503323837,0.00169040835707502,0.00484330484330484,0.0126020892687559,0.00105413105413105,0.000650522317188984,0.680830959164293
310,1120310,Terras de Bouro,0,0.239009725906278,0.000156203949307398,0.0199705275567345,0.0051237842617153,0.00297082228116711,0.000181255526083112,0.267412319481285
313,1120313,Vila Verde,0,0.767315830721003,0.00161050156739812,0.0192398119122257,0.0754094827586207,0.0104192789968652,0.000948275862068965,0.874943181818182
307,1130307,Fafe,0,0.818697520661157,0.000628099173553719,0.0132099173553719,0.0724628099173554,0.00213553719008265,0.00110082644628099,0.908234710743802
308,1130308,Guimarães,0,0.71616100511866,0.0109911586784551,0.0207631456491391,0.0151279664960447,0.000504885993485342,0.000758492322010237,0.764306654257794
309,1130309,Póvoa de Lanhoso,0,0.89560255779636,0.00303000491883915,0.0176586325627152,0.0547466797835711,0.00304968027545499,0.00229709788489916,0.97638465322184
1314,1131314,Santo Tirso,0,0.480579576816927,0.00179392824287029,0.00914443422263109,0.0493422263109476,0.00171113155473781,0.00224011039558418,0.544811407543698
1318,1131318,Trofa,0,0.87422860712055,0.0599875078076202,0.00682073703935041,0.0170455965021861,0.000905683947532792,0.000674578388507183,0.959662710805746
311,1130311,Vieira do Minho,0,0.493284893545117,0.000300777289624873,0.0412504224400135,0.0362960459614735,0.00114396755660696,0.000349780331192971,0.572625887124028
312,1130312,Vila Nova de Famalicão,0,0.841689506288718,0.00195982729491271,0.0107039609536324,0.0102703210061949,0.00178524497841186,0.00725173643701896,0.873660596958889
314,1130314,Vizela,0,0.366761229314421,0.00137115839243499,0.00747044917257683,0.0133806146572104,0.000236406619385343,0.000567375886524823,0.389787234042553
107,1140107,Espinho,0,0.965142857142857,0.00114285714285714,0,0.0197142857142857,0.000714285714285714,0.00114285714285714,0.987857142857143
