Muni_ID,ID,Muni,m_app99_nha
606,1640606,Góis,1.394941176
607,1640607,Lousã,1.112731707
609,1640609,Miranda do Corvo,0.173878437
611,1640611,Oliveira do Hospital,1.930871174
612,1640612,Pampilhosa da Serra,0.204230769
1013,1641013,Pedrógão Grande,0.154692623
614,1640614,Penela,0.146472149
616,1640616,Tábua,0.165995316
617,1640617,Vila Nova de Poiares,0.252298851
901,1650901,Aguiar da Beira,0.774101367
1802,1651802,Carregal do Sal,0.57087296
1803,1651803,Castro Daire,0.516316472
1806,1651806,Mangualde,0.202520628
1808,1651808,Mortágua,2.601368421
1809,1651809,Nelas,0.324499819
1810,1651810,Oliveira de Frades,3.682155809
1811,1651811,Penalva do Castelo,0.147612403
1814,1651814,Santa Comba Dão,1.598425325
1816,1651816,São Pedro do Sul,1.08433439
1817,1651817,Sátão,0.930641072
1821,1651821,Tondela,1.237069912
1822,1651822,Vila Nova de Paiva,1.31917603
1823,1651823,Viseu,0.331860305
1824,1651824,Vouzela,1.90697225
1413,1661413,Mação,0.170618047
506,1660506,Oleiros,0.60131601
508,1660508,Proença-a-Nova,0.106678049
509,1660509,Sertã,0.491542834
510,1660510,Vila de Rei,0.428147059
905,1670905,Fornos de Algodres,0.13999647
906,1670906,Gouveia,0.096896811
912,1670912,Seia,0.092898417
902,1680902,Almeida,0.079457208
903,1680903,Celorico da Beira,0.057920269
904,1680904,Figueira de Castelo Rodrigo,0.031712274
907,1680907,Guarda,0.090554343
908,1680908,Manteigas,0.177291667
909,1680909,Mêda,0
910,1680910,Pinhel,0.067418484
911,1680911,Sabugal,0.052052513
913,1680913,Trancoso,0.096436854
502,1690502,Castelo Branco,0.041909782
505,1690505,Idanha-a-Nova,0.03896689
507,1690507,Penamacor,0.060287913
511,1690511,Vila Velha de Ródão,0.05686271
501,16A0501,Belmonte,0.07692821
503,16A0503,Covilhã,0.128901038
504,16A0504,Fundão,0.078515501
1001,16B1001,Alcobaça,1.018516446
1101,16B1101,Alenquer,0.170717878
1102,16B1102,Arruda dos Vinhos,0.213661222
1005,16B1005,Bombarral,0.600703162
1104,16B1104,Cadaval,0.33109375
1006,16B1006,Caldas da Rainha,0.773616792
1108,16B1108,Lourinhã,1.400877815
1011,16B1011,Nazaré,0.606939426
1012,16B1012,Óbidos,0.47992
1014,16B1014,Peniche,0.300944559
1112,16B1112,Sobral de Monte Agraço,0.4438038
1113,16B1113,Torres Vedras,0.448622445
1401,16C1401,Abrantes,0.037217189
1402,16C1402,Alcanena,0.119596167
1408,16C1408,Constância,0.011546763
1410,16C1410,Entroncamento,0.021409002
1411,16C1411,Ferreira do Zêzere,2.117534247
1421,16C1421,Ourém,1.466645862
1417,16C1417,Sardoal,0.062557604
1418,16C1418,Tomar,0.521761229
1419,16C1419,Torres Novas,0.12410671
1420,16C1420,Vila Nova da Barquinha,0.032106538
1115,1711115,Amadora,0.021311475
1105,1711105,Cascais,0.03464135
1106,1711106,Lisboa,0.006206897
1107,1711107,Loures,0.275566962
1109,1711109,Mafra,0.271768253
1116,1711116,Odivelas,0.080084211
1110,1711110,Oeiras,0.004
1111,1711111,Sintra,0.138523412
