Muni_ID,ID,Muni,fertiliser
1601,1111601,Arcos de Valdevez,0.059
1602,1111602,Caminha,0
1603,1111603,Melgaço,0.002
1604,1111604,Monção,0.149
1605,1111605,Paredes de Coura,0.093
1606,1111606,Ponte da Barca,0.006
1607,1111607,Ponte de Lima,0.577
1608,1111608,Valença,0.338
1609,1111609,Viana do Castelo,0.437
1610,1111610,Vila Nova de Cerveira,0.354
301,1120301,Amares,0.027
302,1120302,Barcelos,1.45
303,1120303,Braga,1.494
306,1120306,Esposende,1.495
310,1120310,Terras de Bouro,0.029
313,1120313,Vila Verde,0.879
307,1130307,Fafe,0.068
308,1130308,Guimarães,1.133
309,1130309,Póvoa de Lanhoso,0.981
1314,1131314,Santo Tirso,0.922
1318,1131318,Trofa,1.162
311,1130311,Vieira do Minho,0.13
312,1130312,Vila Nova de Famalicão,1.22
314,1130314,Vizela,1.538
107,1140107,Espinho,0.109
1304,1141304,Gondomar,0.886
1306,1141306,Maia,1.356
1308,1141308,Matosinhos,1.485
1312,1141312,Porto,1.356
1313,1141313,Póvoa de Varzim,1.244
1315,1141315,Valongo,0.06
1316,1141316,Vila do Conde,1.402
1317,1141317,Vila Nova de Gaia,0.325
1301,1151301,Amarante,0.534
1302,1151302,Baião,0.353
304,1150304,Cabeceiras de Basto,0.212
106,1150106,Castelo de Paiva,1.094
305,1150305,Celorico de Basto,1.023
1804,1151804,Cinfães,0.463
1303,1151303,Felgueiras,0.746
1305,1151305,Lousada,1.381
1307,1151307,Marco de Canaveses,0.727
1705,1151705,Mondim de Basto,0.255
1309,1151309,Paços de Ferreira,1.23
1310,1151310,Paredes,1.148
1311,1151311,Penafiel,1.018
1813,1151813,Resende,0.339
1709,1151709,Ribeira de Pena,0.224
104,1160104,Arouca,0.537
113,1160113,Oliveira de Azeméis,1.177
109,1160109,Santa Maria da Feira,1.517
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0.367
1701,1171701,Alijó,0.168
1801,1171801,Armamar,0.231
403,1170403,Carrazeda de Ansiães,0.243
404,1170404,Freixo de Espada à Cinta,0.235
1805,1171805,Lamego,0.15
1704,1171704,Mesão Frio,0.005
1807,1171807,Moimenta da Beira,0.07
1812,1171812,Penedono,0.626
1708,1171708,Peso da Régua,0.147
1710,1171710,Sabrosa,0.003
1711,1171711,Santa Marta de Penaguião,0.153
1815,1171815,São João da Pesqueira,0.255
1818,1171818,Sernancelhe,0.22
1819,1171819,Tabuaço,0.309
1820,1171820,Tarouca,0.002
409,1170409,Torre de Moncorvo,0.164
410,1170410,Vila Flor,0.327
914,1170914,Vila Nova de Foz Côa,0.212
1714,1171714,Vila Real,0.018
401,1180401,Alfândega da Fé,0.331
1702,1181702,Boticas,0.066
402,1180402,Bragança,0.375
1703,1181703,Chaves,0.242
405,1180405,Macedo de Cavaleiros,0.323
406,1180406,Miranda do Douro,0.116
407,1180407,Mirandela,0.277
408,1180408,Mogadouro,0.209
1706,1181706,Montalegre,0.052
1707,1181707,Murça,0.109
1712,1181712,Valpaços,0.49
1713,1181713,Vila Pouca de Aguiar,0.092
411,1180411,Vimioso,0.252
412,1180412,Vinhais,0.494
101,1610101,Águeda,0.303
102,1610102,Albergaria-a-Velha,0.009
103,1610103,Anadia,0.162
105,1610105,Aveiro,1.066
108,1610108,Estarreja,0.558
110,1610110,Ílhavo,0.095
111,1610111,Mealhada,0.03
112,1610112,Murtosa,0.653
114,1610114,Oliveira do Bairro,0.62
115,1610115,Ovar,0.037
117,1610117,Sever do Vouga,0.015
118,1610118,Vagos,0.714
602,1620602,Cantanhede,0.303
603,1620603,Coimbra,1.14
604,1620604,Condeixa-a-Nova,0.696
605,1620605,Figueira da Foz,0.745
608,1620608,Mira,0.173
610,1620610,Montemor-o-Velho,1.103
613,1620613,Penacova,0.609
615,1620615,Soure,0.047
1004,1631004,Batalha,0.063
1009,1631009,Leiria,0.098
1010,1631010,Marinha Grande,0.887
1015,1631015,Pombal,0.044
1016,1631016,Porto de Mós,0.012
1002,1641002,Alvaiázere,0.244
1003,1641003,Ansião,0.158
601,1640601,Arganil,0.393
1007,1641007,Castanheira de Pêra,0.368
1008,1641008,Figueiró dos Vinhos,0.511
606,1640606,Góis,0.01
607,1640607,Lousã,0.046
609,1640609,Miranda do Corvo,0.448
611,1640611,Oliveira do Hospital,0.002
612,1640612,Pampilhosa da Serra,0.408
1013,1641013,Pedrógão Grande,0.594
614,1640614,Penela,0.432
616,1640616,Tábua,0.456
617,1640617,Vila Nova de Poiares,0.563
901,1650901,Aguiar da Beira,0.13
1802,1651802,Carregal do Sal,0.007
1803,1651803,Castro Daire,0.132
1806,1651806,Mangualde,0.457
1808,1651808,Mortágua,0.018
1809,1651809,Nelas,0.097
1810,1651810,Oliveira de Frades,0.005
1811,1651811,Penalva do Castelo,0.476
1814,1651814,Santa Comba Dão,0.02
1816,1651816,São Pedro do Sul,0.018
1817,1651817,Sátão,0.009
1821,1651821,Tondela,0.02
1822,1651822,Vila Nova de Paiva,0.004
1823,1651823,Viseu,0.391
1824,1651824,Vouzela,0.007
1413,1661413,Mação,0.276
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,0.332
509,1660509,Sertã,0.122
510,1660510,Vila de Rei,0.055
905,1670905,Fornos de Algodres,0.42
906,1670906,Gouveia,0.116
912,1670912,Seia,0.253
902,1680902,Almeida,0.034
903,1680903,Celorico da Beira,0.169
904,1680904,Figueira de Castelo Rodrigo,0.185
907,1680907,Guarda,0.075
908,1680908,Manteigas,0.127
909,1680909,Mêda,0.312
910,1680910,Pinhel,0.119
911,1680911,Sabugal,0.048
913,1680913,Trancoso,0.295
502,1690502,Castelo Branco,0.125
505,1690505,Idanha-a-Nova,0.121
507,1690507,Penamacor,0.238
511,1690511,Vila Velha de Ródão,0.276
501,16A0501,Belmonte,0.284
503,16A0503,Covilhã,0.275
504,16A0504,Fundão,0.282
1001,16B1001,Alcobaça,0.084
1101,16B1101,Alenquer,0.424
1102,16B1102,Arruda dos Vinhos,0.304
1005,16B1005,Bombarral,0.115
1104,16B1104,Cadaval,0.312
1006,16B1006,Caldas da Rainha,0.082
1108,16B1108,Lourinhã,0.541
1011,16B1011,Nazaré,0.788
1012,16B1012,Óbidos,0.317
1014,16B1014,Peniche,1.163
1112,16B1112,Sobral de Monte Agraço,0.379
1113,16B1113,Torres Vedras,0.333
1401,16C1401,Abrantes,0.406
1402,16C1402,Alcanena,0.391
1408,16C1408,Constância,1.636
1410,16C1410,Entroncamento,0.992
1411,16C1411,Ferreira do Zêzere,0.008
1421,16C1421,Ourém,0.007
1417,16C1417,Sardoal,0.484
1418,16C1418,Tomar,0.138
1419,16C1419,Torres Novas,0.542
1420,16C1420,Vila Nova da Barquinha,0.857
1115,1711115,Amadora,0.093
1105,1711105,Cascais,0.537
1106,1711106,Lisboa,0.962
1107,1711107,Loures,0.416
1109,1711109,Mafra,0.49
1116,1711116,Odivelas,0.02
1110,1711110,Oeiras,0.658
1111,1711111,Sintra,0.647
1114,1711114,Vila Franca de Xira,1.21
1502,1721502,Alcochete,0.332
1503,1721503,Almada,0.953
1504,1721504,Barreiro,0.291
1506,1721506,Moita,0.165
1507,1721507,Montijo,0.086
1508,1721508,Palmela,0.215
1510,1721510,Seixal,0.046
1511,1721511,Sesimbra,0.071
1512,1721512,Setúbal,0.184
1501,1811501,Alcácer do Sal,0.172
1505,1811505,Grândola,0.036
211,1810211,Odemira,0.216
1509,1811509,Santiago do Cacém,0.205
1513,1811513,Sines,0.184
1201,1821201,Alter do Chão,0.105
1202,1821202,Arronches,0.154
1203,1821203,Avis,0.199
1204,1821204,Campo Maior,0.434
1205,1821205,Castelo de Vide,0.172
1206,1821206,Crato,0.058
1207,1821207,Elvas,0.263
1208,1821208,Fronteira,0.287
1209,1821209,Gavião,0.043
1210,1821210,Marvão,0.152
1211,1821211,Monforte,0.135
707,1820707,Mora,0.13
1212,1821212,Nisa,0.094
1213,1821213,Ponte de Sor,0.095
1214,1821214,Portalegre,0.085
701,1830701,Alandroal,0.154
702,1830702,Arraiolos,0.116
703,1830703,Borba,0.273
704,1830704,Estremoz,0.211
705,1830705,Évora,0.191
706,1830706,Montemor-o-Novo,0.086
708,1830708,Mourão,0.04
709,1830709,Portel,0.079
710,1830710,Redondo,0.176
711,1830711,Reguengos de Monsaraz,0.219
1215,1831215,Sousel,0.326
712,1830712,Vendas Novas,0.012
713,1830713,Viana do Alentejo,0.113
714,1830714,Vila Viçosa,0.144
201,1840201,Aljustrel,0.462
202,1840202,Almodôvar,0.093
203,1840203,Alvito,0.102
204,1840204,Barrancos,0.008
205,1840205,Beja,0.458
206,1840206,Castro Verde,0.208
207,1840207,Cuba,0.248
208,1840208,Ferreira do Alentejo,0.438
209,1840209,Mértola,0.089
210,1840210,Moura,0.254
212,1840212,Ourique,0.125
213,1840213,Serpa,0.325
214,1840214,Vidigueira,0.376
1403,1851403,Almeirim,0.939
1404,1851404,Alpiarça,1.208
1103,1851103,Azambuja,0.558
1405,1851405,Benavente,0.398
1406,1851406,Cartaxo,0.591
1407,1851407,Chamusca,0.393
1409,1851409,Coruche,0.31
1412,1851412,Golegã,2.415
1414,1851414,Rio Maior,0.075
1415,1851415,Salvaterra de Magos,1.006
1416,1851416,Santarém,0.523
801,1500801,Albufeira,0.776
802,1500802,Alcoutim,0.253
803,1500803,Aljezur,0.246
804,1500804,Castro Marim,0.437
805,1500805,Faro,1.132
806,1500806,Lagoa,0.178
807,1500807,Lagos,0.363
808,1500808,Loulé,0.699
809,1500809,Monchique,0.133
810,1500810,Olhão,1.161
811,1500811,Portimão,0.488
812,1500812,São Brás de Alportel,0.334
813,1500813,Silves,0.879
814,1500814,Tavira,0.686
815,1500815,Vila do Bispo,0.135
816,1500816,Vila Real de Santo António,0.37
