"Muni_ID","ID","Muni","avg_atmN_muni"
1601,"1111601","Arcos de Valdevez",5.32
1602,"1111602","Caminha",6.51
1603,"1111603","Melgaço",5.77
1604,"1111604","Monção",6.3
1605,"1111605","Paredes de Coura",6.65
1606,"1111606","Ponte da Barca",5.04
1607,"1111607","Ponte de Lima",6.71
1608,"1111608","Valença",5.82
1609,"1111609","Viana do Castelo",4.96
1610,"1111610","Vila Nova de Cerveira",6.03
301,"1120301","Amares",4.78
302,"1120302","Barcelos",6.67
303,"1120303","Braga",4.45
306,"1120306","Esposende",5.73
310,"1120310","Terras de Bouro",5.66
313,"1120313","Vila Verde",4.94
307,"1130307","Fafe",5.73
308,"1130308","Guimarães",6.73
309,"1130309","Póvoa de Lanhoso",4.6
1314,"1131314","Santo Tirso",6.48
1318,"1131318","Trofa",4.47
311,"1130311","Vieira do Minho",4.85
312,"1130312","Vila Nova de Famalicão",4.76
314,"1130314","Vizela",5.4
107,"1140107","Espinho",3.98
1304,"1141304","Gondomar",4.59
1306,"1141306","Maia",4.38
1308,"1141308","Matosinhos",4.66
1312,"1141312","Porto",4.35
1313,"1141313","Póvoa de Varzim",4.97
1315,"1141315","Valongo",5.51
1316,"1141316","Vila do Conde",5.27
1317,"1141317","Vila Nova de Gaia",4.38
1301,"1151301","Amarante",4.4
1302,"1151302","Baião",6.9
304,"1150304","Cabeceiras de Basto",5.66
106,"1150106","Castelo de Paiva",6.85
305,"1150305","Celorico de Basto",6.79
1804,"1151804","Cinfães",6.82
1303,"1151303","Felgueiras",5.06
1305,"1151305","Lousada",7.02
1307,"1151307","Marco de Canaveses",7.04
1705,"1151705","Mondim de Basto",7.05
1309,"1151309","Paços de Ferreira",6.91
1310,"1151310","Paredes",6.89
1311,"1151311","Penafiel",6.36
1813,"1151813","Resende",6.58
1709,"1151709","Ribeira de Pena",6.95
104,"1160104","Arouca",5.45
113,"1160113","Oliveira de Azeméis",5.74
109,"1160109","Santa Maria da Feira",5.99
116,"1160116","São João da Madeira",5.65
119,"1160119","Vale de Cambra",5.39
1701,"1171701","Alijó",5.19
1801,"1171801","Armamar",5.63
403,"1170403","Carrazeda de Ansiães",5.06
404,"1170404","Freixo de Espada à Cinta",5.7
1805,"1171805","Lamego",5.76
1704,"1171704","Mesão Frio",5.27
1807,"1171807","Moimenta da Beira",5.99
1812,"1171812","Penedono",5.56
1708,"1171708","Peso da Régua",5.78
1710,"1171710","Sabrosa",6.05
1711,"1171711","Santa Marta de Penaguião",5.91
1815,"1171815","São João da Pesqueira",6.59
1818,"1171818","Sernancelhe",5.49
1819,"1171819","Tabuaço",6.27
1820,"1171820","Tarouca",6.86
409,"1170409","Torre de Moncorvo",6.91
410,"1170410","Vila Flor",5.88
914,"1170914","Vila Nova de Foz Côa",6.91
1714,"1171714","Vila Real",5.56
401,"1180401","Alfândega da Fé",6.77
1702,"1181702","Boticas",6.62
402,"1180402","Bragança",4.82
1703,"1181703","Chaves",7.02
405,"1180405","Macedo de Cavaleiros",6.97
406,"1180406","Miranda do Douro",4.04
407,"1180407","Mirandela",6.94
408,"1180408","Mogadouro",5.85
1706,"1181706","Montalegre",6.63
1707,"1181707","Murça",6.92
1712,"1181712","Valpaços",6.86
1713,"1181713","Vila Pouca de Aguiar",6.87
411,"1180411","Vimioso",6.31
412,"1180412","Vinhais",6.81
101,"1610101","Águeda",6.93
102,"1610102","Albergaria-a-Velha",4.44
103,"1610103","Anadia",5.73
105,"1610105","Aveiro",4.83
108,"1610108","Estarreja",5.07
110,"1610110","Ílhavo",5.13
111,"1610111","Mealhada",6.47
112,"1610112","Murtosa",6.26
114,"1610114","Oliveira do Bairro",4.71
115,"1610115","Ovar",4.56
117,"1610117","Sever do Vouga",5.01
118,"1610118","Vagos",4.6
602,"1620602","Cantanhede",6.98
603,"1620603","Coimbra",5.45
604,"1620604","Condeixa-a-Nova",4.59
605,"1620605","Figueira da Foz",4.32
608,"1620608","Mira",4.49
610,"1620610","Montemor-o-Velho",3.2
613,"1620613","Penacova",4.39
615,"1620615","Soure",4.09
1004,"1631004","Batalha",4.1
1009,"1631009","Leiria",2.5
1010,"1631010","Marinha Grande",4.45
1015,"1631015","Pombal",5.04
1016,"1631016","Porto de Mós",3.67
1002,"1641002","Alvaiázere",4.37
1003,"1641003","Ansião",4.24
601,"1640601","Arganil",5.17
1007,"1641007","Castanheira de Pêra",3.99
1008,"1641008","Figueiró dos Vinhos",1.23
606,"1640606","Góis",4
607,"1640607","Lousã",6.39
609,"1640609","Miranda do Corvo",5.28
611,"1640611","Oliveira do Hospital",5.81
612,"1640612","Pampilhosa da Serra",5.59
1013,"1641013","Pedrógão Grande",6.16
614,"1640614","Penela",6.27
616,"1640616","Tábua",5.47
617,"1640617","Vila Nova de Poiares",6.01
901,"1650901","Aguiar da Beira",5.88
1802,"1651802","Carregal do Sal",5.21
1803,"1651803","Castro Daire",5.46
1806,"1651806","Mangualde",6.48
1808,"1651808","Mortágua",5.91
1809,"1651809","Nelas",5.84
1810,"1651810","Oliveira de Frades",6.15
1811,"1651811","Penalva do Castelo",7
1814,"1651814","Santa Comba Dão",6.95
1816,"1651816","São Pedro do Sul",6.57
1817,"1651817","Sátão",5.4
1821,"1651821","Tondela",5.61
1822,"1651822","Vila Nova de Paiva",6.96
1823,"1651823","Viseu",6.98
1824,"1651824","Vouzela",6.35
1413,"1661413","Mação",5.73
506,"1660506","Oleiros",5.88
508,"1660508","Proença-a-Nova",4.98
509,"1660509","Sertã",6.93
510,"1660510","Vila de Rei",3.84
905,"1670905","Fornos de Algodres",6.62
906,"1670906","Gouveia",6.54
912,"1670912","Seia",5.83
902,"1680902","Almeida",5.83
903,"1680903","Celorico da Beira",6.14
