"Muni_ID","ID","Muni","Broilers","Ducks","Geese","Laying_hens","Rep_hens","Turkeys"
1601,"1111601","Arcos de Valdevez",53.69616,4.49694,2.28158,66.6582,12.37348,3.8311
1602,"1111602","Caminha",63.82656,2.23342,0.50568,19.75792,3.66744,1.3286
1603,"1111603","Melgaço",16.632,2.29964,0.2709,25.6473,4.75776,0.3731
1604,"1111604","Monção",85.19616,7.8862,0.74046,37.67386,6.98796,8.6268
1605,"1111605","Paredes de Coura",12.38832,2.44412,0.19264,32.2966,5.99676,1.274
1606,"1111606","Ponte da Barca",22.7304,1.16788,0.50568,25.76294,4.78254,0.3458
1607,"1111607","Ponte de Lima",142.47072,10.52898,2.14312,98.83916,18.34546,7.4529
1608,"1111608","Valença",57.52656,3.55782,0.30702,98.17836,18.22156,3.094
1609,"1111609","Viana do Castelo",1219.49856,9.40324,1.5652,53.92128,10.01112,5.8695
1610,"1111610","Vila Nova de Cerveira",14.54544,1.66754,0.26488,8.35086,1.54462,0.5642
301,"1120301","Amares",38.84832,2.31168,0.5719,1568.38402,291.14848,1.5561
302,"1120302","Barcelos",367.82928,8.1571,1.5652,107.23132,19.9066,14.0413
303,"1120303","Braga",69.21936,4.61132,1.52306,53.69826,9.96982,2.0293
306,"1120306","Esposende",54.36144,4.13574,1.31236,30.65286,5.69114,5.7967
310,"1120310","Terras de Bouro",16.31952,0.52374,0.47558,11.58878,2.1476,0.1547
313,"1120313","Vila Verde",125.6976,3.05816,1.2943,88.52242,16.42914,1.8837
307,"1130307","Fafe",29.09088,1.24614,0.58996,56.4158,10.47368,2.4479
308,"1130308","Guimarães",723.05856,2.96184,0.70434,865.13588,160.59918,2.5389
309,"1130309","Póvoa de Lanhoso",94.31856,1.05952,0.62006,21.36036,3.9648,1.0829
1314,"1131314","Santo Tirso",59.56272,1.46286,0,31.04108,5.75722,1.729
1318,"1131318","Trofa",1470.13776,1.28226,0.30702,8.70604,1.61896,1.9474
311,"1130311","Vieira do Minho",27.1152,1.13778,0.77658,21.3521,3.9648,0.728
312,"1130312","Vila Nova de Famalicão",159.87888,3.63608,0.95116,40.061,7.434,4.1678
314,"1130314","Vizela",8.7696,0.2107,0,5.0386,0.93338,0.1274
107,"1140107","Espinho",1.30032,0,0,0.11564,0.01652,0
1304,"1141304","Gondomar",12.51936,0.71036,0.14448,22.302,4.13826,0.5642
1306,"1141306","Maia",188.15328,0.62608,0.10234,13.9594,2.58538,0.3549
1308,"1141308","Matosinhos",8.89056,0.77056,0.19866,11.09318,2.05674,0
1312,"1141312","Porto",0.96768,0.03612,0,0.83426,0.15694,0
1313,"1141313","Póvoa de Varzim",32.87088,1.1739,0.90902,103.89428,19.2871,0.5096
1315,"1141315","Valongo",7.7112,0.25886,0.0301,231.70126,43.00982,0
1316,"1141316","Vila do Conde",84.93408,2.23342,0.48762,89.42276,16.6026,2.3933
1317,"1141317","Vila Nova de Gaia",18.02304,0.62006,0.16856,11.01058,2.04022,0.2457
1301,"1151301","Amarante",73.90656,1.7157,2.3177,27.91054,5.17902,1.6016
1302,"1151302","Baião",32.44752,0.73444,0.33712,27.86924,5.17076,1.0465
304,"1150304","Cabeceiras de Basto",302.73264,1.46888,0.49364,22.33504,4.14652,1.456
106,"1150106","Castelo de Paiva",25.704,0.58996,0.07826,17.0982,3.17184,0.3185
305,"1150305","Celorico de Basto",234.0576,1.16186,0.90902,39.235,7.27706,0.5096
1804,"1151804","Cinfães",24.0912,0.85484,0.25284,26.86152,4.98904,0.1001
1303,"1151303","Felgueiras",54.5832,1.60132,0.60802,221.2854,41.07698,1.3468
1305,"1151305","Lousada",84.83328,1.21604,0.1806,21.92204,4.07218,2.0111
1307,"1151307","Marco de Canaveses",30.91536,0.73444,0.4515,30.54548,5.66636,0.3185
1705,"1151705","Mondim de Basto",23.55696,0.76454,0.33712,15.47098,2.86622,0.3913
1309,"1151309","Paços de Ferreira",63.24192,0.9632,1.36654,13.29034,2.46974,1.8837
