"","Muni_ID","ID","Muni","2009"
"159",505,"1690505","Idanha-a-Nova",34
"160",507,"1690507","Penamacor",7
"161",511,"1690511","Vila Velha de Ródão",5
"162",501,"16A0501","Belmonte",14
"163",503,"16A0503","Covilhã",51
"164",504,"16A0504","Fundão",119
"165",1001,"16B1001","Alcobaça",77
"166",1101,"16B1101","Alenquer",219
"167",1102,"16B1102","Arruda dos Vinhos",54
"168",1005,"16B1005","Bombarral",135
"169",1104,"16B1104","Cadaval",41
"170",1006,"16B1006","Caldas da Rainha",28
"171",1108,"16B1108","Lourinhã",22
"172",1011,"16B1011","Nazaré",1
"173",1012,"16B1012","Óbidos",88
"174",1014,"16B1014","Peniche",2
"175",1112,"16B1112","Sobral de Monte Agraço",5
"176",1113,"16B1113","Torres Vedras",52
"177",1401,"16C1401","Abrantes",37
"178",1402,"16C1402","Alcanena",39
"179",1408,"16C1408","Constância",1
"180",1410,"16C1410","Entroncamento",0
"181",1411,"16C1411","Ferreira do Zêzere",17
"182",1421,"16C1421","Ourém",2
"183",1417,"16C1417","Sardoal",6
"184",1418,"16C1418","Tomar",51
"185",1419,"16C1419","Torres Novas",458
"186",1420,"16C1420","Vila Nova da Barquinha",1
"187",1115,"1711115","Amadora",0
"188",1105,"1711105","Cascais",0
"189",1106,"1711106","Lisboa",0
"190",1107,"1711107","Loures",4
"191",1109,"1711109","Mafra",41
"192",1116,"1711116","Odivelas",0
"193",1110,"1711110","Oeiras",1
"194",1111,"1711111","Sintra",6
"195",1114,"1711114","Vila Franca de Xira",21
"196",1502,"1721502","Alcochete",0
"197",1503,"1721503","Almada",4
"198",1504,"1721504","Barreiro",0
"199",1506,"1721506","Moita",3
"200",1507,"1721507","Montijo",7
"201",1508,"1721508","Palmela",61
"202",1510,"1721510","Seixal",1
"203",1511,"1721511","Sesimbra",8
"204",1512,"1721512","Setúbal",35
"205",1501,"1811501","Alcácer do Sal",1
"206",1505,"1811505","Grândola",24
"207",211,"1810211","Odemira",261
"208",1509,"1811509","Santiago do Cacém",17
"209",1513,"1811513","Sines",1
"210",1201,"1821201","Alter do Chão",0
"211",1202,"1821202","Arronches",2
"212",1203,"1821203","Avis",1
"213",1204,"1821204","Campo Maior",55
"214",1205,"1821205","Castelo de Vide",1
"215",1206,"1821206","Crato",0
"216",1207,"1821207","Elvas",96
"217",1208,"1821208","Fronteira",0
"218",1209,"1821209","Gavião",1
"219",1210,"1821210","Marvão",0
"220",1211,"1821211","Monforte",0
"221",707,"1820707","Mora",7
"222",1212,"1821212","Nisa",1
"223",1213,"1821213","Ponte de Sor",6
"224",1214,"1821214","Portalegre",2
"225",701,"1830701","Alandroal",2
"226",702,"1830702","Arraiolos",0
"227",703,"1830703","Borba",61
"228",704,"1830704","Estremoz",70
"229",705,"1830705","Évora",7
"230",706,"1830706","Montemor-o-Novo",19
"231",708,"1830708","Mourão",2
"232",709,"1830709","Portel",1
"233",710,"1830710","Redondo",1
"234",711,"1830711","Reguengos de Monsaraz",23
"235",1215,"1831215","Sousel",26
"236",712,"1830712","Vendas Novas",3
"237",713,"1830713","Viana do Alentejo",0
"238",714,"1830714","Vila Viçosa",16
"239",201,"1840201","Aljustrel",0
"240",202,"1840202","Almodôvar",28
"241",203,"1840203","Alvito",2
"242",204,"1840204","Barrancos",1
"243",205,"1840205","Beja",4
"244",206,"1840206","Castro Verde",0
"245",207,"1840207","Cuba",11
"246",208,"1840208","Ferreira do Alentejo",48
"247",209,"1840209","Mértola",3
"248",210,"1840210","Moura",478
"249",212,"1840212","Ourique",14
"250",213,"1840213","Serpa",67
"251",214,"1840214","Vidigueira",9
"252",1403,"1851403","Almeirim",75
"253",1404,"1851404","Alpiarça",22
"254",1103,"1851103","Azambuja",7
"255",1405,"1851405","Benavente",4
"256",1406,"1851406","Cartaxo",11
"257",1407,"1851407","Chamusca",2
"258",1409,"1851409","Coruche",59
"259",1412,"1851412","Golegã",0
"260",1414,"1851414","Rio Maior",4
"261",1415,"1851415","Salvaterra de Magos",0
"262",1416,"1851416","Santarém",79
"263",801,"1500801","Albufeira",391
"264",802,"1500802","Alcoutim",296
"265",803,"1500803","Aljezur",5
"266",804,"1500804","Castro Marim",376
"267",805,"1500805","Faro",106
"268",806,"1500806","Lagoa",89
"269",807,"1500807","Lagos",106
"270",808,"1500808","Loulé",601
"271",809,"1500809","Monchique",25
"272",810,"1500810","Olhão",221
"273",811,"1500811","Portimão",71
"274",812,"1500812","São Brás de Alportel",81
"275",813,"1500813","Silves",194
"276",814,"1500814","Tavira",534
"277",815,"1500815","Vila do Bispo",17
"278",816,"1500816","Vila Real de Santo António",52
