"","Muni_ID","ID","Muni","2009"
"1",1601,"1111601","Arcos de Valdevez",0
"2",1602,"1111602","Caminha",0
"3",1603,"1111603","Melgaço",0
"4",1604,"1111604","Monção",0
"5",1605,"1111605","Paredes de Coura",0
"6",1606,"1111606","Ponte da Barca",0
"7",1607,"1111607","Ponte de Lima",1
"8",1608,"1111608","Valença",0
"9",1609,"1111609","Viana do Castelo",0
"10",1610,"1111610","Vila Nova de Cerveira",0
"11",301,"1120301","Amares",0
"12",302,"1120302","Barcelos",1
"13",303,"1120303","Braga",1
"14",306,"1120306","Esposende",0
"15",310,"1120310","Terras de Bouro",0
"16",313,"1120313","Vila Verde",0
"17",307,"1130307","Fafe",0
"18",308,"1130308","Guimarães",1
"19",309,"1130309","Póvoa de Lanhoso",0
"20",1314,"1131314","Santo Tirso",7
"21",1318,"1131318","Trofa",0
"22",311,"1130311","Vieira do Minho",0
"23",312,"1130312","Vila Nova de Famalicão",1
"24",314,"1130314","Vizela",1
"25",107,"1140107","Espinho",0
"26",1304,"1141304","Gondomar",1
"27",1306,"1141306","Maia",0
"28",1308,"1141308","Matosinhos",0
"29",1312,"1141312","Porto",1
"30",1313,"1141313","Póvoa de Varzim",0
"31",1315,"1141315","Valongo",0
"32",1316,"1141316","Vila do Conde",0
"33",1317,"1141317","Vila Nova de Gaia",2
"34",1301,"1151301","Amarante",2
"35",1302,"1151302","Baião",23
"36",304,"1150304","Cabeceiras de Basto",4
"37",106,"1150106","Castelo de Paiva",0
"38",305,"1150305","Celorico de Basto",3
"39",1804,"1151804","Cinfães",51
"40",1303,"1151303","Felgueiras",1
"41",1305,"1151305","Lousada",0
"42",1307,"1151307","Marco de Canaveses",1
"43",1705,"1151705","Mondim de Basto",0
"44",1309,"1151309","Paços de Ferreira",0
"45",1310,"1151310","Paredes",2
"46",1311,"1151311","Penafiel",1
"47",1813,"1151813","Resende",902
"48",1709,"1151709","Ribeira de Pena",3
"49",104,"1160104","Arouca",6
"50",113,"1160113","Oliveira de Azeméis",0
"51",109,"1160109","Santa Maria da Feira",0
"52",116,"1160116","São João da Madeira",0
"53",119,"1160119","Vale de Cambra",0
"54",1701,"1171701","Alijó",6
"55",1801,"1171801","Armamar",95
"56",403,"1170403","Carrazeda de Ansiães",7
"57",404,"1170404","Freixo de Espada à Cinta",6
"58",1805,"1171805","Lamego",208
"59",1704,"1171704","Mesão Frio",6
"60",1807,"1171807","Moimenta da Beira",6
"61",1812,"1171812","Penedono",26
"62",1708,"1171708","Peso da Régua",6
"63",1710,"1171710","Sabrosa",8
"64",1711,"1171711","Santa Marta de Penaguião",1
"65",1815,"1171815","São João da Pesqueira",62
"66",1818,"1171818","Sernancelhe",33
"67",1819,"1171819","Tabuaço",60
"68",1820,"1171820","Tarouca",28
"69",409,"1170409","Torre de Moncorvo",28
"70",410,"1170410","Vila Flor",50
"71",914,"1170914","Vila Nova de Foz Côa",3
"72",1714,"1171714","Vila Real",16
"73",401,"1180401","Alfândega da Fé",160
"74",1702,"1181702","Boticas",3
"75",402,"1180402","Bragança",72
"76",1703,"1181703","Chaves",29
"77",405,"1180405","Macedo de Cavaleiros",217
"78",406,"1180406","Miranda do Douro",74
"79",407,"1180407","Mirandela",303
"80",408,"1180408","Mogadouro",76
"81",1706,"1181706","Montalegre",8
"82",1707,"1181707","Murça",26
"83",1712,"1181712","Valpaços",181
"84",1713,"1181713","Vila Pouca de Aguiar",7
"85",411,"1180411","Vimioso",43
"86",412,"1180412","Vinhais",95
"87",101,"1610101","Águeda",1
"88",102,"1610102","Albergaria-a-Velha",0
"89",103,"1610103","Anadia",3
"90",105,"1610105","Aveiro",0
"91",108,"1610108","Estarreja",0
"92",110,"1610110","Ílhavo",0
"93",111,"1610111","Mealhada",1
"94",112,"1610112","Murtosa",0
"95",114,"1610114","Oliveira do Bairro",0
"96",115,"1610115","Ovar",0
"97",117,"1610117","Sever do Vouga",0
"98",118,"1610118","Vagos",0
"99",602,"1620602","Cantanhede",1
"100",603,"1620603","Coimbra",2
"101",604,"1620604","Condeixa-a-Nova",1
"102",605,"1620605","Figueira da Foz",0
"103",608,"1620608","Mira",0
"104",610,"1620610","Montemor-o-Velho",1
"105",613,"1620613","Penacova",1
"106",615,"1620615","Soure",2
"107",1004,"1631004","Batalha",0
"108",1009,"1631009","Leiria",4
"109",1010,"1631010","Marinha Grande",0
"110",1015,"1631015","Pombal",1
"111",1016,"1631016","Porto de Mós",0
"112",1002,"1641002","Alvaiázere",3
"113",1003,"1641003","Ansião",1
"114",601,"1640601","Arganil",1
"115",1007,"1641007","Castanheira de Pêra",0
"116",1008,"1641008","Figueiró dos Vinhos",0
"117",606,"1640606","Góis",0
"118",607,"1640607","Lousã",0
"119",609,"1640609","Miranda do Corvo",1
"120",611,"1640611","Oliveira do Hospital",2
"121",612,"1640612","Pampilhosa da Serra",4
"122",1013,"1641013","Pedrógão Grande",1
"123",614,"1640614","Penela",1
"124",616,"1640616","Tábua",2
"125",617,"1640617","Vila Nova de Poiares",0
"126",901,"1650901","Aguiar da Beira",2
"127",1802,"1651802","Carregal do Sal",1
"128",1803,"1651803","Castro Daire",1
"129",1806,"1651806","Mangualde",6
"130",1808,"1651808","Mortágua",3
"131",1809,"1651809","Nelas",0
"132",1810,"1651810","Oliveira de Frades",1
"133",1811,"1651811","Penalva do Castelo",1
"134",1814,"1651814","Santa Comba Dão",1
"135",1816,"1651816","São Pedro do Sul",1
"136",1817,"1651817","Sátão",3
"137",1821,"1651821","Tondela",2
"138",1822,"1651822","Vila Nova de Paiva",0
"139",1823,"1651823","Viseu",5
"140",1824,"1651824","Vouzela",3
"141",1413,"1661413","Mação",5
"142",506,"1660506","Oleiros",12
"143",508,"1660508","Proença-a-Nova",57
"144",509,"1660509","Sertã",8
"145",510,"1660510","Vila de Rei",1
"146",905,"1670905","Fornos de Algodres",5
"147",906,"1670906","Gouveia",15
"148",912,"1670912","Seia",4
"149",902,"1680902","Almeida",1
"150",903,"1680903","Celorico da Beira",9
"151",904,"1680904","Figueira de Castelo Rodrigo",13
"152",907,"1680907","Guarda",91
"153",908,"1680908","Manteigas",2
"154",909,"1680909","Meda",11
"155",910,"1680910","Pinhel",10
"156",911,"1680911","Sabugal",6
"157",913,"1680913","Trancoso",14
"158",502,"1690502","Castelo Branco",49
"159",505,"1690505","Idanha-a-Nova",1
"160",507,"1690507","Penamacor",9
"161",511,"1690511","Vila Velha de Ródão",1
"162",501,"16A0501","Belmonte",66
"163",503,"16A0503","Covilhã",405
"164",504,"16A0504","Fundão",1396
"165",1001,"16B1001","Alcobaça",4
"166",1101,"16B1101","Alenquer",8
"167",1102,"16B1102","Arruda dos Vinhos",1
"168",1005,"16B1005","Bombarral",0
"169",1104,"16B1104","Cadaval",2
"170",1006,"16B1006","Caldas da Rainha",0
"171",1108,"16B1108","Lourinhã",0
"172",1011,"16B1011","Nazaré",0
"173",1012,"16B1012","Óbidos",0
"174",1014,"16B1014","Peniche",0
"175",1112,"16B1112","Sobral de Monte Agraço",0
"176",1113,"16B1113","Torres Vedras",1
"177",1401,"16C1401","Abrantes",1
"178",1402,"16C1402","Alcanena",0
"179",1408,"16C1408","Constância",0
"180",1410,"16C1410","Entroncamento",0
