"Muni_ID","ID","Muni","Dairy","Bovine","Equides","Goats","Sheep","total"
1601,"1111601","Arcos de Valdevez",626.3,437153.84,71251.61,7208.22,76173.56,592413.53
1602,"1111602","Caminha",10271.34,19271.66,3217.2,586.8,18082.22,51429.22
1603,"1111603","Melgaço",0,57748.84,27772.04,2470.36,44231.22,132222.46
1604,"1111604","Monção",1377.87,113309.96,24791.4,999.73,99039.67,239518.63
1605,"1111605","Paredes de Coura",54112.43,127268.02,13696.77,1144.62,59882,256103.84
1606,"1111606","Ponte da Barca",12526.03,105672.79,21124.73,2571.78,11551.56,153446.89
1607,"1111607","Ponte de Lima",226220.04,217401.45,12348.39,5846.27,63603.78,525419.93
1608,"1111608","Valença",19039.56,36804.39,10905.38,847.6,30968,98564.93
1609,"1111609","Viana do Castelo",166846.67,148002.63,23774.19,1593.78,24753.33,364970.6
1610,"1111610","Vila Nova de Cerveira",34571.83,16421.85,8468.82,1021.47,15922.89,76406.86
301,"1120301","Amares",32066.63,64503.4,4920.43,912.8,12964.78,115368.04
302,"1120302","Barcelos",2845412.14,848363.32,9935.48,1825.6,21839.11,3727375.65
303,"1120303","Braga",260040.3,243172.72,5937.63,478.13,16537.33,526166.11
306,"1120306","Esposende",366636.79,96714.83,1372.04,311.51,3704.22,468739.39
310,"1120310","Terras de Bouro",0,84980.32,18215.05,2825.33,4854.11,110874.81
313,"1120313","Vila Verde",129519.11,214170.22,13200,7454.53,53728.78,418072.64
307,"1130307","Fafe",16283.83,130500.37,5369.89,905.56,30599.33,183658.98
308,"1130308","Guimarães",203046.89,182755.82,11993.55,304.27,9076.22,407176.75
309,"1130309","Póvoa de Lanhoso",46221.04,97133.07,4825.81,869.33,15536.67,164585.92
1314,"1131314","Santo Tirso",172358.12,65078.55,2673.12,521.6,14974.89,255606.28
1318,"1131318","Trofa",397951.85,108836.13,1466.67,202.84,3809.56,512267.05
311,"1130311","Vieira do Minho",9144,154321.31,32810.75,949.02,29984.89,227209.97
312,"1130312","Vila Nova de Famalicão",1019242.76,319354.14,7664.52,1332.98,7636.67,1355231.07
314,"1130314","Vizela",12526.03,8405.59,425.81,14.49,790,22161.92
107,"1140107","Espinho",16784.87,5534.39,0,7.24,193.11,22519.61
1304,"1141304","Gondomar",14279.67,30283.27,756.99,188.36,12157.22,57665.51
