"Muni_ID","ID","Muni","Bovine","Equides","Goats","Poultry","Rabbits","Sheep","Swine","total"
1507,"1721507","Montijo",298423.3548,9922,417.28,2052.26,1773,72356.1,979268.5,1364212.4948
1508,"1721508","Palmela",820129.7924,18304,6409.16,14395.48,178371,152098.7,265657.5,1455365.6324
1510,"1721510","Seixal",4409.6974,0,1127.96,123.12,702,4123.8,71,10557.5774
1511,"1721511","Sesimbra",9429.0922,2222,769.36,617.6,1386,11067.9,359.5,25851.4522
1512,"1721512","Setúbal",16207.0461,9790,4061.96,6174.32,1656,39689.6,501.5,78080.4261
1501,"1811501","Alcácer do Sal",1702776.7946,11242,599.84,1854.05,801,208315.1,59812,1985400.7846
1505,"1811505","Grândola",371425.2414,4378,1734.32,5236.58,3087,217297.4,488437.5,1091596.0414
211,"1810211","Odemira",1595727.052,19910,12727.04,11309.58,6372,246353.6,52981,1945380.272
1509,"1811509","Santiago do Cacém",1159367.4752,11748,2992.68,6707.44,8316,267652,328570,1785353.5952
1513,"1811513","Sines",130811.4654,3938,1408.32,1861.68,3168,60529.8,1190,202907.2654
1201,"1821201","Alter do Chão",758661.8056,28534,2295.04,683.69,576,157810.4,3056,951616.9356
1202,"1821202","Arronches",704259.9396,4158,1121.44,95.68,0,103237.2,31855.5,844727.7596
1203,"1821203","Avis",699837.2886,4048,2086.4,236.83,162,245200.2,35160,986730.7186
1204,"1821204","Campo Maior",445933.002,2156,52.16,39.72,108,27973.9,3228.5,479491.282
1205,"1821205","Castelo de Vide",417265,1122,1890.8,510.68,531,59336.9,441,481097.38
1206,"1821206","Crato",728348.8858,2640,6787.32,388.93,1494,97525.5,49452.5,886637.1358
1207,"1821207","Elvas",1346669.7474,26004,469.44,1603.27,135108,179440.6,6916,1696211.0574
1208,"1821208","Fronteira",319362.4862,3256,1154.04,306.29,0,176241.1,149,500468.9162
1209,"1821209","Gavião",142635,1540,4075,2065.53,2592,11075.8,593.5,164576.83
1210,"1821210","Marvão",121980.2854,858,2314.6,75.59,765,53656.8,211,179861.2754
1211,"1821211","Monforte",1314559.045,3784,1793,0,0,95432,7609,1423177.045
707,"1820707","Mora",615398.6882,3520,260.8,1331.11,621,182008.1,5345,808484.6982
1212,"1821212","Nisa",386714.3304,9196,7413.24,1475.16,2286,162613.6,5353.5,575051.8304
1213,"1821213","Ponte de Sor",447067.0472,9284,7908.76,8344.14,12708,258543.3,83338,827193.2472
1214,"1821214","Portalegre",676697.2666,4048,12166.32,2109.89,3951,153710.3,5259.5,857942.2766
701,"1830701","Alandroal",871842.969,12826,31185.16,3112.1,1593,173294.4,38523,1132376.629
702,"1830702","Arraiolos",1263962.0854,4048,9480.08,5353.81,351,220220.4,417046.5,1920461.8754
703,"1830703","Borba",128824.517,1606,215.16,1239.52,9072,71692.5,32790,245439.697
704,"1830704","Estremoz",466990.45,3850,3566.44,2516.05,2412,308463.4,85020,872818.34
705,"1830705","Évora",2428680.6804,18678,2562.36,3728.38,1746,334857.3,57461.5,2847714.2204
706,"1830706","Montemor-o-Novo",2638879.7304,24794,1669.12,7418.36,684,457449.5,770176,3901070.7104
708,"1830708","Mourão",476822.36,3784,9291,1035.98,180,44390.1,19813,555316.44
709,"1830709","Portel",752129.9284,6424,8684.64,2696.61,288,222464,370465,1363152.1784
710,"1830710","Redondo",701824.7472,10252,3110.04,12040.21,432,65909.7,30411,823979.6972
711,"1830711","Reguengos de Monsaraz",445395.7464,4488,9877.8,1730.34,3258,95250.3,25546,585546.1864
1215,"1831215","Sousel",277418.1942,1760,78.24,237.06,135,161365.4,22962.5,463956.3942
712,"1830712","Vendas Novas",257150,6072,195.6,145007.87,8388,42241.3,307068,766122.77
713,"1830713","Viana do Alentejo",827488.9954,7084,17245.4,754.72,144,166990.2,97877,1117584.3154
714,"1830714","Vila Viçosa",385939.8902,11396,9167.12,840.75,504,69283,2872,480002.7602
201,"1840201","Aljustrel",499346.1634,6952,4277.12,1665.23,747,136440.9,12383.5,661811.9134
202,"1840202","Almodôvar",247660.2854,5654,6930.76,3870.6,1116,294551.5,44382.5,604165.6454
203,"1840203","Alvito",557492.9802,3498,208.64,546.73,0,91561,3048.5,656355.8502
204,"1840204","Barrancos",326105,3300,319.48,285.1,27,26773.1,42228.5,399038.18
205,"1840205","Beja",929591.7618,18898,18516.8,2368.05,459,252879,73824,1296536.6118
206,"1840206","Castro Verde",629860.5708,7084,2171.16,1683.92,81,252649.9,21500,915030.5508
207,"1840207","Cuba",241510,3938,7100.28,8317.95,135,57519.9,175575.5,494096.63
208,"1840208","Ferreira do Alentejo",588034.5992,14168,534.64,854.79,18,175553.8,130627.5,909791.3292
209,"1840209","Mértola",450575,4334,38722.28,4733.7,441,672139.9,64623.5,1235569.38
210,"1840210","Moura",1177143.6114,18480,29724.68,11873.49,90,191472.3,71848.5,1500632.5814
212,"1840212","Ourique",481624.9012,16302,6846,2723.95,711,324200.2,279067,1111475.0512
