"","GW_ID","drainage_L","N-loads[mg N]","Nc[mg N/L]","Nc[mg NO3/L]"
"1",1,19479970985.87,75707.236,3.88641420743979,17.196523041769
"2",2,2768591907.333,32208.677,11.6335950107673,51.4760841184395
"3",3,99893930957.262,1806688.099,18.0860647057023,80.0268349809837
"4",4,656798972.45,2809.757,4.27795584015457,18.9290081422769
"5",5,6438695496.181,164017.441,25.4737067620738,112.715516646344
"6",6,13638402367.279,230975.686,16.9356849710016,74.936659163724
"7",7,22933309676.71,381059.155,16.6159686661793,73.521985248581
"8",8,1737691437.157,20505.518,11.8004368103169,52.214322169544
"9",9,1963961577.423,13479.733,6.86354211556794,30.3696553786192
"10",10,2765299.5,40.092,14.4982487430385,64.1515431107898
"11",11,1885527142.975,12939.931,6.8627656982881,30.3662199039297
"12",12,59479117976.685,202566.819,3.40567960472116,15.0693787819521
"13",13,51296825392.09,201196.128,3.92219453079497,17.3548430566149
"14",14,1683122469.654,20111.054,11.9486575472635,52.8701661383339
"15",15,1394037247.421,15808.12,11.3398117799545,50.1761583183827
"16",16,1212868609.943,38267.061,31.5508709569113,139.605623703147
"17",17,13110669774.841,31890.051,2.43237390214771,10.7627163811845
"18",18,7894257290.955,72970.408,9.24347982470843,40.9003532066745
"19",19,971475099.487,8327.292,8.57180179337312,37.9283265193501
"20",20,15039687783.615,100643.797,6.69188073901683,29.6100917655612
"21",21,20079014008.209,60510.804,3.01363423399481,13.3346647521894
"22",22,8947542737.61,35626.919,3.98175454924023,17.61838296124
"23",23,39447091915.344,48142.227,1.22042524968168,5.40011172425523
"24",24,7339208444.824,40356.596,5.49876683615133,24.3308267086342
"25",25,5511683857.117,45823.662,8.31391334987944,36.7872272118559
"26",26,4443079509.521,22993.592,5.17514754141298,22.8988829266061
"27",27,27303913717.926,41764.434,1.52961346243122,6.76820116120008
"28",28,213619734.924,3590.027,16.8056897986379,74.3614592860084
"29",29,44400144636.475,170037.182,3.82965378586432,16.9453707339129
"30",30,815430461.517,17526.867,21.4940057149614,95.1062199777053
"31",31,68744489.38,3025.714,44.013913366564,194.751829055593
"32",32,15962948460.388,68968.291,4.320523315047,19.1173598010929
"33",33,14780015121.021,275393.712,18.6328437247888,82.4462111716319
"34",34,52878488680.565,563559.542,10.6576333034861,47.1576694844516
"35",35,11627158071.167,83994.769,7.22401540306655,31.9646699250732
"36",36,85523725.861,1377.174,16.1028297836123,71.2514592195232
"37",37,1792472214.539,6487.454,3.61927730169502,16.0145013349337
"38",38,13958564092.651,65649.098,4.70314120881269,20.8103593310296
"39",39,54042714478.989,575235.464,10.64408902376,47.0977390431856
"40",40,85174426650.192,1509688.239,17.724665705121,78.4277243589424
"41",41,19952322867.111,483045.577,24.209992000292,107.123858408372
"42",42,38709941193.359,795779.288,20.5574915245937,90.9623518787334
"43",43,31372701542.313,100869.549,3.21520124315578,14.2265541732557
"44",44,78197147119.461,590651.745,7.55336692907309,33.4219775622703
"45",45,347693998568.314,1219772.806,3.50817906268906,15.5229162065888
"46",46,138500871496.277,487631.062,3.52077973757088,15.5786714051809
"47",47,882287400.391,11979.659,13.5779554311792,60.0794488105277
"48",48,2846042332.52,2376.894,0.835157640784423,3.69538779108152
"49",49,59825294.037,0,0,0
"50",50,279035978.195,1392.2,4.98932076431765,22.0766405500781
"51",51,909229855.362,33468.51,36.8097349670451,162.874933482501
"52",52,3671463284.485,75748.292,20.6316354354134,91.2904222805903
"53",53,26104284156.349,220730.08,8.45570323545205,37.414616086071
"54",54,30037477264.504,164503.319,5.47660236415385,24.2327538236896
"55",55,20761595461.121,100749.729,4.85269685504989,21.4721099780969
"56",56,616343285.675,4205.527,6.8233516901125,30.1918216376659
"57",57,668800229.012,36154.89,54.0593265845776,239.20056010875
"58",58,2266504501.945,16783.176,7.40487212162937,32.7649208921654
"59",59,18720465910.858,235503.428,12.5799982287517,55.6637089767774
"60",60,2054966254.181,16761.803,8.1567290781037,36.0917215845296
"61",61,5039505832.268,127671.175,25.3340663250195,112.097638606281
"62",62,1678559988.647,1143.62,0.681310175230504,3.01464679305533
"63",63,1963555744.507,19730.502,10.0483533789125,44.4617406146572
"64",64,6308782236.496,64545.13,10.2309966615442,45.2698967324965
"65",65,19697459264.557,120385.928,6.11174905266177,27.0431374011583
"66",66,7151612442.81,14122.011,1.97466111494867,8.73743856171979
"67",67,1411502867.737,6239.936,4.42077458192077,19.5609494775255
"68",68,1531822514.832,14863.464,9.70312412572819,42.9341775474699
"69",69,384584998.566,3390.572,8.81618371138346,39.0096624397498
"70",70,2463403345.291,56555.33,22.958209465823,101.584997636385
"71",71,238119149.323,2909.055,12.2168041011014,54.0566553146079
"72",72,949709076.477,9082.083,9.56301590134371,42.3142296519633
"73",73,492260151.535,4789.111,9.72882120371974,43.0478814323882
"74",74,4459748559.54,55995.968,12.555857634668,55.5568921887965
"75",75,3246341113.037,13370.978,4.11878405085141,18.224708189608
"76",76,1237782191.223,12937.568,10.4522169503965,46.2487475681262
"77",77,2439652939.697,7529.425,3.08626890222145,13.6560570894755
"78",78,422703483.978,4488.556,10.6186870232506,46.9853408108433
"79",79,30566183.197,199.348,6.52184797543075,28.8577344045609
"80",80,672545800.781,15443.301,22.9624524932968,101.603772094234
"81",81,81012399.353,253.795,3.13279204204438,13.8619116904619
"82",82,2731644064.819,20407.95,7.47094039916662,33.0572584033921
"83",83,841363900.314,15941.508,18.9472212844532,83.8372623205895
"84",84,1804010286.804,20488.107,11.3569790315868,50.2521196087913
"85",85,226876054966.225,1422559.859,6.27020713671955,27.7442793660157
"86",86,331902479.736,2332.586,7.02792579873273,31.0970168085519
"87",87,79761514.053,380.735,4.77341741214953,21.1213159829625
"88",88,2239696758.057,4579.436,2.04466787011506,9.04720296511086
"89",89,2768581523.346,57354.281,20.7161250323898,91.6642700548222
"90",90,8191636381.653,38596.994,4.71175625989046,20.848479026064
"91",91,8077853233.78,81604.32,10.1022286043459,44.700126567902
"92",92,609513075.47,4862.478,7.97764345949512,35.2993073428988
"93",93,12282963861.733,120554,9.8147321246772,43.4280182507841
