Muni_ID,ID,Muni,nuts3,agrarian_region,spring_gw,superficial,well_gw
1601,1111601,Arcos de Valdevez,ALTO MINHO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1602,1111602,Caminha,ALTO MINHO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1603,1111603,Melgaço,ALTO MINHO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1604,1111604,Monção,ALTO MINHO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1605,1111605,Paredes de Coura,ALTO MINHO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1606,1111606,Ponte da Barca,ALTO MINHO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1607,1111607,Ponte de Lima,ALTO MINHO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1608,1111608,Valença,ALTO MINHO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1609,1111609,Viana do Castelo,ALTO MINHO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1610,1111610,Vila Nova de Cerveira,ALTO MINHO,ENTRE DOURO E MINHO,0.41,0.28,0.31
301,1120301,Amares,CÁVADO,ENTRE DOURO E MINHO,0.41,0.28,0.31
302,1120302,Barcelos,CÁVADO,ENTRE DOURO E MINHO,0.41,0.28,0.31
303,1120303,Braga,CÁVADO,ENTRE DOURO E MINHO,0.41,0.28,0.31
306,1120306,Esposende,CÁVADO,ENTRE DOURO E MINHO,0.41,0.28,0.31
310,1120310,Terras de Bouro,CÁVADO,ENTRE DOURO E MINHO,0.41,0.28,0.31
313,1120313,Vila Verde,CÁVADO,ENTRE DOURO E MINHO,0.41,0.28,0.31
307,1130307,Fafe,AVE,ENTRE DOURO E MINHO,0.41,0.28,0.31
308,1130308,Guimarães,AVE,ENTRE DOURO E MINHO,0.41,0.28,0.31
309,1130309,Póvoa de Lanhoso,AVE,ENTRE DOURO E MINHO,0.41,0.28,0.31
311,1130311,Vieira do Minho,AVE,ENTRE DOURO E MINHO,0.41,0.28,0.31
312,1130312,Vila Nova de Famalicão,AVE,ENTRE DOURO E MINHO,0.41,0.28,0.31
314,1130314,Vizela,AVE,ENTRE DOURO E MINHO,0.41,0.28,0.31
1314,1131314,Santo Tirso,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1318,1131318,Trofa,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
107,1140107,Espinho,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1304,1141304,Gondomar,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1306,1141306,Maia,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1308,1141308,Matosinhos,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1312,1141312,Porto,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1313,1141313,Póvoa de Varzim,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1315,1141315,Valongo,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1316,1141316,Vila do Conde,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1317,1141317,Vila Nova de Gaia,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
106,1150106,Castelo de Paiva,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
304,1150304,Cabeceiras de Basto,AVE,ENTRE DOURO E MINHO,0.41,0.28,0.31
305,1150305,Celorico de Basto,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1301,1151301,Amarante,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1302,1151302,Baião,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
