Muni_ID,ID,Muni,nuts3,agrarian_region,artificial_sup,natural_sup,well_gw,spring_gw
1601,1111601,Arcos de Valdevez,ALTO MINHO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1602,1111602,Caminha,ALTO MINHO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1603,1111603,Melgaço,ALTO MINHO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1604,1111604,Monção,ALTO MINHO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1605,1111605,Paredes de Coura,ALTO MINHO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1606,1111606,Ponte da Barca,ALTO MINHO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1607,1111607,Ponte de Lima,ALTO MINHO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1608,1111608,Valença,ALTO MINHO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1609,1111609,Viana do Castelo,ALTO MINHO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1610,1111610,Vila Nova de Cerveira,ALTO MINHO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
301,1120301,Amares,CÁVADO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
302,1120302,Barcelos,CÁVADO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
303,1120303,Braga,CÁVADO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
306,1120306,Esposende,CÁVADO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
310,1120310,Terras de Bouro,CÁVADO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
313,1120313,Vila Verde,CÁVADO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
307,1130307,Fafe,AVE,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
308,1130308,Guimarães,AVE,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
309,1130309,Póvoa de Lanhoso,AVE,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
311,1130311,Vieira do Minho,AVE,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
312,1130312,Vila Nova de Famalicão,AVE,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
314,1130314,Vizela,AVE,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1314,1131314,Santo Tirso,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1318,1131318,Trofa,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
107,1140107,Espinho,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1304,1141304,Gondomar,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1306,1141306,Maia,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1308,1141308,Matosinhos,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1312,1141312,Porto,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1313,1141313,Póvoa de Varzim,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1315,1141315,Valongo,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1316,1141316,Vila do Conde,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1317,1141317,Vila Nova de Gaia,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
106,1150106,Castelo de Paiva,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
304,1150304,Cabeceiras de Basto,AVE,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
305,1150305,Celorico de Basto,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1301,1151301,Amarante,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1302,1151302,Baião,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1303,1151303,Felgueiras,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1305,1151305,Lousada,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1307,1151307,Marco de Canaveses,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1309,1151309,Paços de Ferreira,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1310,1151310,Paredes,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1311,1151311,Penafiel,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1705,1151705,Mondim de Basto,AVE,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1709,1151709,Ribeira de Pena,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1804,1151804,Cinfães,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1813,1151813,Resende,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
104,1160104,Arouca,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
109,1160109,Santa Maria da Feira,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
113,1160113,Oliveira de Azeméis,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
116,1160116,São João da Madeira,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
119,1160119,Vale de Cambra,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
403,1170403,Carrazeda de Ansiães,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
404,1170404,Freixo de Espada à Cinta,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
409,1170409,Torre de Moncorvo,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
410,1170410,Vila Flor,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.09,0.21,0.46,0.24
914,1170914,Vila Nova de Foz Côa,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1701,1171701,Alijó,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1704,1171704,Mesão Frio,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1708,1171708,Peso da Régua,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1710,1171710,Sabrosa,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1711,1171711,Santa Marta de Penaguião,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1714,1171714,Vila Real,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1801,1171801,Armamar,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1805,1171805,Lamego,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1807,1171807,Moimenta da Beira,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1812,1171812,Penedono,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1815,1171815,São João da Pesqueira,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1818,1171818,Sernancelhe,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1819,1171819,Tabuaço,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1820,1171820,Tarouca,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
401,1180401,Alfândega da Fé,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.09,0.21,0.46,0.24
402,1180402,Bragança,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.09,0.21,0.46,0.24
405,1180405,Macedo de Cavaleiros,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.09,0.21,0.46,0.24
406,1180406,Miranda do Douro,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.09,0.21,0.46,0.24
407,1180407,Mirandela,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.09,0.21,0.46,0.24
