Muni_ID,ID,Muni,dairy,other_cattle,sheep,goat,poultry,pigs,horses
1601,1111601,Arcos de Valdevez,0,417360,54567,5142,175,206,26506
1602,1111602,Caminha,0,15901,12953,419,208,89,1197
1603,1111603,Melgaço,0,55374,31685,1762,54,130,10331
1604,1111604,Monção,0,109852,70948,713,278,224,9222
1605,1111605,Paredes de Coura,0,115997,42897,817,40,148,5095
1606,1111606,Ponte da Barca,0,101496,8275,1835,74,92,7858
1607,1111607,Ponte de Lima,0,181776,45563,4171,465,532,4594
1608,1111608,Valença,0,33239,22184,605,188,402,4057
1609,1111609,Viana do Castelo,0,118396,17732,1137,3983,439,8844
1610,1111610,Vila Nova de Cerveira,0,12344,11406,729,48,44,3150
301,1120301,Amares,0,59962,9287,651,127,2952,1830
302,1120302,Barcelos,0,599956,15645,1302,1201,484,3696
303,1120303,Braga,0,204058,11847,341,226,312,2209
306,1120306,Esposende,0,69497,2654,222,178,137,510
310,1120310,Terras de Bouro,0,81096,3477,2016,53,123,6776
313,1120313,Vila Verde,0,195819,38489,5318,411,484,4910
307,1130307,Fafe,0,123828,21920,646,95,333,1998
308,1130308,Guimarães,0,153903,6502,217,2362,326,4462
309,1130309,Póvoa de Lanhoso,0,91038,11130,620,308,467,1795
1314,1131314,Santo Tirso,0,52239,10727,372,195,487,994
1318,1131318,Trofa,0,69982,2729,145,4802,108,546
311,1130311,Vieira do Minho,0,145963,21480,677,89,207,12206
312,1130312,Vila Nova de Famalicão,0,224184,5471,951,522,3863,2851
314,1130314,Vizela,0,7757,566,10,29,24,158
107,1140107,Espinho,0,3378,138,5,4,8,0
1304,1141304,Gondomar,0,20266,8709,134,41,67,282
1306,1141306,Maia,0,76039,3691,103,615,51,651
1308,1141308,Matosinhos,0,50131,2446,98,29,37,563
1312,1141312,Porto,0,1009,182,26,3,1,0
1313,1141313,Póvoa de Varzim,0,161262,1302,2315,107,1563,1302
1315,1141315,Valongo,0,23005,3081,62,25,11,246
1316,1141316,Vila do Conde,0,341937,4571,289,277,127,2385
1317,1141317,Vila Nova de Gaia,0,14740,5615,114,59,109,1206
1301,1151301,Amarante,0,47369,24284,2388,241,431,2596
1302,1151302,Baião,0,32742,32937,1897,106,319,1065
304,1150304,Cabeceiras de Basto,0,163696,23511,1158,989,367,2957
106,1150106,Castelo de Paiva,0,22021,19367,744,84,186,554
305,1150305,Celorico de Basto,0,93913,17757,1318,765,364,1329
1804,1151804,Cinfães,0,119496,44777,3111,79,254,1232
1303,1151303,Felgueiras,0,61604,2798,258,178,2560,1786
1305,1151305,Lousada,0,46100,5559,124,277,224,1795
1307,1151307,Marco de Canaveses,0,31280,27623,780,101,220,2086
1705,1151705,Mondim de Basto,0,71577,2949,5711,77,171,1434
1309,1151309,Paços de Ferreira,0,31703,9954,357,207,79,466
1310,1151310,Paredes,0,42527,11645,362,81,281,1126
1311,1151311,Penafiel,0,41807,13066,336,103,436,968
1813,1151813,Resende,0,26755,11526,176,59,171,493
1709,1151709,Ribeira de Pena,0,138879,4842,5251,80,130,1426
104,1160104,Arouca,0,139208,20115,2698,591,446,1302
113,1160113,Oliveira de Azeméis,0,72971,3716,2739,1057,1248,528
109,1160109,Santa Maria da Feira,0,36482,8432,284,73,1287,1126
116,1160116,São João da Madeira,0,0,0,0,0,0,0
119,1160119,Vale de Cambra,0,40420,7829,2672,1549,248,246
1701,1171701,Alijó,0,11791,9728,3731,18,86,4215
1801,1171801,Armamar,0,188,3219,517,7,78,634
403,1170403,Carrazeda de Ansiães,0,4996,26454,2150,30,178,4822
404,1170404,Freixo de Espada à Cinta,0,2383,30981,2036,2,39,1883
1805,1171805,Lamego,0,7438,14211,775,38,143,1989
1704,1171704,Mesão Frio,0,0,132,0,2,9,0
1807,1171807,Moimenta da Beira,0,27097,17147,2243,1584,908,1593
1812,1171812,Penedono,0,5406,16336,1612,534,97,1241
1708,1171708,Peso da Régua,0,102,3383,362,32,24,343
1710,1171710,Sabrosa,0,8217,5458,367,113,92,1443
1711,1171711,Santa Marta de Penaguião,0,161,2811,31,17,6,150
1815,1171815,São João da Pesqueira,0,1524,12306,3251,7,41,1778
1818,1171818,Sernancelhe,0,10798,17273,4512,1748,160,2341
1819,1171819,Tabuaço,0,1349,7432,67,19,37,1646
1820,1171820,Tarouca,0,12592,3880,1835,145,123,1258
409,1170409,Torre de Moncorvo,0,1802,80398,4915,13,73,4726
410,1170410,Vila Flor,0,5180,34194,4072,33,70,3766
914,1170914,Vila Nova de Foz Côa,0,772,33094,2186,2,6,1522
1714,1171714,Vila Real,0,109345,35967,3209,73,205,7313
401,1180401,Alfândega da Fé,0,14746,44777,4822,9,66,3194
1702,1181702,Boticas,0,177379,20644,1912,95,308,5262
402,1180402,Bragança,0,180716,253010,6853,190,918,8070
1703,1181703,Chaves,0,108974,118346,2233,358,2126,19782
405,1180405,Macedo de Cavaleiros,0,96810,130646,10631,196,454,8853
406,1180406,Miranda do Douro,0,229312,120937,992,103,406,5650
407,1180407,Mirandela,0,12485,114398,9638,118,964,9654
408,1180408,Mogadouro,0,128428,148403,11189,55,294,8202
1706,1181706,Montalegre,0,614311,53115,6739,146,828,18832
1707,1181707,Murça,0,5157,8124,5494,26,113,4171
1712,1181712,Valpaços,0,41637,75475,6248,157,602,16720
1713,1181713,Vila Pouca de Aguiar,0,174074,42526,5070,123,223,9363
411,1180411,Vimioso,0,70939,69445,6140,79,161,6354
412,1180412,Vinhais,0,135062,118812,982,78,1214,7049
101,1610101,Águeda,28334,31214,18003,1370,4695,801,827
102,1610102,Albergaria-a-Velha,35175,66660,3622,899,7718,821,1461
103,1610103,Anadia,8466,9483,7854,1085,3089,943,651
105,1610105,Aveiro,22490,43281,4483,1059,186,442,2174
108,1610108,Estarreja,115216,131949,4282,1390,483,574,3001
110,1610110,Ílhavo,7126,11148,377,284,16,79,282
111,1610111,Mealhada,12913,12556,3157,1375,52,798,502
112,1610112,Murtosa,68240,65662,1270,191,165,241,2033
114,1610114,Oliveira do Bairro,17302,18294,2289,320,259,574,581
115,1610115,Ovar,89562,75179,1364,300,3214,220,1566
117,1610117,Sever do Vouga,5900,12836,3087,1525,7219,374,106
118,1610118,Vagos,48059,51183,2760,744,103,672,1162
602,1620602,Cantanhede,88279,80926,6477,2884,386,2229,2658
603,1620603,Coimbra,9064,16411,16437,4646,1301,684,3177
604,1620604,Condeixa-a-Nova,2252,3648,12224,7494,55,125,590
605,1620605,Figueira da Foz,63537,72029,13406,1065,117,2121,2446
608,1620608,Mira,29303,21300,264,253,56,2549,246
610,1620610,Montemor-o-Velho,127159,157635,33352,2295,167,1969,4646
613,1620613,Penacova,0,1849,17185,3452,42,214,26
615,1620615,Soure,4475,23240,23391,6765,19955,342,1294
1004,1631004,Batalha,770,6926,5678,1220,1741,4870,185
1009,1631009,Leiria,33350,90275,29692,3948,6977,70881,1258
1010,1631010,Marinha Grande,0,1938,1553,21,12,30,211
1015,1631015,Pombal,14509,61257,51115,5494,1827,7720,1443
1016,1631016,Porto de Mós,30785,89462,25391,9432,53,34098,1311
1002,1641002,Alvaiázere,86,5445,15292,5726,1659,161,1144
1003,1641003,Ansião,29,7874,32295,6698,883,1105,255
601,1640601,Arganil,86,1892,17009,5736,35,134,387
1007,1641007,Castanheira de Pêra,0,313,1421,811,4,18,0
1008,1641008,Figueiró dos Vinhos,0,328,4018,677,21,90,0
606,1640606,Góis,0,841,1182,2879,4,1254,88
607,1640607,Lousã,0,2546,2968,2072,27,101,440
609,1640609,Miranda do Corvo,171,1753,4112,2098,26,112,141
611,1640611,Oliveira do Hospital,29,1939,55397,4842,483,114,1241
612,1640612,Pampilhosa da Serra,0,105,1993,2103,20,29,0
1013,1641013,Pedrógão Grande,0,293,3905,1204,23,60,185
614,1640614,Penela,827,707,15431,3778,23,85,246
616,1640616,Tábua,29,5389,34276,4749,84,323,598
617,1640617,Vila Nova de Poiares,228,977,1258,1101,14,57,70
901,1650901,Aguiar da Beira,10290,28002,28881,930,8995,1534,783
1802,1651802,Carregal do Sal,114,1211,17336,2320,3090,597,510
1803,1651803,Castro Daire,1910,35602,25781,10346,5242,619,1505
1806,1651806,Mangualde,0,1987,52203,2724,1374,336,1162
1808,1651808,Mortágua,1397,2792,31151,760,1488,435,211
1809,1651809,Nelas,0,544,23266,1597,3588,131,774
1810,1651810,Oliveira de Frades,11402,34774,9086,3840,21110,543,88
1811,1651811,Penalva do Castelo,599,3985,18506,1152,574,120,185
1814,1651814,Santa Comba Dão,29,11411,17644,1375,2677,2193,35
1816,1651816,São Pedro do Sul,6385,83213,25517,8749,15821,743,1109
1817,1651817,Sátão,8808,20149,14073,2398,8280,419,1091
1821,1651821,Tondela,3877,30148,61968,3850,10787,859,572
1822,1651822,Vila Nova de Paiva,8010,14130,11759,4791,5841,147,1857
1823,1651823,Viseu,3962,11426,59661,3230,5385,513,2147
1824,1651824,Vouzela,7269,40304,20191,2114,10270,583,158
1413,1661413,Mação,29,9478,8244,6848,46,355,845
506,1660506,Oleiros,0,183,2163,11302,38,160,62
508,1660508,Proença-a-Nova,29,3843,12507,27954,89,278,1716
509,1660509,Sertã,1397,5592,13896,19923,86,3433,510
510,1660510,Vila de Rei,0,352,1151,2155,59,272,88
905,1670905,Fornos de Algodres,798,1146,33220,2693,299,114,317
906,1670906,Gouveia,257,5012,65999,9106,874,135,1514
912,1670912,Seia,171,2292,81700,8558,357,107,1549
902,1680902,Almeida,22262,296902,89315,1039,3,2210,5729
903,1680903,Celorico da Beira,2936,18080,103758,5101,6,159,2094
904,1680904,Figueira de Castelo Rodrigo,8038,126714,136041,1225,5,102,4796
907,1680907,Guarda,22747,187652,101111,20600,12,500,7410
908,1680908,Manteigas,228,75,5892,1452,0,21,106
909,1680909,Mêda,371,23993,40218,1948,868,61,4030
910,1680910,Pinhel,14594,190385,74708,6641,1129,192,8430
911,1680911,Sabugal,4532,406831,77820,6444,11,315,8562
913,1680913,Trancoso,17502,39205,82379,5359,496,118,6301
502,1690502,Castelo Branco,1796,170697,372067,34062,67,1185,5183
505,1690505,Idanha-a-Nova,45208,960593,436249,14072,35,286,7700
507,1690507,Penamacor,12913,100798,68143,12367,18,139,1857
511,1690511,Vila Velha de Ródão,1568,8638,58258,7075,12,169,475
501,16A0501,Belmonte,4789,10159,57328,2408,13,101,695
503,16A0503,Covilhã,28761,51414,69369,17235,35,314,1760
504,16A0504,Fundão,20523,71528,243691,27184,60,2200,2746
1001,16B1001,Alcobaça,17901,68983,37791,2362,78,48166,1698
