"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip"
"80",408,"1180408","Mogadouro",66,0,121,30,0,0
"81",1706,"1181706","Montalegre",142,0,79,11,0,0
"82",1707,"1181707","Murça",2,0,0,0,0,0
"83",1712,"1181712","Valpaços",187,0,67,0,22,0
"84",1713,"1181713","Vila Pouca de Aguiar",117,0,258,0,0,0
"85",411,"1180411","Vimioso",32,0,41,0,0,0
"86",412,"1180412","Vinhais",14,0,19,0,0,0
"87",101,"1610101","Águeda",9,0,97,93,0,0
"88",102,"1610102","Albergaria-a-Velha",30,0,121,40,0,0
"89",103,"1610103","Anadia",5,0,34,86,0,0
"90",105,"1610105","Aveiro",12,0,70,62,0,0
"91",108,"1610108","Estarreja",2,0,132,40,0,0
"92",110,"1610110","Ílhavo",0,0,51,7,0,0
"93",111,"1610111","Mealhada",9,0,9,73,0,0
"94",112,"1610112","Murtosa",0,0,100,72,0,0
"95",114,"1610114","Oliveira do Bairro",2,0,70,0,2,0
"96",115,"1610115","Ovar",6,0,43,3,0,0
"97",117,"1610117","Sever do Vouga",61,0,18,0,0,0
"98",118,"1610118","Vagos",2,0,227,64,0,0
"99",602,"1620602","Cantanhede",3,0,342,22,0,0
"100",603,"1620603","Coimbra",94,0,16,0,0,0
"101",604,"1620604","Condeixa-a-Nova",49,0,4,0,0,0
"102",605,"1620605","Figueira da Foz",18,0,375,30,23,0
"103",608,"1620608","Mira",0,0,69,28,29,0
"104",610,"1620610","Montemor-o-Velho",135,0,364,42,0,0
"105",613,"1620613","Penacova",19,0,3,0,0,0
"106",615,"1620615","Soure",8,0,21,35,0,0
"107",1004,"1631004","Batalha",2,0,2,0,0,0
"108",1009,"1631009","Leiria",320,0,63,38,198,0
"109",1010,"1631010","Marinha Grande",4,0,4,0,0,0
"110",1015,"1631015","Pombal",140,0,127,30,0,0
"111",1016,"1631016","Porto de Mós",0,0,0,0,0,0
"112",1002,"1641002","Alvaiázere",7,0,64,0,0,0
"113",1003,"1641003","Ansião",0,0,7,0,0,0
"114",601,"1640601","Arganil",16,0,10,0,0,0
"115",1007,"1641007","Castanheira de Pêra",0,0,0,0,0,0
