x,y,Station_ID,Description,Station_type,1981,1984,1985,1991,1992,1993,1993,1993,1993,1994,1995,1995,1996,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016
188589,546548,17/N1,Soajo 1,Furo Vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,2,2.8,,,2,2,,,2,2,,,2,2,,2,2,,,2,,,2,2,,,2,2,,2,2,,2,2,
178843,564242,3/N1,SENHORA DO RIO,Poço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,6.4,4.7,,,5,,,,3.3,3.2,,,5.9,3.6,,4.2,4.6,,,,,,5.5,5.7,,,6.5,4.3,,5.9,3.7,,5.3,4.2,
169257,564720,3/N2,Ponte Sendim,Poço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173253,568002,3/N3,Várzea,Poço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159342,532443,28/N1,Bertiandos,Poço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,4.8,3.3,,,3.4,3.2,,,4.6,2.2,,,3.1,4.2,,3.9,2.5,,,2.9,,,2.6,4,,,3.8,3.3,,3.9,3.4,,3.5,2.8,
167211,528865,41/N1,Fornelos,Poço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175569,485329,98/N1,??? (poucos dados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,55.6,30.2,,,,,,,,,,,,,,,,,,,,,
143974,521955,40/N2,VEIGA DANHA,Furo vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,5.6,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143472,521820,40/N3,VEIGA DANHA,Furo vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,32.3,,,48.1,41.6,,,39.2,39.2,,36,32.9,,,34.5,,,30,31,,,26.9,29,,28.8,27.7,,30.8,29.5,
139382,528630,40/N1,??? (poucos dados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139375,528625,40/1,ALÉM DO RIO,Poço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,16.9,,,,,18.2,16.4,16.3,,,,,,,,,,,,,,,,,,,20,19.7,,19.9,,,30,23,24.9,32.3,24.4,25.1,,,21.7,24,,,26.6,21.5,,,26.1,23.8,,26.2,24.3,,,21.1,,,20,18,,,2,20,,18.6,19.2,,19.1,19.2,
141743,534797,27/N1,??? (poucos dados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151920,533969,27/N2,???? (poucos dados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143374,528871,40/N4,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149004,549554,14/N2,Calvário/Mondarém,Furo vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150939,547697,14/N1,Pardelha,Furo vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5.3,5.9,,,5,6.3,,,6,5.6,,,5.1,5.3,,5.1,5.4,,,5.3,,,4,4.6,,,4.3,,,4.7,4.7,,4.2,4.1,
151607.19,501809.81,68/10,BAÇAR,Poço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,57.1,,,26.6,22,,,,,37.9,,
153466.33,500206.81,69/1,NOVAIS,Poço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,42.9,,,42.6,31,,,,,35.7,,
162493,503742,69/N1,MIDÕES,Poço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,11,15.4,,,12.9,15,,,13.9,13.9,13.3,,23.3,13.4,,21.8,,,,18.7,,,31,,,,,,,,,,,,
