Longitude,Latitude,WaterbaseID,NationalStationID,Year,Minimum,Mean,Maximum,Median
-8.68162,41.6399,PT_RV_04E/07,04E/07,2007,0.565,1.9045,2.6216,2.0566
-8.43154,41.6094,PT_RV_04G/07,04G/07,2007,0.9944,1.33792,2.0114,1.2656
-8.40003,41.6546,PT_RV_04G/10,04G/10,2007,0.5876,0.815634,1.2204,0.791
-9.17761,39.4018,PT_RV_17B/03,17B/03,2007,0.226,0.53675,1.0848,0.4181
-8.52668,39.4657,PT_RV_17F/02,17F/02,2007,0.904,1.4464,1.7402,1.469
-8.29317,41.0821,PT_RV_07H/06,07H/06,2007,0.7684,1.14514,1.5368,1.0961
-8.71884,38.8488,PT_RV_20E/02,20E/02,2007,0.3842,1.06966,1.808,1.1074
-8.45895,38.9943,PT_RV_20G/01,20G/01,2007,0.2147,0.379906,0.565,0.3729
-8.61733,38.768,PT_RV_21F/01,21F/01,2007,0.3616,1.71489,2.938,1.4916
-8.3835,37.9412,PT_RV_26G/05,26G/05,2007,0.8588,1.3221,2.1696,1.13
-7.63305,37.8057,PT_RV_27L/01,27L/01,2007,0.7006,1.03214,1.6724,0.9153
-8.65774,39.3859,PT_RV_17F/03,17F/03,2007,2.26,3.616,7.232,2.938
-8.39444,42.0756,PT_RV_01G/02,01G/02,2007,0.4972,0.75597,0.9492,0.8136
-8.49921,42.0774,PT_RV_01G/03,01G/03,2007,1.3786,2.147,2.712,2.147
-8.69029,41.8785,PT_RV_02E/01,02E/01,2007,1.13,1.1413,1.1526,1.1413
-8.42164,41.8097,PT_RV_03G/06,03G/06,2007,0.4972,0.72998,1.3108,0.6554
-8.68809,41.389,PT_RV_05E/01,05E/01,2007,6.102,6.102,6.102,6.102
-8.55847,41.3451,PT_RV_05F/03,05F/03,2007,2.1696,2.60284,3.164,2.5312
-8.27476,41.3699,PT_RV_05H/02,05H/02,2007,1.921,2.38814,2.8928,2.4069
-8.18489,41.4615,PT_RV_05H/04,05H/04,2007,1.017,1.37679,1.8532,1.3334
-8.64722,41.2363,PT_RV_06F/02,06F/02,2007,2.4182,2.8024,3.1866,2.8024
-8.39593,41.2599,PT_RV_06G/07,06G/07,2007,2.9154,4.0393,5.1754,4.1132
