"Muni_ID","ID","Muni","Ewes","Other_ovine"
1601,"1111601","Arcos de Valdevez",881.770666666667,288.256
1602,"1111602","Caminha",152.213333333333,125.525333333333
1603,"1111603","Melgaço",493.610666666667,185.792
1604,"1111604","Monção",1175.27466666667,345.962666666667
1605,"1111605","Paredes de Coura",759.210666666667,160.576
1606,"1111606","Ponte da Barca",147.370666666667,30.0586666666667
1607,"1111607","Ponte de Lima",737.770666666667,239.189333333333
1608,"1111608","Valença",358.378666666667,117.290666666667
1609,"1111609","Viana do Castelo",289.6,90.6026666666667
1610,"1111610","Vila Nova de Cerveira",170.56,74.0266666666667
301,"1120301","Amares",164.629333333333,34.5173333333333
302,"1120302","Barcelos",244.181333333333,91.2853333333333
303,"1120303","Braga",217.066666666667,36.9493333333333
306,"1120306","Esposende",39.5093333333333,17.3866666666667
310,"1120310","Terras de Bouro",61.4826666666667,13.0773333333333
313,"1120313","Vila Verde",693.141333333333,132.138666666667
307,"1130307","Fafe",386.538666666667,83.456
308,"1130308","Guimarães",122.965333333333,16.448
309,"1130309","Póvoa de Lanhoso",199.808,38.8266666666667
1314,"1131314","Santo Tirso",166.101333333333,63.9146666666667
1318,"1131318","Trofa",42.88,15.6373333333333
311,"1130311","Vieira do Minho",378.048,82.5173333333333
312,"1130312","Vila Nova de Famalicão",87.36,29.9306666666667
314,"1130314","Vizela",10.112,2.02666666666667
107,"1140107","Espinho",2.688,0.277333333333333
1304,"1141304","Gondomar",146.026666666667,40.7253333333333
1306,"1141306","Maia",58.6453333333333,20.5013333333333
1308,"1141308","Matosinhos",34.3893333333333,18.0693333333333
1312,"1141312","Porto",2.96533333333333,0.938666666666667
1313,"1141313","Póvoa de Varzim",24.8106666666667,3.09333333333333
1315,"1141315","Valongo",57.984,8.08533333333333
1316,"1141316","Vila do Conde",75.904,22.1013333333333
1317,"1141317","Vila Nova de Gaia",95.872,24.5333333333333
1301,"1151301","Amarante",391.68,129.024
1302,"1151302","Baião",448.832,257.386666666667
304,"1150304","Cabeceiras de Basto",438.869333333333,65.2586666666667
106,"1150106","Castelo de Paiva",275.456,139.818666666667
305,"1150305","Celorico de Basto",317.376,63.36
1804,"1151804","Cinfães",650.410666666667,309.696
1303,"1151303","Felgueiras",47.7226666666667,12.2666666666667
1305,"1151305","Lousada",98.56,20.6293333333333
1307,"1151307","Marco de Canaveses",425.792,166.506666666667
1705,"1151705","Mondim de Basto",49.216,14.016
1309,"1151309","Paços de Ferreira",131.733333333333,81.7066666666667
1310,"1151310","Paredes",203.989333333333,45.696
1311,"1151311","Penafiel",249.024,31.1466666666667
1813,"1151813","Resende",172.586666666667,74.56
1709,"1151709","Ribeira de Pena",83.1786666666667,20.6293333333333
104,"1160104","Arouca",304.576,126.741333333333
113,"1160113","Oliveira de Azeméis",52.3093333333333,27.3706666666667
109,"1160109","Santa Maria da Feira",128.490666666667,52.3093333333333
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",120.128,47.7226666666667
1701,"1171701","Alijó",193.344,15.232
1801,"1171801","Armamar",63.104,5.93066666666667
403,"1170403","Carrazeda de Ansiães",538.090666666667,29.12
404,"1170404","Freixo de Espada à Cinta",622.762666666667,41.536
1805,"1171805","Lamego",257.664,47.0613333333333
1704,"1171704","Mesão Frio",2.28266666666667,0.533333333333333
1807,"1171807","Moimenta da Beira",318.72,48.9386666666667
1812,"1171812","Penedono",309.418666666667,40.8533333333333
1708,"1171708","Peso da Régua",67.136,5.39733333333333
1710,"1171710","Sabrosa",105.984,11.0506666666667
1711,"1171711","Santa Marta de Penaguião",52.1813333333333,8.08533333333333
1815,"1171815","São João da Pesqueira",239.317333333333,24.5333333333333
1818,"1171818","Sernancelhe",330.730666666667,39.6373333333333
1819,"1171819","Tabuaço",143.445333333333,15.9146666666667
1820,"1171820","Tarouca",69.0346666666667,14.1653333333333
409,"1170409","Torre de Moncorvo",1593.51466666667,130.368
410,"1170410","Vila Flor",648.106666666667,85.0773333333333
914,"1170914","Vila Nova de Foz Côa",677.781333333333,31.8293333333333
1714,"1171714","Vila Real",693.013333333333,78.208
401,"1180401","Alfândega da Fé",899.968,60.1386666666667
1702,"1181702","Boticas",410.538666666667,32.0853333333333
402,"1180402","Bragança",4574.67733333333,850.346666666667
1703,"1181703","Chaves",2118.80533333333,418.773333333333
405,"1180405","Macedo de Cavaleiros",2517.48266666667,283.818666666667
406,"1180406","Miranda do Douro",2106.13333333333,486.997333333333
407,"1180407","Mirandela",2207.25333333333,245.653333333333
408,"1180408","Mogadouro",2693.44,488.618666666667
1706,"1181706","Montalegre",979.114666666667,159.765333333333
1707,"1181707","Murça",164.352,9.83466666666667
1712,"1181712","Valpaços",1420.672,197.653333333333
1713,"1181713","Vila Pouca de Aguiar",774.72,137.109333333333
411,"1180411","Vimioso",1302.42133333333,186.602666666667
412,"1180412","Vinhais",2079.97866666667,467.584
101,"1610101","Águeda",282.048,103.957333333333
102,"1610102","Albergaria-a-Velha",69.9733333333333,7.68
103,"1610103","Anadia",129.706666666667,38.6986666666667
105,"1610105","Aveiro",64.448,31.68
108,"1610108","Estarreja",78.0586666666667,13.76
110,"1610110","Ílhavo",5.93066666666667,2.15466666666667
111,"1610111","Mealhada",52.3093333333333,15.36
112,"1610112","Murtosa",20.6293333333333,6.61333333333333
114,"1610114","Oliveira do Bairro",40.448,8.61866666666667
115,"1610115","Ovar",23.7226666666667,5.52533333333333
117,"1610117","Sever do Vouga",48.8106666666667,17.3866666666667
118,"1610118","Vagos",46.5066666666667,12.672
602,"1620602","Cantanhede",102.997333333333,35.8613333333333
603,"1620603","Coimbra",290.154666666667,62.2933333333333
604,"1620604","Condeixa-a-Nova",199.274666666667,62.8266666666667
605,"1620605","Figueira da Foz",251.456,35.9893333333333
608,"1620608","Mira",4.05333333333333,1.62133333333333
610,"1620610","Montemor-o-Velho",625.856,89.2586666666667
613,"1620613","Penacova",264.789333333333,103.68
615,"1620615","Soure",433.877333333333,67.6906666666667
1004,"1631004","Batalha",89.3866666666667,32.3626666666667
1009,"1631009","Leiria",462.997333333333,173.653333333333
1010,"1631010","Marinha Grande",26.688,6.61333333333333
1015,"1631015","Pombal",832.426666666667,263.594666666667
1016,"1631016","Porto de Mós",431.168,113.258666666667
1002,"1641002","Alvaiázere",284.352,43.5413333333333
1003,"1641003","Ansião",608.213333333333,84.2666666666667
601,"1640601","Arganil",293.525333333333,71.1893333333333
