Muni_ID,ID,Muni,storage09,storage09_nha
1601,1111601,Arcos de Valdevez,20048,1.084960861
1602,1111602,Caminha,14707,4.467492023
1603,1111603,Melgaço,6367,0.402724095
1604,1111604,Monção,13902,2.044043498
1605,1111605,Paredes de Coura,18085,4.579732261
1606,1111606,Ponte da Barca,20966,5.474278043
1607,1111607,Ponte de Lima,51555,5.830643249
1608,1111608,Valença,7523,2.726819606
1609,1111609,Viana do Castelo,35829,5.06556438
1610,1111610,Vila Nova de Cerveira,3050,2.221421225
301,1120301,Amares,35353,18.33664097
302,1120302,Barcelos,89137,8.114451604
303,1120303,Braga,25123,6.810143976
306,1120306,Esposende,16950,8.04833574
310,1120310,Terras de Bouro,11666,1.719072716
313,1120313,Vila Verde,28573,5.598202877
307,1130307,Fafe,59262,19.59070184
308,1130308,Guimarães,43965,10.22913856
309,1130309,Póvoa de Lanhoso,9708,4.775131612
1314,1131314,Santo Tirso,8430,3.877735659
1318,1131318,Trofa,30988,19.3553467
311,1130311,Vieira do Minho,9232,1.55995271
312,1130312,Vila Nova de Famalicão,30083,5.647211463
314,1130314,Vizela,1223,2.890719365
107,1140107,Espinho,608,8.692351419
1304,1141304,Gondomar,5374,4.430115275
1306,1141306,Maia,11259,6.549544951
1308,1141308,Matosinhos,5829,5.081854398
1312,1141312,Porto,110,2.681010954
1313,1141313,Póvoa de Varzim,23176,6.968036342
1315,1141315,Valongo,77460,117.8997005
1316,1141316,Vila do Conde,40067,6.57478798
1317,1141317,Vila Nova de Gaia,3410,3.615871364
1301,1151301,Amarante,12614,1.441902772
1302,1151302,Baião,8350,1.72168677
304,1150304,Cabeceiras de Basto,19973,3.567950558
106,1150106,Castelo de Paiva,5924,4.400866277
305,1150305,Celorico de Basto,12521,3.875344069
1804,1151804,Cinfães,8059,1.809059619
1303,1151303,Felgueiras,15125,5.190559036
1305,1151305,Lousada,8148,3.406226105
1307,1151307,Marco de Canaveses,6390,1.987421631
1705,1151705,Mondim de Basto,5079,0.95037502
1309,1151309,Paços de Ferreira,5666,5.506704437
1310,1151310,Paredes,9898,4.961378994
1311,1151311,Penafiel,9239,2.814049307
1813,1151813,Resende,4364,1.280819912
1709,1151709,Ribeira de Pena,7799,1.063232078
104,1160104,Arouca,12319,2.763883994
113,1160113,Oliveira de Azeméis,16536,10.31541318
109,1160109,Santa Maria da Feira,6967,5.61858885
116,1160116,São João da Madeira,121,0
119,1160119,Vale de Cambra,11379,6.078305042
1701,1171701,Alijó,3617,0.419266394
1801,1171801,Armamar,1498,0.330149915
403,1170403,Carrazeda de Ansiães,3161,0.465124621
404,1170404,Freixo de Espada à Cinta,1358,0.188807284
1805,1171805,Lamego,3220,0.596918944
1704,1171704,Mesão Frio,302,0.281033354
1807,1171807,Moimenta da Beira,15409,3.645453794
1812,1171812,Penedono,4011,1.160383483
1708,1171708,Peso da Régua,1499,0.357257919
1710,1171710,Sabrosa,34876,6.861290369
1711,1171711,Santa Marta de Penaguião,1113,0.310668149
1815,1171815,São João da Pesqueira,1448,0.110488602
1818,1171818,Sernancelhe,23029,4.536004604
1819,1171819,Tabuaço,1583,0.386952036
1820,1171820,Tarouca,13054,6.932360458
409,1170409,Torre de Moncorvo,19093,1.334062899
410,1170410,Vila Flor,2456,0.265050597
914,1170914,Vila Nova de Foz Côa,935,0.073627487
1714,1171714,Vila Real,29361,2.776201674
401,1180401,Alfândega da Fé,2868,0.243870766
1702,1181702,Boticas,25511,1.842384223
402,1180402,Bragança,19443,0.539623856
1703,1181703,Chaves,71515,3.67120612
405,1180405,Macedo de Cavaleiros,33378,1.53089194
406,1180406,Miranda do Douro,16509,0.756860896
407,1180407,Mirandela,40025,1.611684878
408,1180408,Mogadouro,23462,0.715382043
1706,1181706,Montalegre,25866,0.469723051
1707,1181707,Murça,3067,0.645489605
1712,1181712,Valpaços,17336,0.789384227
1713,1181713,Vila Pouca de Aguiar,24705,2.141165443
411,1180411,Vimioso,8478,0.584402663
412,1180412,Vinhais,14549,0.830790194
101,1610101,Águeda,35646,18.73134095
102,1610102,Albergaria-a-Velha,63718,30.29881459
103,1610103,Anadia,27909,8.098833248
105,1610105,Aveiro,5728,2.363031421
108,1610108,Estarreja,13047,4.111848658
110,1610110,Ílhavo,23128,28.13648227
111,1610111,Mealhada,26417,15.46677574
112,1610112,Murtosa,6285,4.373773688
114,1610114,Oliveira do Bairro,5340,3.001882242
115,1610115,Ovar,32862,19.64230566
117,1610117,Sever do Vouga,53628,82.75978076
118,1610118,Vagos,13700,5.455852107
602,1620602,Cantanhede,27134,4.698577855
603,1620603,Coimbra,11862,2.2847163
604,1620604,Condeixa-a-Nova,2422,1.271895901
605,1620605,Figueira da Foz,21198,3.847945999
