agrarian_region_id,agrarian_region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Entre Douro e Minho,1,920,922,921,903,894,891,879,879,879,879,906,934,961,989,1016,1044,1071,1102,1131,1159,1908,2058,2068,2066,2408,2492,2607,2607,2646,2659,2659,2658,2657
Trás-os-Montes,2,80450,80491,80472,80433,80159,79748,78839,78779,78779,78779,78917,79054,79192,79330,79468,79605,79502,79404,79292,79193,78005,77159,75731,74310,73758,73204,67466,61815,61513,61729,61645,61449,61335
Beira Litoral,3,17025,15797,15797,15797,15797,15797,15797,15797,14817,15797,15891,16006,16206,16506,16996,17504,22004,26004,28104,28441,15193,15193,15180,15130,14740,14983,15154,15207,15299,15439,15438,15435,15433
Beira Interior,4,48777,48777,49097,49097,49142,49127,49127,49022,49022,49017,50399,50991,51780,53082,54353,57400,59050,61201,63146,64471,58433,53930,54040,54000,55276,55924,58355,58556,58989,59301,59230,59152,59069
Ribatejo e Oeste,5,26403,26479,26403,26403,26403,25589,25587,25587,25585,25585,27323,29062,30800,32539,34277,36016,37754,39493,41231,40635,41416,41962,41902,40160,43704,43882,45309,45507,47252,48725,48719,48730,48722
Alentejo,6,178679,177543,174639,169869,171140,171829,168295,166868,165386,165391,164872,162413,160052,157076,152263,149593,145769,145538,145580,146266,144759,140555,140143,139918,143157,142446,142413,142419,143838,144957,144863,144741,144632
Algarve,7,8924,8877,8854,8839,8816,8789,8769,8752,8752,8752,8831,8909,8909,8905,8903,8902,8890,8864,8867,8867,7557,7557,7557,7560,7629,7648,7644,7646,7652,7705,7707,7670,7663
