Livestock_class,Livestock_subclass,INE_param_id,var_id
Bovine,Non_dairy,4431,2232
Bovine,Dairy,4431,2231
Bovine,Female_calf<1,4431,122
Bovine,Male_calf<1,4431,11+121
Bovine,Male_calf_1-2,4431,211
Bovine,Female_calf_1-2,4431,212
Bovine,Male_calf_+2,4431,221
Bovine,Heifer_beef_+2,4431,2221
Bovine,Heifer_rep_+2,4431,2222
Goats,Does,4541,1
Goats,Other_caprine,4541,2
Poultry,Broilers,4591,1
Poultry,Laying_hens,4591,2
Poultry,Rep_hens,4591,2
Poultry,Turkeys,4591,3
Poultry,Ducks,4591,4
Poultry,Geese,4591,5
Equides,Horses,4565,1
Equides,Other_equidae,4565,2
Rabbits,Rabbits,4606,1
Rabbits,Other_rabbits,4606,2
Swine,Pregnant_sows,4475,2
Swine,Non_pregnant_sows,4475,2
Swine,Boars,4475,
Swine,Pigs_20-50,4475,1
Swine,Pigs_+50,4475,3
Swine,Other_swine,4475,4
Sheep,Ewes,4541,1
Sheep,Other_ovine,4541,2
