GW_ID,HU
1,Massif
2,Massif
3,Western
4,Western
5,Massif
6,Western
7,Western
8,Western
9,Western
10,Massif
11,Tagus-Sado
12,Tagus-Sado
13,Tagus-Sado
14,Meridional
15,Western
16,Meridional
17,Western
18,Western
19,Western
20,Western
21,Western
22,Western
23,Western
24,Western
25,Western
26,Western
27,Western
28,Massif
29,Tagus-Sado
30,Massif
31,Western
32,Massif
33,Tagus-Sado
34,Tagus-Sado
35,Western
36,Western
37,Western
38,Tagus-Sado
39,Tagus-Sado
40,Massif
41,Tagus-Sado
42,Meridional
43,Tagus-Sado
44,Tagus-Sado
45,Tagus-Sado
46,Tagus-Sado
47,Meridional
48,Massif
49,Meridional
50,Meridional
51,Western
52,Massif
53,Massif
54,Massif
55,Massif
56,Massif
57,Meridional
58,Meridional
59,Massif
60,Meridional
61,Meridional
62,Meridional
63,Western
64,Massif
65,Meridional
66,Tagus-Sado
67,Western
68,Meridional
69,Meridional
70,Meridional
71,Meridional
72,Meridional
73,Massif
74,Western
75,Meridional
76,Meridional
77,Meridional
78,Meridional
79,Massif
80,Meridional
81,Western
82,Meridional
83,Meridional
84,Meridional
85,Tagus-Sado
86,Western
87,Western
88,Western
89,Western
90,Massif
91,Western
92,Meridional
93,Massif
