main_hydro,GW_ID
western,3
western,4
western,6
western,7
western,8
western,9
western,15
western,17
western,18
western,19
western,20
western,21
western,22
western,23
western,24
western,25
western,26
western,27
western,29
western,31
western,33
western,34
western,35
western,36
western,37
western,38
western,44
western,45
western,46
western,51
western,63
western,74
western,81
western,85
western,86
western,87
western,88
western,89
western,91
western,11
western,33
western,45
western,11
western,12
western,41
western,45
western,66
western,67
