year,AN_ktN,AP_ktN,AS_ktN,CAN_ktN,Urea_ktN,OtherNK.NPK_ktN,OtherN_ktN,fert_ktN
1989,0,13.28,17.72,46.13,13.35,49.54,18.49,158.51
1990,0,13.28,17.72,46.13,13.35,49.54,18.49,158.51
1991,0,13.28,17.72,46.13,13.35,49.54,18.49,158.51
1992,0,13.28,17.72,46.13,13.35,49.54,18.49,158.51
1993,0,13.28,17.72,46.13,13.35,49.54,18.49,158.51
1994,0,13.28,17.72,46.13,13.35,49.54,18.49,158.51
1995,0,16.75,25.4,40.67,7.06,40.76,15.18,145.82
1996,0,15.74,26.7,52.91,14.07,42.54,16.26,168.22
1997,0,12.4,20.43,52.45,15.26,43.45,20.3,164.29
1998,0,12.6,19.84,53.21,7.75,36.29,19.6,149.29
1999,0,14.34,12.45,42.77,14.51,46.45,18.43,148.95
2000,0,11.83,14.47,45.72,20.52,57.74,19.72,170
2001,0,10.52,10.92,38.78,17.53,59.1,20.67,157.52
2002,0,12.04,11.58,42.5,10.07,69.99,17.73,163.91
2003,0,9.1,10.31,35.89,9.23,30.64,14.96,110.13
2004,0,8.55,10.27,43.31,8.2,37,18.51,125.84
2005,0,0,10.3,29.68,11.85,39.94,10.9,102.67
2006,0,0,4.22,19.21,20.45,33.76,9.76,87.4
2007,0,0,5.86,34.63,21.98,41.1,0.43,104
2008,0,0,2.54,26.75,26.01,28.97,20.86,105.13
2009,0,1.01,1.95,27.18,24.06,16.09,22.71,93
2010,4.01,0.54,3.06,34.99,13.85,24.9,18.9,100.25
2011,4.18,0.21,0,23.49,22.19,23.13,21.89,95.09
2012,3.7,1.37,0,17.62,20.88,17.19,46.1,106.86
2013,7.7,2.04,0,25.38,15.57,24.57,35.39,110.65
2014,4.63,1.17,1.2,18.55,25.4,31.87,48.81,131.63
2015,0.67,0.58,1.8,17.89,30.52,27.97,38.48,117.91
2016,0.85,1.71,1.91,19.5,29.71,24.89,26.88,105.45
2017,0.77,1.86,1.21,15.67,29.17,24.45,28.36,101.49
