"Muni_ID","ID","Muni","GNB"
1601,"1111601","Arcos de Valdevez",184473.56
1602,"1111602","Caminha",89815.77
1603,"1111603","Melgaço",52604.81
1604,"1111604","Monção",97828.78
1605,"1111605","Paredes de Coura",123966.29
1606,"1111606","Ponte da Barca",132744.73
1607,"1111607","Ponte de Lima",270628.99
1608,"1111608","Valença",8945.09
1609,"1111609","Viana do Castelo",174315.84
1610,"1111610","Vila Nova de Cerveira",3832.87
301,"1120301","Amares",295115.84
302,"1120302","Barcelos",230601.03
303,"1120303","Braga",327631.6
306,"1120306","Esposende",185901.53
310,"1120310","Terras de Bouro",214208.26
313,"1120313","Vila Verde",162501.74
307,"1130307","Fafe",557296.63
308,"1130308","Guimarães",547502.52
309,"1130309","Póvoa de Lanhoso",83057.83
1314,"1131314","Santo Tirso",72476.84
1318,"1131318","Trofa",164781.08
311,"1130311","Vieira do Minho",6823.21
312,"1130312","Vila Nova de Famalicão",106296.57
314,"1130314","Vizela",67931.26
107,"1140107","Espinho",5005.41
1304,"1141304","Gondomar",131224.54
1306,"1141306","Maia",52263.84
1308,"1141308","Matosinhos",18560.62
1312,"1141312","Porto",7529.11
1313,"1141313","Póvoa de Varzim",290537.31
1315,"1141315","Valongo",563889.62
1316,"1141316","Vila do Conde",-17103.66
1317,"1141317","Vila Nova de Gaia",126234.79
1301,"1151301","Amarante",369969.31
1302,"1151302","Baião",84563.68
304,"1150304","Cabeceiras de Basto",147210.82
106,"1150106","Castelo de Paiva",109095.4
305,"1150305","Celorico de Basto",283776.03
1804,"1151804","Cinfães",169720.76
1303,"1151303","Felgueiras",73252.1
1305,"1151305","Lousada",296892.87
1307,"1151307","Marco de Canaveses",206504.44
1705,"1151705","Mondim de Basto",131387.77
1309,"1151309","Paços de Ferreira",60278.92
1310,"1151310","Paredes",127215.87
1311,"1151311","Penafiel",276343.96
1813,"1151813","Resende",18792.8
1709,"1151709","Ribeira de Pena",134358.25
104,"1160104","Arouca",32453.28
113,"1160113","Oliveira de Azeméis",65240.31
109,"1160109","Santa Maria da Feira",3575.05
116,"1160116","São João da Madeira",936
119,"1160119","Vale de Cambra",36770.82
1701,"1171701","Alijó",150750.23
1801,"1171801","Armamar",102348.92
403,"1170403","Carrazeda de Ansiães",93259.46
404,"1170404","Freixo de Espada à Cinta",550040.43
1805,"1171805","Lamego",26134.5
1704,"1171704","Mesão Frio",61735.66
1807,"1171807","Moimenta da Beira",98451.42
1812,"1171812","Penedono",337928.67
1708,"1171708","Peso da Régua",80130.61
1710,"1171710","Sabrosa",263991.42
1711,"1171711","Santa Marta de Penaguião",68735.83
1815,"1171815","São João da Pesqueira",708277.62
1818,"1171818","Sernancelhe",157950.59
1819,"1171819","Tabuaço",134530.14
1820,"1171820","Tarouca",93771.86
409,"1170409","Torre de Moncorvo",844068.6
410,"1170410","Vila Flor",550431.21
914,"1170914","Vila Nova de Foz Côa",1102884.38
1714,"1171714","Vila Real",193679.31
401,"1180401","Alfândega da Fé",1165706.63
1702,"1181702","Boticas",140087.9
402,"1180402","Bragança",1603159.17
1703,"1181703","Chaves",291580.06
405,"1180405","Macedo de Cavaleiros",479149.56
406,"1180406","Miranda do Douro",60423.74
407,"1180407","Mirandela",901539.68
408,"1180408","Mogadouro",552528.07
1706,"1181706","Montalegre",66526.86
1707,"1181707","Murça",98830.39
1712,"1181712","Valpaços",1188940.77
1713,"1181713","Vila Pouca de Aguiar",134805.18
411,"1180411","Vimioso",289391.66
412,"1180412","Vinhais",1150391.26
101,"1610101","Águeda",96517.41
102,"1610102","Albergaria-a-Velha",288562.5
103,"1610103","Anadia",157991.7
105,"1610105","Aveiro",271313.32
108,"1610108","Estarreja",6169.19
110,"1610110","Ílhavo",113459.61
