"Muni_ID","ID","Muni","GNB"
713,"1830713","Viana do Alentejo",-1.4
714,"1830714","Vila Viçosa",12.16
201,"1840201","Aljustrel",73.4
202,"1840202","Almodôvar",2.91
203,"1840203","Alvito",11.28
204,"1840204","Barrancos",4.64
205,"1840205","Beja",53.96
206,"1840206","Castro Verde",23.09
207,"1840207","Cuba",23.52
208,"1840208","Ferreira do Alentejo",28.62
209,"1840209","Mértola",1.06
210,"1840210","Moura",29.44
212,"1840212","Ourique",2.37
213,"1840213","Serpa",38.87
214,"1840214","Vidigueira",52.34
1403,"1851403","Almeirim",126.05
1404,"1851404","Alpiarça",166.01
1103,"1851103","Azambuja",52.9
1405,"1851405","Benavente",20.67
1406,"1851406","Cartaxo",243.12
1407,"1851407","Chamusca",43.96
1409,"1851409","Coruche",25.48
1412,"1851412","Golegã",240.44
1414,"1851414","Rio Maior",127.23
1415,"1851415","Salvaterra de Magos",53.8
1416,"1851416","Santarém",29.28
801,"1500801","Albufeira",147.36
802,"1500802","Alcoutim",62.42
803,"1500803","Aljezur",15.1
804,"1500804","Castro Marim",71.8
805,"1500805","Faro",220.18
806,"1500806","Lagoa",7.03
807,"1500807","Lagos",27.53
808,"1500808","Loulé",128.18
809,"1500809","Monchique",44.37
810,"1500810","Olhão",216.14
811,"1500811","Portimão",18.25
812,"1500812","São Brás de Alportel",64.36
813,"1500813","Silves",105.74
814,"1500814","Tavira",115.36
815,"1500815","Vila do Bispo",18.07
816,"1500816","Vila Real de Santo António",31.99
