"","hu_id","1999","2009","dif_uaa","dif_uaa_prct"
"1","Massif",2894626.17082398,2789905.39962597,-104720.771198004,-3.61776495540338
"2","Western",246392.283964515,184344.965771571,-62047.3181929439,-25.1823300610663
"3","Tagus-Sado",535624.512877733,517712.488398284,-17912.0244794488,-3.34413830002168
"4","Western",246392.283964515,184344.965771571,-62047.3181929439,-25.1823300610663
"5","Western",246392.283964515,184344.965771571,-62047.3181929439,-25.1823300610663
"6","Meridional",59068.6137484014,49830.7473706007,-9237.8663778007,-15.6392130974137
