"","gw.GW_ID","V2"
"1",1,"Massif"
"2",2,"Massif"
"3",3,"Western"
"4",4,"Western"
"5",5,"Massif"
"6",6,"Western"
"7",7,"Western"
"8",8,"Western"
"9",9,"Western"
"10",10,"Massif"
"11",11,"Tagus-Sado"
"12",12,"Tagus-Sado"
"13",13,"Tagus-Sado"
"14",14,"Meridional"
"15",15,"Western"
"16",16,"Meridional"
"17",17,"Western"
"18",18,"Western"
"19",19,"Western"
"20",20,"Western"
"21",21,"Western"
"22",22,"Western"
"23",23,"Western"
"24",24,"Western"
"25",25,"Western"
"26",26,"Western"
"27",27,"Western"
"28",28,"Massif"
"29",29,"Tagus-Sado"
"30",30,"Massif"
"31",31,"Western"
"32",32,"Massif"
"33",33,"Tagus-Sado"
"34",34,"Tagus-Sado"
"35",35,"Western"
"36",36,"Western"
"37",37,"Western"
"38",38,"Tagus-Sado"
"39",39,"Tagus-Sado"
"40",40,"Massif"
"41",41,"Tagus-Sado"
"42",42,"Meridional"
"43",43,"Tagus-Sado"
"44",44,"Tagus-Sado"
"45",45,"Tagus-Sado"
"46",46,"Tagus-Sado"
"47",47,"Meridional"
"48",48,"Massif"
"49",49,"Meridional"
"50",50,"Meridional"
"51",51,"Western"
"52",52,"Massif"
"53",53,"Massif"
"54",54,"Massif"
"55",55,"Massif"
"56",56,"Massif"
"57",57,"Meridional"
"58",58,"Meridional"
"59",59,"Massif"
"60",60,"Meridional"
"61",61,"Meridional"
"62",62,"Meridional"
"63",63,"Western"
"64",64,"Massif"
"65",65,"Meridional"
"66",66,"Tagus-Sado"
"67",67,"Western"
"68",68,"Meridional"
"69",69,"Meridional"
"70",70,"Meridional"
"71",71,"Meridional"
"72",72,"Meridional"
"73",73,"Massif"
"74",74,"Western"
"75",75,"Meridional"
"76",76,"Meridional"
"77",77,"Meridional"
"78",78,"Meridional"
"79",79,"Massif"
"80",80,"Meridional"
"81",81,"Western"
"82",82,"Meridional"
"83",83,"Meridional"
"84",84,"Meridional"
"85",85,"Tagus-Sado"
"86",86,"Western"
"87",87,"Western"
"88",88,"Western"
"89",89,"Western"
"90",90,"Massif"
"91",91,"Western"
"92",92,"Meridional"
"93",93,"Massif"
