CAA_ID,agua_leg,surface_id,GW_ID
"4",Aguas interiores,"4426","22"
"11",Zonas humidas interiores,"335","22"
"11",Zonas humidas interiores,"336","22"
"11",Aguas interiores,"4397","22"
"11",Aguas interiores,"4405","22"
"17",Aguas interiores,"4388","6"
"28",Aguas interiores,"4368","27"
"28",Aguas interiores,"4370","27"
"30",Zonas humidas interiores,"326","21"
"30",Zonas humidas interiores,"326","27"
"30",Zonas humidas interiores,"329","21"
"30",Zonas humidas interiores,"329","27"
"32",Aguas interiores,"4361","22"
"32",Aguas interiores,"4363","22"
"32",Aguas interiores,"4365","22"
"36",Zonas humidas interiores,"318","27"
"36",Zonas humidas interiores,"319","27"
"60",Aguas interiores,"4462","6"
"63",Aguas interiores,"4451","6"
"65",Aguas interiores,"4446","6"
"67",Aguas interiores,"4433","6"
"68",Aguas interiores,"4435","6"
"68",Aguas interiores,"4440","6"
"81",Aguas interiores,"4314","6"
"90",Aguas interiores,"4532","3"
"99",Aguas interiores,"4532","3"
"109",Aguas interiores,"4513","3"
"109",Aguas interiores,"4521","3"
"133",Aguas interiores,"4414","21"
"133",Aguas interiores,"4414","27"
"133",Aguas interiores,"4417","21"
"133",Aguas interiores,"4417","27"
"133",Aguas interiores,"4421","21"
"133",Aguas interiores,"4421","27"
"133",Aguas interiores,"4422","21"
"133",Aguas interiores,"4422","27"
"133",Aguas interiores,"4430","21"
"133",Aguas interiores,"4430","27"
"138",Aguas de transicao,"85","21"
"140",Aguas de transicao,"81","21"
"141",Aguas interiores,"4404","21"
"145",Zonas humidas interiores,"329","21"
"145",Zonas humidas interiores,"329","27"
"146",Zonas humidas interiores,"325","21"
"162",Aguas interiores,"4530","3"
"175",Aguas interiores,"4533","4"
"175",Aguas interiores,"4534","4"
"184",Zonas humidas interiores,"337","27"
"184",Zonas humidas litorais,"750","27"
"184",Zonas humidas litorais,"751","27"
"214",Aguas interiores,"4524","3"
"223",Aguas interiores,"4512","6"
"226",Aguas interiores,"4512","6"
"227",Aguas interiores,"4512","6"
"242",Zonas humidas litorais,"725","21"
"242",Zonas humidas litorais,"725","27"
"243",Zonas humidas litorais,"720","21"
"243",Zonas humidas litorais,"720","27"
"243",Zonas humidas litorais,"721","21"
"243",Zonas humidas litorais,"721","27"
"243",Zonas humidas litorais,"722","21"
"243",Zonas humidas litorais,"722","27"
"243",Zonas humidas litorais,"723","21"
"243",Zonas humidas litorais,"723","27"
"244",Zonas humidas litorais,"716","21"
"244",Zonas humidas litorais,"716","27"
"244",Zonas humidas litorais,"719","21"
"244",Zonas humidas litorais,"719","27"
"245",Aguas de transicao,"72","21"
"245",Zonas humidas litorais,"715","21"
"245",Zonas humidas litorais,"717","21"
"245",Zonas humidas litorais,"720","21"
"246",Aguas de transicao,"77","21"
"246",Aguas de transicao,"77","27"
"246",Zonas humidas litorais,"721","21"
"246",Zonas humidas litorais,"721","27"
"246",Zonas humidas litorais,"722","21"
"246",Zonas humidas litorais,"722","27"
"246",Zonas humidas litorais,"723","21"
"246",Zonas humidas litorais,"723","27"
"246",Zonas humidas litorais,"728","21"
"246",Zonas humidas litorais,"728","27"
"263",Zonas humidas litorais,"749","21"
"263",Zonas humidas litorais,"749","27"
"263",Zonas humidas litorais,"757","21"
"263",Zonas humidas litorais,"757","27"
"263",Zonas humidas litorais,"759","21"
"263",Zonas humidas litorais,"759","27"
"286",Aguas interiores,"4472","6"
"286",Aguas interiores,"4474","6"
"289",Aguas interiores,"4472","6"
"289",Aguas interiores,"4474","6"
"310",Zonas humidas interiores,"317","21"
"314",Aguas marinhas e costeiras,"4788","27"
"314",Aguas marinhas e costeiras,"4789","27"
"314",Aguas marinhas e costeiras,"4790","27"
"331",Aguas de transicao,"94","27"
"332",Aguas de transicao,"95","21"
"332",Aguas de transicao,"95","27"
"333",Aguas de transicao,"94","27"
