CAA_ID,agua_leg,surface_id,GW_ID,area
5,Aguas interiores,4112,85,55.469
25,Aguas interiores,4009,85,222.932
25,Aguas interiores,4112,85,38.849
29,Aguas interiores,4112,85,2.813
37,Aguas interiores,4112,85,8.023
43,Aguas interiores,4112,85,228.986
46,Aguas interiores,4112,85,47.748
49,Aguas interiores,4112,85,58.448
53,Aguas interiores,4009,85,8.929
55,Aguas interiores,4009,85,7.459
69,Aguas interiores,4009,85,70.076
73,Aguas interiores,4009,85,23.595
76,Aguas interiores,4375,21,17.916
76,Aguas interiores,4375,22,0.077
76,Aguas interiores,4375,27,90.774
103,Zonas humidas interiores,331,21,95.195
103,Zonas humidas interiores,331,27,11.978
103,Aguas interiores,4375,21,14.862
103,Aguas interiores,4375,27,4.607
104,Zonas humidas interiores,327,21,63.263
104,Zonas humidas interiores,327,27,11.196
104,Zonas humidas interiores,331,21,3.204
104,Zonas humidas interiores,331,27,2.743
104,Aguas interiores,4375,21,102.888
104,Aguas interiores,4375,27,23.158
107,Zonas humidas interiores,327,27,3.71
110,Zonas humidas interiores,327,27,6.177
130,Aguas de transicao,98,21,55.626
130,Aguas de transicao,98,27,83.137
130,Zonas humidas litorais,754,21,20.797
130,Zonas humidas litorais,754,27,32.242
131,Aguas de transicao,98,21,1.146
131,Aguas de transicao,98,27,1.146
131,Zonas humidas litorais,747,21,0.036
131,Zonas humidas litorais,747,27,0.036
131,Zonas humidas litorais,754,21,1.146
131,Zonas humidas litorais,754,27,1.146
211,Aguas de transicao,98,21,145.71
211,Aguas de transicao,98,27,145.71
211,Zonas humidas litorais,739,21,22.148
211,Zonas humidas litorais,739,27,22.148
211,Zonas humidas litorais,747,21,66.498
211,Zonas humidas litorais,747,27,66.498
211,Zonas humidas litorais,754,21,39.91
211,Zonas humidas litorais,754,27,39.91
212,Aguas de transicao,98,21,25.126
212,Aguas de transicao,98,27,11.741
213,Aguas de transicao,98,21,4.008
213,Zonas humidas litorais,739,21,16.451
214,Zonas humidas interiores,331,21,41.394
214,Zonas humidas interiores,331,27,0.218
214,Aguas interiores,4375,21,89.032
214,Aguas interiores,4375,22,19.466
214,Aguas interiores,4375,27,41.744
215,Zonas humidas litorais,739,21,30.546
216,Aguas de transicao,98,21,31.4
216,Zonas humidas litorais,739,21,77.075
217,Zonas humidas litorais,739,21,0.723
219,Zonas humidas litorais,739,21,37.963
227,Zonas humidas litorais,731,21,10.615
235,Zonas humidas interiores,331,21,26.979
235,Zonas humidas interiores,331,27,0.506
238,Aguas interiores,4552,3,94.403
239,Aguas interiores,4552,3,14.813
240,Aguas interiores,4552,3,70.961
241,Aguas interiores,4552,3,10.116
242,Aguas interiores,4552,3,0.049
243,Aguas interiores,4552,3,20.571
244,Aguas interiores,4552,3,0.276
245,Aguas interiores,4552,3,35.742
246,Aguas interiores,4552,3,70.054
250,Aguas interiores,4552,3,24.013
251,Aguas interiores,4552,3,10.125
266,Zonas humidas litorais,770,4,3.336
266,Zonas humidas litorais,770,27,1.763
274,Aguas de transicao,98,21,9.48
274,Aguas de transicao,98,27,10.104
274,Zonas humidas litorais,768,21,110.918
274,Zonas humidas litorais,768,27,115.485
275,Zonas humidas litorais,768,21,0.278
275,Zonas humidas litorais,768,27,72.276
276,Zonas humidas litorais,768,27,79.781
282,Aguas de transicao,98,22,33.003
282,Aguas de transicao,98,27,264.371
282,Zonas humidas litorais,754,21,2.227
282,Zonas humidas litorais,754,27,25.973
282,Zonas humidas litorais,760,21,37.516
282,Zonas humidas litorais,760,27,255.252
331,Aguas de transicao,98,21,3.434
331,Aguas de transicao,98,27,3.434
332,Aguas de transicao,76,21,79.072
332,Aguas de transicao,76,27,79.072
332,Aguas de transicao,98,21,6.606
332,Aguas de transicao,98,27,6.606
332,Zonas humidas litorais,731,21,63.411
332,Zonas humidas litorais,731,27,63.411
333,Aguas de transicao,98,21,151.155
333,Aguas de transicao,98,27,151.155
333,Zonas humidas litorais,724,21,147.43
333,Zonas humidas litorais,724,27,147.43
334,Aguas de transicao,76,21,0.671
334,Zonas humidas litorais,731,21,123.989
335,Aguas de transicao,76,21,49.234
335,Aguas de transicao,76,27,30.822
335,Zonas humidas litorais,731,21,19.161
335,Zonas humidas litorais,731,27,8.615
336,Aguas de transicao,98,21,143.074
336,Aguas de transicao,98,27,143.074
336,Zonas humidas litorais,724,21,71.218
336,Zonas humidas litorais,724,27,71.218
337,Aguas de transicao,76,21,9.115
337,Aguas de transicao,76,27,8.73
337,Zonas humidas litorais,718,21,21.732
337,Zonas humidas litorais,718,27,20.609
338,Aguas de transicao,76,21,74.371
338,Zonas humidas litorais,718,21,44.222
369,Aguas de transicao,98,21,264.628
369,Aguas de transicao,98,27,264.628
369,Zonas humidas litorais,765,21,29.62
369,Zonas humidas litorais,765,27,29.62
369,Zonas humidas litorais,768,21,84.103
369,Zonas humidas litorais,768,27,84.103
370,Aguas de transicao,98,21,568.85
370,Aguas de transicao,98,27,568.85
370,Zonas humidas litorais,753,21,1.963
370,Zonas humidas litorais,753,27,1.963
370,Zonas humidas litorais,754,21,38.745
370,Zonas humidas litorais,754,27,38.745
370,Zonas humidas litorais,755,21,38.871
370,Zonas humidas litorais,755,27,38.871
370,Zonas humidas litorais,760,21,140.098
370,Zonas humidas litorais,760,27,140.098
370,Zonas humidas litorais,761,21,271.701
370,Zonas humidas litorais,761,27,271.701
370,Zonas humidas litorais,763,21,53.31
370,Zonas humidas litorais,763,27,53.31
370,Zonas humidas litorais,768,21,384.36
370,Zonas humidas litorais,768,27,384.36
371,Zonas humidas litorais,760,21,2.3
371,Zonas humidas litorais,760,27,2.3
372,Aguas de transicao,98,21,10.104
372,Aguas de transicao,98,27,10.104
373,Aguas de transicao,98,21,22.766
373,Aguas de transicao,98,27,22.766
373,Zonas humidas litorais,746,21,8.544
373,Zonas humidas litorais,746,27,8.544
424,Zonas humidas interiores,327,21,25.235
424,Zonas humidas interiores,327,22,0
424,Zonas humidas interiores,327,27,91.49
424,Aguas interiores,4375,21,13.615
424,Aguas interiores,4375,22,0
424,Aguas interiores,4375,27,6.672
446,Zonas humidas litorais,770,27,9.321
456,Aguas de transicao,98,21,122.411
456,Aguas de transicao,98,27,122.411
456,Zonas humidas litorais,765,21,46.757
456,Zonas humidas litorais,765,27,46.757
456,Zonas humidas litorais,768,21,62.964
456,Zonas humidas litorais,768,27,62.964
460,Aguas de transicao,98,21,68.968
460,Aguas de transicao,98,27,83.143
460,Zonas humidas litorais,765,21,23.694
460,Zonas humidas litorais,765,27,23.694
460,Zonas humidas litorais,768,21,94.792
460,Zonas humidas litorais,768,27,235.589
463,Zonas humidas litorais,768,27,24.659
468,Aguas de transicao,98,21,32.959
468,Aguas de transicao,98,27,32.959
468,Zonas humidas litorais,765,21,44.369
468,Zonas humidas litorais,765,27,44.369
468,Zonas humidas litorais,768,21,14.708
468,Zonas humidas litorais,768,27,14.708
469,Zonas humidas litorais,768,27,39.589
508,Aguas de transicao,98,21,303.981
508,Aguas de transicao,98,27,303.981
508,Zonas humidas litorais,724,21,73.4
508,Zonas humidas litorais,724,27,73.4
509,Aguas de transicao,76,21,16.262
509,Zonas humidas litorais,713,21,11.039
509,Zonas humidas litorais,718,21,90.29
509,Zonas humidas litorais,718,27,19.724
511,Aguas de transicao,98,21,58.642
511,Aguas de transicao,98,27,58.642
511,Zonas humidas litorais,724,21,35.901
511,Zonas humidas litorais,724,27,35.901
513,Aguas de transicao,98,21,114.738
513,Aguas de transicao,98,27,114.738
515,Aguas de transicao,76,21,27.278
515,Zonas humidas litorais,713,21,133.95
516,Aguas de transicao,76,21,21.758
516,Zonas humidas litorais,713,21,24.846
518,Zonas humidas litorais,713,21,34.814
521,Aguas de transicao,98,21,16.084
521,Aguas de transicao,98,27,16.084
574,Aguas interiores,1313,12,0.353
574,Aguas interiores,1313,41,260.19
574,Aguas interiores,1366,12,33.931
574,Aguas interiores,1366,13,69.657
574,Aguas interiores,1442,41,683.376
574,Aguas interiores,1470,12,26.498
574,Aguas interiores,1470,13,463.497
576,Aguas interiores,1442,41,9.924
577,Aguas interiores,1442,41,0.055
581,Aguas interiores,997,42,149.041
581,Aguas interiores,999,42,126.842
583,Aguas interiores,997,42,16.034
609,Aguas interiores,999,42,0
610,Aguas interiores,999,42,1.039
613,Aguas interiores,999,42,21.701
614,Aguas interiores,999,42,144.525
616,Aguas interiores,999,42,0.074
617,Aguas interiores,999,42,0.033
618,Aguas interiores,999,42,0.009
619,Aguas interiores,999,42,0.007
620,Aguas interiores,999,42,42.231
621,Aguas interiores,999,42,2.287
622,Aguas interiores,999,42,0.052
625,Aguas interiores,999,42,169.54
630,Aguas interiores,999,42,42.037
638,Aguas interiores,1693,39,283.216
638,Aguas interiores,1768,39,1850.401
638,Aguas interiores,1886,39,44.51
638,Aguas interiores,1922,39,371.984
642,Aguas interiores,1768,39,1.396
