"","GW_ID","n-load"
"1",1,75707.236
"2",2,32208.677
"3",3,1806688.099
"4",4,2809.757
"5",5,164017.441
"6",6,230975.686
"7",7,381059.155
"8",8,20505.518
"9",9,13479.733
"10",10,40.092
"11",11,12939.931
"12",12,202566.819
"13",13,201196.128
"14",14,20111.054
"15",15,15808.12
"16",16,38267.061
"17",17,31890.051
"18",18,72970.408
"19",19,8327.292
"20",20,100643.797
"21",21,60510.804
"22",22,35626.919
"23",23,48142.227
"24",24,40356.596
"25",25,45823.662
"26",26,22993.592
"27",27,41764.434
"28",28,3590.027
"29",29,170037.182
"30",30,17526.867
"31",31,3025.714
"32",32,68968.291
"33",33,275393.712
"34",34,563559.542
"35",35,83994.769
"36",36,1377.174
"37",37,6487.454
"38",38,65649.098
"39",39,575235.464
"40",40,1509688.239
"41",41,483045.577
"42",42,795779.288
"43",43,100869.549
"44",44,590651.745
"45",45,1219772.806
"46",46,487631.062
"47",47,11979.659
"48",48,2376.894
"49",49,0
"50",50,1392.2
"51",51,33468.51
"52",52,75748.292
"53",53,220730.08
"54",54,164503.319
"55",55,100749.729
"56",56,4205.527
"57",57,36154.89
"58",58,16783.176
"59",59,235503.428
"60",60,16761.803
"61",61,127671.175
"62",62,1143.62
"63",63,19730.502
"64",64,64545.13
"65",65,120385.928
"66",66,14122.011
"67",67,6239.936
"68",68,14863.464
"69",69,3390.572
"70",70,56555.33
"71",71,2909.055
"72",72,9082.083
"73",73,4789.111
"74",74,55995.968
"75",75,13370.978
"76",76,12937.568
"77",77,7529.425
"78",78,4488.556
"79",79,199.348
"80",80,15443.301
"81",81,253.795
"82",82,20407.95
"83",83,15941.508
"84",84,20488.107
"85",85,1422559.859
"86",86,2332.586
"87",87,380.735
"88",88,4579.436
"89",89,57354.281
"90",90,38596.994
"91",91,81604.32
"92",92,4862.478
"93",93,120554
