,DATA,RELÍQUIAS..27G.01G.,REPRESA..21I.01UG.,RIBEIRA.DE.PENA..04K.01UG.,RIBEIRADIO..09H.04UG.,RIO.TORTO..04N.01C.,ROSMANINHAL..15O.01UG.,ROSÁRIO..CAPELINS...22M.03UG.,SALAMONDE..03I.09UG.,SALIR..30I.03UG.,SALIR.DE.MATOS..17C.05UG.,SALTO..04J.02C.,SALVADA..26K.01UG.,SAMEIRO..04G.02UG.,SANTA.BARBARA.DE.PADRÕES..28J.03UG.,SANTA.CLARA.DO.LOUREDO..26J.03UG.,SANTA.COMBINHA..04P.04UG.,SANTA.CRUZ..29J.03UG.,SANTA.MARGARIDA..30H.04UG.,SANTA.MARTA.DA.MONTANHA..04K.02G.,SANTA.SUSANA..22L.02UG.,SANTA.VITÓRIA..26I.01UG.,SANTANA.DA.SERRA..28H.03UG.,SANTARÉM..ESA...18E.01C.,SANTIAGO.DO.ESCOURAL..22H.02UG.,SANTIAGO.MAIOR..22M.01UG.,SANTO.ALEIXO..SORRAIA...20M.01UG.,SANTO.ALEIXO.DA.RESTAURAÇÃO..25O.01UG.,SANTO.ESTEVÃO..20E.02UG.,SAPARDOS..02F.01UG.,SARDOAL..16I.04UG.,SEDA..19K.01UG.,SEIA..11K.01UG.,SEIXAS..EX..PORTUZELO...03H.04G.,SEJÃES..OLIVEIRA.DE.FRADES...09H.02UG.,SENDAS..04P.03UG.,SERPA..26L.01UG.,SERTÃ..15I.01UG.,SEZELHE..03J.01UG.
2,01/01/2009 09:00,52,0,,440.9,71.2,,97.1,367.1,47.1,77.4,292,107,,,107.4,105.3,59.2,37.6,324.9,77.1,75.1,69.9,,,98.1,53,,61.9,,140.9,61.2,,,,98,46.5,180.1,
3,01/02/2009 09:00,0,0,,139.7,61,,53.9,127.4,0,55,115.2,51.7,,,49.1,19.2,8.7,0.4,129.9,47.4,2.7,1.5,90.5,,,68.5,,3.4,,,0.8,,,,61.8,52.7,46.9,
4,01/03/2009 09:00,0,,,42.2,5.8,,,42.4,,,41.6,,,,20.4,0,7.1,,25.9,13.1,3.3,,16.1,18.4,,,,0.2,,,0.2,,,28.5,15.4,28.9,,
5,01/04/2009 09:00,50.1,,124.1,110.8,12.7,,,140.8,,,,,,,30.9,18.5,27.6,,127.1,28.9,37.5,,46.4,28.8,,,,5.9,,,41.3,69.6,,124.6,25.1,22.6,,84.9
6,01/05/2009 09:00,5.1,,48.8,39.5,27.5,,,52.3,7.5,,62.5,,6.7,,3.8,24.5,4.2,,57.5,13.3,10.4,,20.7,10.6,,,,6.4,70.5,,29.2,25.8,57.9,54.1,28.8,16.5,,54.8
7,01/06/2009 09:00,20.6,24,115.5,97.6,29.4,,,181.3,10.2,,119.1,,15.8,9.7,1.2,29,5.6,7.7,65.7,12.7,8.4,,39.6,,,1.2,0.9,4.4,81.6,,18.9,57,146.2,102.5,49,3.1,,125.8
8,01/07/2009 09:00,0.5,3.1,3.2,26.9,11.1,0,,87.3,1.7,16.1,29.4,0.5,2.3,0.3,0.2,0.2,0,0.2,23.1,0.4,0,0.6,3.7,1.6,,0.7,0.2,0.5,41.7,5.6,1.4,20.9,114.4,44.1,5.2,1.7,2,76.6
9,01/08/2009 09:00,0.1,0.1,8.9,10.1,9.1,,,24.2,0,13.8,17.7,0,0.3,0,0,0,0,0.2,10.3,0.1,0,0,5.1,1.1,,0,0.3,0.3,1.6,2.9,0.5,26.1,13,8.9,10.8,0,3.7,3.7
10,01/09/2009 09:00,0.1,1.8,2.1,9.3,0.1,15.7,11.9,2.4,24.9,27,9.2,18.5,1,48.7,0.4,0,19,31.9,1.6,8.9,21.6,35.1,5.1,9,9.7,0.6,1.4,1.4,0.5,2.8,20.6,11.2,1.9,15,4,26.9,3.7,0.6
11,01/10/2009 09:00,1.3,0,,179.7,0.2,28.8,29.8,158.3,0.9,113,,40,0.6,49.2,0,0,0,,23.6,1.7,4,49.1,60.5,,48.2,0.6,1.8,2.1,0,,34.9,97.1,0.1,282.5,93.1,7.9,1.2,0
12,01/11/2009 09:00,0,0,148.7,185.7,0,0,28.7,287.2,0,221,246.1,25.1,0.7,13.5,0,0,0,,6.2,0,0,29.4,81.7,,36.2,0,0.7,0.1,0,90.7,,141.2,0.1,263.2,108.7,0.1,0.1,0
13,01/12/2009 09:00,0.5,0,,,,1.6,195.6,560.1,2.8,,463.9,165.3,95.6,139.7,0,235.9,0,,331.4,0,21.2,246.4,151.3,,188.4,59.1,50.1,185.9,0,,,130.9,0.4,,203.7,67.8,117,
,,130.3,29,451.3,1282.4,228.1,46.1,417,2030.8,95.1,523.3,1396.7,408.1,123,261.1,213.4,432.6,131.4,78,1127.2,203.6,184.2,432,520.7,69.5,380.6,183.7,55.4,272.5,195.9,242.9,209,579.8,334,923.4,703.6,274.7,354.7,346.4
